     18 January	February	2019
      1 who	probably	support
      1 who	opposed	the
      1 who	need	their
      1 who	makes	cold
      1 who	is	openly
      1 who	condemn	gay
      1 who	care	about
      1 Who	Built	the
      1 who	believe	that
      1 whites	in	the
      1 white	wines	stands
      1 while	the	gay
      1 while	supporting	civil
      1 while	rejecting	civil
      1 while	Bunning	squeaked
      1 which	was	said
      1 which	voters	had
      1 which	they	previously
      1 which	the	government
      1 which	provided	that
      1 which	presidential	candidates
      1 which	passed	by
      1 which	is	uncertain
      1 which	is	evidenced
      1 which	explicitly	embraces
      1 which	came	to
      1 whether	our	crêpes
      1 Whether	or	not
      1 where	the	Supreme
      1 where	gay	marriage
      1 When	the	Law
      1 When	Harvard	Beats
      1 What	Legacy	Affirmative
      1 were	watching	and
      1 were	up	for
      1 were	openly	gay
      1 were	nonexistent	at
      1 were	more	passionate
      1 were	entitled	to
      1 were	defeated	after
      1 were	deeply	ambivalent
      1 were	dealing	with
      1 were	becoming	parents
      1 were	also	afoot
      1 well	The	issue
      1 well	despite	the
      1 welcoming	January	February
      1 weeks	of	impassioned
      1 weeks	in	the
      1 we	re	going
      1 we	re	at
      1 we	once	slept
      1 We	ll	never
      1 ways	worse	than
      1 Wayne	Allard	of
      1 watching	and	Time
      1 Watchers	Assaults	on
      1 watch	a	show
      1 Washington	possibly	influenced
      1 Washington	Maryland	and
      1 Washington	and	Maryland
      1 was	unanimous	unlike
      1 was	then	a
      1 was	that	the
      1 was	sparse	Most
      1 was	said	to
      1 was	required	to
      1 was	remanded	for
      1 was	quickly	overturned
      1 was	presumptively	unconstitutional
      1 was	not	then
      1 was	gay	On
      1 was	forced	to
      1 was	dominated	by
      1 was	about	2
      1 was	a	dream
      1 was	36	An
      1 was	17	percentage
      1 warned	There	is
      1 warned	that	the
      1 want	to	destroy
      1 want	something	they
      1 want	marriage	an
      1 Wadsworth	Atheneum	Museum
      1 Wadsworth	Atheneum	and
      1 W	Bush	immediately
      1 vulnerability	of	gay
      1 votes	President	Bush
      1 voters	vetoed	the
      1 voters	to	support
      1 voters	to	keep
      1 voters	that	his
      1 voters	rejected	it
      1 voters	Objecting	that
      1 voters	in	Washington
      1 voters	in	a
      1 voters	had	done
      1 voters	found	the
      1 voters	endorsed	gay
      1 voters	and	inspire
      1 voted	Democratic	yet
      1 vote	then	turned
      1 vote	on	the
      1 vote	may	turn
      1 vote	in	Ohio
      1 vote	in	Alaska
      1 vote	Analysts	attributed
      1 vote	against	gay
      1 voluntarily	and	They
      1 visitation	surrogate	medical
      1 vineyards	of	New
      1 vineyard	overlooking	New
      1 vindicated	their	claim
      1 Village	several	same
      1 viewers	were	watching
      1 View	the	discussion
      1 victory	to	a
      1 victory	in	Ohio
      1 victory	in	Hawaii
      1 victories	inspired	gay
      1 Vice	Versa	Massachusetts
      1 Vice	Versa	4
      1 vexing	to	Democrats
      1 vetoed	the	last
      1 vetoed	the	gay
      1 very	seriously	A
      1 versus	just	35
      1 version	of	a
      1 Versa	Massachusetts	transportation
      1 Versa	4	Who
      1 Vermont	to	follow
      1 Vermont	The	litigation
      1 Vermont	resonated	nationally
      1 Vermont	Governor	Howard
      1 Vermont	filed	their
      1 Vermont	decision	in
      1 Vermont	became	the
      1 verify	your	alumni
      1 Vander	Plaats	promised
      1 Vander	Plaats	came
      1 Vander	Plaats	and
      1 value	January	February
      1 vacation	rentals	Vacation
      1 Vacation	Rentals	Travel
      1 v	Department	of
      1 v	Board	of
      1 usually	by	overwhelming
      1 usual	Justice	Anthony
      1 using	your	Harvard
      1 us	People	who
      1 update	on	that
      1 Update	Donor	Services
      1 up	in	an
      1 up	for	retention
      1 unlike	other	state
      1 unless	she	exchanged
      1 unleashed	by	the
      1 unions	versus	just
      1 unions	that	provided
      1 unions	One	of
      1 unions	most	swing
      1 unions	law	causing
      1 unions	faced	his
      1 unions	as	well
      1 unions	as	second
      1 unions	An	enormous
      1 union	of	a
      1 Union	did	not
      1 unexpectedly	ruled	that
      1 undoubtedly	raised	the
      1 under	attack	from
      1 unconstitutional	The	case
      1 uncertain	given	procedural
      1 unanimous	unlike	other
      1 ultimate	outcome	is
      1 two	years	10
      1 two	will	likely
      1 two	to	one
      1 two	thirds	of
      1 two	seemingly	opposing
      1 two	or	three
      1 two	decisions	supporting
      1 two	centuries	of
      1 twitter	linkedin	youtube
      1 Turnpike	at	grade
      1 turnout	of	rural
      1 turned	his	attention
      1 turn	out	or
      1 turn	on	how
      1 turn	friends	neighbors
      1 tubing	spots	around
      1 Tubing	at	Nashoba
      1 trial	judge	ruled
      1 trial	judge	in
      1 trial	at	which
      1 treat	international	norms
      1 Travel	real	estate
      1 transportation	officials	plan
      1 translated	into	policy
      1 traditional	spheres	of
      1 traditional	rules	that
      1 traditional	marriage	usually
      1 traditional	marriage	s
      1 traditional	constituencies	such
      1 Tradition	Ends	1
      1 tr	id	337855236975329
      1 toward	gay	marriage
      1 toughest	reelection	contest
      1 took	an	enormous
      1 Tom	Daschle	and
      1 tolerant	of	homosexuality
      1 toggle	menu	Latest
      1 toehold	for	art
      1 Today	opinion	polls
      1 today	on	most
      1 today	ensures	that
      1 to	write	the
      1 to	win	primary
      1 to	watch	a
      1 to	want	something
      1 to	want	marriage
      1 to	vote	against
      1 to	turn	out
      1 to	traditional	marriage
      1 to	think	differently
      1 to	their	liking
      1 to	their	high
      1 To	the	Supreme
      1 to	the	same
      1 to	the	polls
      1 to	the	point
      1 to	The	Game
      1 to	the	federal
      1 to	the	Altar
      1 to	suppress	outlier
      1 to	support	Bush
      1 to	strongly	oppose
      1 to	stop	opposing
      1 to	state	definitions
      1 to	start	thinking
      1 to	show	a
      1 to	serve	openly
      1 to	serve	in
      1 to	review	cases
      1 to	rescue	his
      1 to	Republicans	Americans
      1 to	repeal	it
      1 to	removing	the
      1 to	regard	the
      1 to	reflect	changing
      1 to	recognize	same
      1 to	recognize	another
      1 to	rebuild	Turnpike
      1 to	pursue	legal
      1 to	public	sentiment
      1 to	provide	high
      1 to	preserve	the
      1 to	permit	a
      1 to	overwhelmingly	support
      1 to	oppose	gay
      1 to	one	while
      1 to	one	and
      1 to	neutralize	the
      1 to	much	broader
      1 to	massively	resist
      1 to	marry	But
      1 to	make	gay
      1 to	know	someone
      1 to	keep	your
      1 to	just	1
      1 to	invalidate	the
      1 to	invalidate	DOMA
      1 to	influence	some
      1 to	influence	Republican
      1 to	include	same
      1 to	his	legacy
      1 to	Harvard	Yard
      1 to	grow	bolstered
      1 to	gay	marriages
      1 to	four	as
      1 to	foster	acceptance
      1 to	force	it
      1 to	forbid	it
      1 to	follow	suit
      1 to	file	lawsuits
      1 to	explain	his
      1 to	encourage	voters
      1 to	enact	gay
      1 to	divide	five
      1 to	dictate	the
      1 to	determine	the
      1 to	destroy	the
      1 to	deny	recognition
      1 to	Democrats	Approximately
      1 to	define	marriage
      1 to	defend	traditional
      1 to	deal	with
      1 to	continue	for
      1 to	contemplate	legal
      1 to	come	to
      1 to	come	out
      1 to	coast	rejection
      1 to	change	the
      1 to	block	implementation
      1 to	become	normalized
      1 to	be	rooted
      1 to	Be	On
      1 to	be	destroying
      1 to	be	called
      1 to	bar	gay
      1 to	ban	it
      1 to	American	constitutional
      1 to	acknowledge	the
      1 To	access	Class
      1 to	a	man
      1 to	a	large
      1 to	81	percent
      1 to	75	percent
      1 to	74	percent
      1 to	56	percent
      1 to	49	percent
      1 to	47	2
      1 to	34	percent
      1 to	31	percent
      1 to	30	or
      1 to	29	support
      1 to	27	percent
      1 to	263	in
      1 to	20	percent
      1 to	20	in
      1 to	15	in
      1 to	14	percent
      1 to	12	percentage
      1 title	increased	from
      1 Tips	Advice	Pricing
      1 time	were	deeply
      1 time	the	issue
      1 time	rejected	gay
      1 Time	put	her
      1 time	One	poll
      1 time	no	American
      1 time	for	Christians
      1 time	American	voters
      1 time	a	majority
      1 thus	became	the
      1 Thus	an	intense
      1 Thune	pressed	Daschle
      1 Thune	an	evangelical
      1 through	with	just
      1 three	to	one
      1 three	states	voters
      1 three	states	approved
      1 three	percentage	points
      1 three	of	whom
      1 three	legislatures	in
      1 three	gay	couples
      1 three	dozen	state
      1 threaten	democracy	itself
      1 thread	slide	over_925long_v3b
      1 thousands	of	same
      1 though	the	ultimate
      1 though	the	law
      1 though	it	had
      1 though	Governor	Chris
      1 those	who	want
      1 Those	states	with
      1 those	aged	18
      1 this	year	the
      1 This	propensity	would
      1 This	past	December
      1 this	description	This
      1 this	bitter	defeat
      1 thirds	of	them
      1 thinking	about	how
      1 think	differently	about
      1 thin	ice	and
      1 they	would	not
      1 they	rejected	a
      1 they	previously	had
      1 They	ll	have
      1 they	know	they
      1 they	know	their
      1 They	have	done
      1 they	focused	on
      1 they	do	today
      1 they	cannot	have
      1 they	can	do
      1 they	are	more
      1 They	are	far
      1 these	Last	November
      1 these	couples	began
      1 There	is	a
      1 there	from	those
      1 Theological	Seminary	observed
      1 then	turned	his
      1 Then	Gone	Bess
      1 then	a	radical
      1 then	a	priority
      1 themselves	not	to
      1 them	with	all
      1 them	to	serve
      1 them	gay	men
      1 them	gay	liberation
      1 them	Gary	Bauer
      1 them	for	purposes
      1 their	support	to
      1 their	relationships	hospital
      1 their	relationships	and
      1 their	prospects	of
      1 their	parents	One
      1 their	own	lawsuit
      1 their	membership	was
      1 their	liking	ADTECH
      1 their	jobs	over
      1 their	high	court
      1 their	favorite	television
      1 their	families	Still
      1 their	claim	in
      1 their	child	to
      1 their	attitudes	toward
      1 their	arguments	very
      1 the	year	after
      1 the	Yale	game
      1 the	world	to
      1 the	world	had
      1 the	world	Finally
      1 The	Watchers	Assaults
      1 the	Wadsworth	Atheneum
      1 the	vulnerability	of
      1 the	vote	then
      1 the	vote	Analysts
      1 the	vineyards	of
      1 the	Vermont	decision
      1 the	union	of
      1 the	ultimate	outcome
      1 the	traditional	rules
      1 the	title	increased
      1 the	time	were
      1 the	time	rejected
      1 the	time	One
      1 the	Supreme	Judicial
      1 the	substantive	merits
      1 the	Struggle	for
      1 the	Stonewall	riots
      1 the	state	supreme
      1 the	spring	of
      1 the	Southern	Baptist
      1 the	Slopes	Best
      1 The	sky	did
      1 the	short	term
      1 the	second	state
      1 the	same	time
      1 the	same	side
      1 the	same	sex
      1 the	salience	of
      1 The	rulings	also
      1 the	ruling	three
      1 The	ruling	sparked
      1 the	Republicans	position
      1 the	Republican	presidential
      1 the	recently	published
      1 the	Pyramids	5
      1 the	public	face
      1 the	proposed	amendment
      1 the	proportion	of
      1 the	primary	winning
      1 the	presidential	election
      1 the	president	of
      1 The	Pre	Marriage
      1 the	popular	vote
      1 the	popular	culture
      1 the	polls	All
      1 the	point	where
      1 The	Perfect	Storm
      1 the	OxBlue	Construction
      1 the	outcome	of
      1 the	outcome	His
      1 the	other	hand
      1 the	option	of
      1 the	opportunity	to
      1 the	opinion	that
      1 the	oldest	and
      1 the	off	season
      1 the	notion	of
      1 the	next	two
      1 the	next	legislative
      1 the	New	York
      1 the	national	political
      1 the	most	popular
      1 the	most	important
      1 the	most	fundamental
      1 the	most	extreme
      1 the	moral	code
      1 the	minds	of
      1 the	military	Police
      1 the	military	increased
      1 the	mentally	disabled
      1 the	median	age
      1 the	measures	passed
      1 the	meaning	of
      1 the	marriage	law
      1 the	marriage	based
      1 the	marriage	amendment
      1 the	many	gay
      1 the	longer	term
      1 The	litigation	victory
      1 The	litigation	has
      1 the	legislature	the
      1 the	legislature	s
      1 the	legislature	Elsewhere
      1 the	legal	rights
      1 the	law	survived
      1 the	Law	School
      1 the	late	1990s
      1 the	last	of
      1 the	last	holdout
      1 the	justices	lost
      1 The	justices	are
      1 the	justices	address
      1 the	judges	responsible
      1 the	issue	though
      1 the	issue	signed
      1 the	issue	proved
      1 the	issue	In
      1 the	issue	After
      1 the	Iowa	Supreme
      1 The	Iowa	ruling
      1 the	integrity	of
      1 the	institution	as
      1 the	inevitability	of
      1 the	incumbent	would
      1 the	increase	in
      1 the	Importance	of
      1 The	immediate	post
      1 the	idea	of
      1 the	homosexual	agenda
      1 the	harvest	Kelby
      1 the	Harvard	community
      1 the	group	most
      1 the	government	had
      1 the	gay	rights
      1 The	gay	marriage
      1 The	Game	which
      1 the	future	seems
      1 The	Fringe	Benefits
      1 the	first	state
      1 the	first	defeat
      1 the	first	American
      1 the	fiftieth	anniversary
      1 the	fifth	jurisdiction
      1 the	fierce	political
      1 the	field	as
      1 The	federal	government
      1 the	fall	election
      1 the	fact	that
      1 the	entrance	to
      1 the	entire	nation
      1 the	ensuing	state
      1 the	election	into
      1 the	election	And
      1 the	early	1970s
      1 the	District	of
      1 the	discussion	thread
      1 the	Deep	South
      1 the	decision	by
      1 the	deceased	was
      1 the	death	penalty
      1 the	current	issue
      1 the	culture	and
      1 the	courtroom	unless
      1 the	Court	will
      1 the	court	s
      1 The	court	gave
      1 the	Court	deems
      1 the	court	decisions
      1 the	Closet	to
      1 the	closet	And
      1 the	cause	of
      1 The	case	was
      1 the	campaign	and
      1 the	California	decision
      1 the	Brown	v
      1 the	border	in
      1 the	bill	by
      1 the	benefits	of
      1 the	ballot	in
      1 the	author	of
      1 the	archives	Illustration
      1 the	Archives	1968
      1 the	American	Civil
      1 the	amendments	forbade
      1 the	amendment	while
      1 the	Altar	Courts
      1 The	AIDS	epidemic
      1 the	2010	Republican
      1 the	2009	outcome
      1 the	2004	presidential
      1 the	1996	law
      1 the	1990s	gay
      1 the	1990s	and
      1 that	year	produced
      1 that	within	a
      1 that	we	re
      1 that	We	ll
      1 that	time	no
      1 that	they	would
      1 that	the	traditional
      1 that	the	proportion
      1 that	the	institution
      1 that	the	federal
      1 that	That	a
      1 That	summer	Republican
      1 that	state	s
      1 that	something	like
      1 that	some	radical
      1 that	she	would
      1 that	same	sex
      1 That	same	day
      1 That	result	seemed
      1 that	provided	them
      1 that	opponents	will
      1 that	opponents	of
      1 that	only	nine
      1 that	of	their
      1 that	no	state
      1 that	New	York
      1 that	mobilized	its
      1 that	it	s
      1 that	it	is
      1 that	is	much
      1 that	his	opponent
      1 that	Harvard	Magazine
      1 that	gay	marriage
      1 that	gap	had
      1 That	Game	Harvard
      1 that	famous	headline
      1 that	fall	Maine
      1 that	fall	In
      1 that	excluding	same
      1 that	defined	it
      1 that	Americans	favor
      1 that	after	more
      1 That	a	particular
      1 that	68	percent
      1 that	65	percent
      1 than	two	centuries
      1 than	that	of
      1 than	terrorism	Massachusetts
      1 than	supporters	At
      1 than	50	years
      1 terrorism	Massachusetts	Activists
      1 terms	and	Supreme
      1 term	The	litigation
      1 term	political	backlash
      1 term	had	he
      1 tended	to	strongly
      1 tended	to	regard
      1 tended	to	foster
      1 tempting	might	it
      1 Templeton	Photography	Beyond
      1 television	show	had
      1 television	characters	so
      1 teach	themselves	not
      1 TB87QF	Your	independent
      1 talented	sophomores	surfacing
      1 take	their	arguments
      1 Take	Back	Vermont
      1 t	have	a
      1 t	fight	the
      1 switch	hitter	and
      1 swing	voters	to
      1 swing	voters	Objecting
      1 swing	voters	found
      1 survived	Republican	efforts
      1 survey	respondents	in
      1 surrounding	their	relationships
      1 surrogate	medical	decisionmaking
      1 surprising	In	1996
      1 surfacing	January	February
      1 Supreme	Judicial	Court
      1 supreme	court	unexpectedly
      1 Supreme	Court	This
      1 Supreme	Court	precedent
      1 Supreme	Court	may
      1 Supreme	Court	justices
      1 Supreme	Court	and
      1 Supreme	Court	agreed
      1 suppress	outlier	state
      1 supporting	gay	rights
      1 supporting	civil	unions
      1 supporters	by	29
      1 supporters	At	the
      1 supporters	actually	gained
      1 supported	gay	adoptions
      1 supported	a	state
      1 support	to	win
      1 support	marriage	equality
      1 support	litigation	considered
      1 support	it	They
      1 support	is	as
      1 Support	Harvard	Magazine
      1 support	grew	from
      1 support	gay	marriage
      1 support	for	such
      1 support	for	marriage
      1 Support	for	Harvard
      1 Support	for	granting
      1 Support	for	allowing
      1 Support	Despite	the
      1 support	Bush	it
      1 summer	Republican	congressional
      1 Summer	Education	Enrichment
      1 suit	In	1999
      1 such	small	screen
      1 Such	marriages	were
      1 such	marriages	among
      1 such	as	working
      1 such	as	Friends
      1 such	as	coverture
      1 such	as	abortion
      1 such	an	amendment
      1 such	a	measure
      1 success	are	diminishing
      1 substantive	merits	of
      1 substantial	majority	opposed
      1 Submit	Your	independent
