      3 同性恋	从禁忌到婚姻
      1 求助	得到了亲朋好友大力支持
      1 水	坝上出现一道裂缝
      1 民意如流水	西方民众对同性婚姻支持度
      1 民事结合	YES
      1 比如二人所在的俄亥俄州	奥贝格费尔侧身亲吻了病床上亚瑟的额头
      1 死刑随之成了处罚同性恋的常态	甚至直到1861年
      1 此举	也为2015年高院最终投票结果奠定了坚实基础
      1 正是历史的巨大进步	针对同性伴侣肯定影响子女性取向的反对意见
      1 正像在工业时代煤矿中的金丝雀是衡量矿下是否安全的标志一样	同性恋人群成为创意时代某地对创意人群是否具备
      1 欣然接受	亚瑟则没有那么幸运
      1 案件	保守派共和党州议员甚至要求对法官提起弹劾
      1 根本动力是硅谷崇尚开放	包容
      1 标志同性恋者的胜利	它形象地比喻
      1 查看更多	编辑指导
      1 查看更多	服务推荐
      1 查看更多	常见问题解答
      1 查看更多	原创检测
      1 柜子	中的同性恋者不再沉默
      1 柏拉图力主	神圣之爱
      1 权威	快速
      1 权利表明他们并不是想要玷污婚姻	而是希望如异性伴侣般用婚姻的纽带将自己和爱人捆绑在一起
      1 机会	平等对待每个人的国家吗
      1 本网站资源	信息来源于网络
      1 未亡配偶	的身份
      1 服务推荐	论文发表
      1 有识之士长期努力下	1973年美国精神病学会
      1 有利于建立稳定单一的伴侣关系	减少艾滋病等性病传
      1 有人送来现金	有人在网上支付
      1 有人在网上支付	小钱一笔笔汇聚
      1 有了这枚戒指	我和你
      1 有一半华裔血统的斯图阿特说	60多年前
      1 最高法院自由	派大法官也好
      1 最高法院左右为难	保守派大法官阿利托摇头
      1 最高法院宣布推翻	捍卫婚姻法案
      1 最高法院审理同性恋婚姻案意味着社会的进步	标志同性恋者的胜利
      1 最高法院判决后	莱昂纳多
      1 最高法院决定将该案与另外三宗同性婚姻案件合并审理	奥贝格费尔这位轻声细语的地产经理
      1 最高法研究同性婚姻合法化问题时	影响力非凡的华尔街银行人士
      1 最高法的裁决说明我们的爱是平等的	约翰
      1 最美判决出炉	堪称民权运动
      1 最终	1200万
      1 最后	一块领域
      1 是送给你的礼物	当天他接到了奥巴马的来电
      1 是可忍	孰不可忍
      1 昔日躲在	柜子
      1 时代	周刊称
      1 早就知道	欣然接受
      1 既然能够接纳同性恋者	因此同性恋聚居区对其他各类人群也持比较开放的态度
      1 无怪乎	硅谷科技巨头一边倒支持同性恋维权
      1 无助于人类繁衍	违背宗教教义
      1 旋即引发全球热议	愿这一权利永不再被剥夺
      1 文章原创检测	精确
      1 文秘咨询	在线咨询
      1 文学论文	医学论文
      1 文化信仰	从时尚禁忌到时尚偶像
      1 数据及图表	准确性
      1 数天对峙	引爆同性恋维权运动
      1 教育论文	知识百科
      1 政治论文	经济论文
      1 政治杠杆	进而改变美国民意和法律判例
      1 改变社会对同性恋的污名化	妖魔化
      1 改为十年以上有期徒刑乃至无期徒刑	对于同性恋成因
      1 支持者反对者各举标语	一边是
      1 支持度就越高	现在是法庭承认这种做法存在歧视的时候了
      1 支持和影响立法与政策	拥有150万名成
      1 播	促进社会和谐
      1 摩根大通	瑞银和富国银行
      1 推动的议程	目的是消除传统上与同性恋行为联系在一起的道德耻辱
      1 捍卫婚姻法案	同性婚姻伴侣有权享受联邦给予异性婚姻伴侣同样的福利
      1 指标	而人力资本的低准入对于激励创意和高科技增长的重要作用是毋庸置疑的
      1 拥有150万名成	员的人权战线
      1 报道	同性恋组织详细研究美国各地的选举地图
      1 抗议歧视骚扰	他们高喊口号
      1 投桃报李	奥巴马任命两位女性大法官索托马约尔和卡根
      1 把妻子当成财产随意	处置
      1 才是真正成因	二十世纪以降
      1 所有美国人都有权享有法律的平等保护	所有人都应当得到平等对待
      1 所有人都应当得到平等对待	不论他们是谁
      1 我骄傲	同性恋权利
      1 我赞成同性婚姻合法化	而且会与一切反对行为做出抗争
      1 我相信接受同性婚姻的那一天不远了	2015年
      1 我的爱	不能久等
      1 我的华裔母亲不能嫁给我的德国裔父亲	历史在改变
      1 我是男同性恋	我骄傲
      1 我指的是一些同性恋活动人士积极	推动的议程
      1 我愿意	从死刑到正常化
      1 我愿意	为
      1 我想对你道一声祝贺	你的努力改变了这个国家
      1 我必须为这段关系的合法而奋斗	我的爱
      1 我就再也没离开过亚瑟	奥贝格费尔生于天主教家庭
      1 我喜欢男孩	我是男同性恋
      1 我和你	结为连理
      1 我发誓我要为LGBT人群奋斗	哪怕付
      1 我们要自由	我喜欢男孩
      1 我们要平权	现在就要
      1 我们结婚吧	好
      1 我们没有能力看到未来	法院外面
      1 我们当时从未在受人尊重的情况下说出过一句	我愿意
      1 我们将都会变得更加自由	所有美国人都有权享有法律的平等保护
      1 我们同志有力量	石墙事件
      1 我们不要二等婚姻	我们要平权
      1 我们不是二等公民	我们不要二等婚姻
      1 我以爱之名发誓	我们当时从未在受人尊重的情况下说出过一句
      1 我从没想过我会花费那么长的时间去为我们的婚姻战斗	我以爱之名发誓
      1 成立	一年后
      1 成潮流等	同性恋婚姻立法的全球战
      1 成功通过同性婚姻合法化	6月
      1 成为各大同性恋组织的头等大事	谁在推动美国的同性婚姻
      1 愿这一权利永不再被剥夺	肯尼迪大法官在裁决意见书中写道
      1 总有一天大坝会	溃堤
      1 性婚姻合法化的74号提案公投	纽约市长布隆伯格
      1 怎样才能到达7小时车程外的马里兰州结婚	安排一架医疗飞机是最理想的选择
      1 快速向世界各国传播	同性恋解放阵线
      1 快速	仅需50元起
      1 忠诚	奉献
      1 忍无可忍的同性恋者挺身而出	抗议歧视骚扰
      1 德意志银行	高盛
      1 德国同性恋者	因
      1 微软创始人盖茨等都站出来力挺同性组织	亚马逊CEO杰夫贝索斯捐出250万美元
      1 得到了亲朋好友大力支持	有人送来现金
      1 律所是最适合同性恋者工作的机构	让人瞠目结舌的是
      1 律师立即意识到一个重要的法律问题	奥贝格费尔的名字是否可以出现
      1 待	我们将都会变得更加自由
      1 影响力非凡的华尔街银行人士	共同向法庭提交了一份支持同性婚姻的陈述
      1 当所有美国人都能得到平等对	待
      1 当婚姻遭遇同性恋	同性恋婚姻法律问题研究
      1 当天他接到了奥巴马的来电	我想对你道一声祝贺
      1 当今的观点是法庭的产物	而法庭又是法学界文化的产物
      1 强调成人之间合意性行为不宜入罪	牛津大学法哲学家哈特大力支持
      1 引领新潮	纵览整个二十世纪
      1 引爆同性恋维权运动	快速向世界各国传播
      1 异性恋的父母怎么会生育出同性恋的子女	民意如流水
      1 开始反思同性恋者不堪处境	1954年
      1 应当修宪将婚姻定义并维护为男女之间作为丈夫和妻子的结合	历经两个多世纪美国法律
      1 并逐渐普及	__________________________________________________________________
      1 并冠以	未亡配偶
      1 年年举办盛大游行	经历同性恋历史的分水岭
      1 平等对待每个人的国家吗	这一晚
      1 幔	痛斥同性恋不啻罪恶渊薮
      1 常见问题解答	____________________________________________________________
      1 帮助同性恋者走出歧视阴影	重拾自信
      1 希望他好运	自我丈夫过世后
      1 已成不容回避的棘手	课题
      1 州最高法院裁定州政府胜诉	原告上诉至最高法院
      1 州和地方的层面起草	支持和影响立法与政策
      1 尽管都以败诉收场	但同性婚姻
      1 就在其发表力挺同性婚姻的言	论90分钟后
      1 就不能不讲这位总统背后的同性恋势力	1996年奥巴马就表示
      1 小钱一笔笔汇聚	促成了这趟行程
      1 将案子坚持打到最高法院的原告	俄亥俄州辛辛那提同性伴侣奥贝格费尔和亚瑟
      1 对同性恋问题	社会各界态度逐渐松动
      1 对同性恋人群的开放程度就成为衡量人力资本低准入门槛的良好	指标
      1 对同性婚姻合法化表达自己的一份支持	同性婚姻横空出世
      1 对于同性恋成因	学界聚讼纷纭
      1 对于传统男女婚姻观念	学者格斯曼反驳
      1 对了	千万别忘了颠倒众生的好莱坞
      1 客户满意为止	查看更多
      1 宗教和自然根源割裂	应当修宪将婚姻定义并维护为男女之间作为丈夫和妻子的结合
      1 完整性等	
      1 完全免费共享	仅供学习和研究使用
      1 安排一架医疗飞机是最理想的选择	但最少需要一万三千美元
      1 它形象地比喻	水
      1 它坚定了数百万美国人业已坚信的信念	当所有美国人都能得到平等对
      1 它们	包括美国国际集团
      1 它代表爱	忠诚
      1 孰不可忍	美国前总统布什感慨
      1 学问百科	a_18
      1 学者格斯曼反驳	如果今天的婚姻跟两千年前一模一样的话
      1 学界聚讼纷纭	先天说强调同性恋是先天的
      1 媒体也披露上万	德国同性恋者
      1 婚姻的禁忌	同性恋婚姻在美国
      1 婚姻是两人结合的最高形式	它代表爱
      1 婚姻向同性恋者开放	体现法律面前人人平等精神和政教分离原则
      1 婚姻从身份演变为契约	体现个人意愿
      1 婚姻不能与其文化	宗教和自然根源割裂
      1 婚姻一男一女天经地义	民事结合
      1 婚姻	当婚姻遭遇同性恋
      1 婚姻	从异性到同性
      1 婚姻	NO
      1 妖魔化	帮助同性恋者走出歧视阴影
      1 如果繁衍子女果真是婚姻唯一目标	为何法律不禁止丧失生育
      1 如果子女的性取向是	由模仿父母而来
      1 如果今天的婚姻跟两千年前一模一样的话	你可能会娶一个你没有见过的12岁的小女孩
      1 如有不愿意被转载的情况	请通知我
      1 如何利用	政治杠杆
      1 如今西方各国大城市	年年举办盛大游行
      1 如今	美国最高法院再
      1 好	亚瑟说
      1 奥贝格费尔这位轻声细语的地产经理	瞬间成为争取同性婚姻权益的风云人物
      1 奥贝格费尔轻轻地帮助爱人将戒指戴到自己的手上	没有蜜月旅行
      1 奥贝格费尔踏上了为爱人寻求正义的艰难道路	州最高法院裁定州政府胜诉
      1 奥贝格费尔的名字是否可以出现	在亚瑟的死亡证明上
      1 奥贝格费尔生于天主教家庭	20多岁时
      1 奥贝格费尔对俄亥俄州政府提起诉讼	称该州歧视已于其他州合法结婚的同性伴侣
      1 奥贝格费尔始终不离不弃	2013年6月
      1 奥贝格费尔坚定表示	我愿意
      1 奥贝格费尔在旧金山市政厅发表演讲	大法官宣读判决书时
      1 奥贝格费尔侧身亲吻了病床上亚瑟的额头	说
      1 奥巴马竞选参议员	同性恋者政治献金超过50万美元
      1 奥巴马称支持同性恋婚姻是美国精神的延伸	难道我们不是一个包容每个人
      1 奥巴马成为美国历史上第一位公开认同同性婚姻的总统	就在其发表力挺同性婚姻的言
      1 奥巴马又筹集1500万美元	创下美国政治史上单场筹款会筹集金额的最高纪录
      1 奥巴马出席好莱坞明星乔治	克鲁尼为其举办的筹款晚会
      1 奥巴马任命两位女性大法官索托马约尔和卡根	进入美国最高法院
      1 奉献	牺牲和家庭
      1 天主教	伊斯兰教
      1 大西洋月刊	报道
      1 大法官斯卡利亚写到	当今的观点是法庭的产物
      1 大法官宣读判决书时	电视机前的奥贝格费尔忍不住泪流满面
      1 大家七手八脚把亚瑟折腾到飞机上	飞机刚刚落地
      1 多数科学研究表明	同性恋家庭中成长的子女
      1 多元和个性自由的时代精神	能者至上
      1 复制全文	文秘咨询
      1 处置	离婚也是绝对不可能的事
      1 处罚同性恋的法律相继出台	公元538年
      1 声援	对同性婚姻合法化表达自己的一份支持
      1 墨西哥最高法院判决	同性婚姻合法化
      1 堪称民权运动	里程碑事件
      1 堪称同性婚姻惊喜年	先是爱尔兰全民公决
      1 基督教	天主教
      1 城市学者佛罗里达在名著	创意阶层的崛起
      1 坝上出现一道裂缝	总有一天大坝会
      1 坚决抵制同性婚姻	同性婚姻支持者
      1 在联邦	州和地方的层面起草
      1 在线咨询	相关文章
      1 在纳粹集中营中	遭遇肉体消灭
      1 在律师帮助下	奥贝格费尔对俄亥俄州政府提起诉讼
      1 在同一家公司工作	似乎一切都不能将他们分开
      1 在亚瑟的死亡证明上	并冠以
      1 在一定程度上	同性恋人群代表着我们这个社会关于多样性的
      1 国皇帝	耸慷
      1 因此同性恋聚居区对其他各类人群也持比较开放的态度	对同性恋人群的开放程度就成为衡量人力资本低准入门槛的良好
      1 因	刑法
      1 回眸历史	同性恋古已有之
      1 回到家中	老邻居将他们的情况告诉了民权律师艾尔
      1 哪怕付	出一切
      1 和父亲的关系一向紧张	二人形影不离
      1 周刊称	最高法院审理同性恋婚姻案意味着社会的进步
      1 周一至周五	9
      1 员的人权战线	迫使各政党候选人就同性恋议题做出表态
      1 呈现出除罪化	除病化
      1 吼叫	以同性恋文人为主力军的
      1 吸引力的标志	无怪乎
      1 君士坦丁大帝确立基督教国教地位	处罚同性恋的法律相继出台
      1 向这些政客的对手大	量捐款
      1 向来力挺同性婚姻	最高法院判决后
      1 后者基本上接受了所谓的同性恋议程	我指的是一些同性恋活动人士积极
      1 后天说针锋相对	力主家庭
      1 同性恋非病理化呼吁首次受到正视	有识之士长期努力下
      1 同性恋解放阵线	成立
      1 同性恋者政治献金超过50万美元	2012年5月
      1 同性恋者俨然	创意时代的金丝雀
      1 同性恋组织详细研究美国各地的选举地图	瞄准一批政治地盘不甚稳固的反同性恋政客
      1 同性恋社群	一词无法完整体现相关群体
      1 同性恋权利	我们同志有力量
      1 同性恋文化突破传统禁忌	释放出不可遏制的生命活力
      1 同性恋拯救婚姻	婚姻的禁忌
      1 同性恋家庭中成长的子女	与异性恋家庭中成长的子女别无二致
      1 同性恋婚姻立法的全球战	同性恋婚姻合法化撕裂的美国
      1 同性恋婚姻法律问题研究	同性恋婚姻法律问题研究
      1 同性恋婚姻法律问题研究	从
      1 同性恋婚姻在美国	一对同性恋的
      1 同性恋婚姻合法化撕裂的美国	查看更多
      1 同性恋婚姻合法化	成潮流等
      1 同性恋婚姻之路与亲密关系	同性恋婚姻之路与亲密关系
      1 同性恋婚姻之路与亲密关系	从猎奇到常态的华语同性恋电影
      1 同性恋古已有之	柏拉图力主
      1 同性恋剔除出精神疾病分类	还饱受歧视的同性恋者一个迟来的公道
      1 同性恋人群成为创意时代某地对创意人群是否具备	吸引力的标志
      1 同性恋人群代表着我们这个社会关于多样性的	最后
      1 同性婚姻比手机或互联网还新	我们没有能力看到未来
      1 同性婚姻横空出世	1971年
      1 同性婚姻支持者	针锋相对指出
      1 同性婚姻合法化	如今
      1 同性婚姻伴侣有权享受联邦给予异性婚姻伴侣同样的福利	但该判决并未影响那些禁止同性结婚州的
      1 同性伴侣追求婚姻	权利表明他们并不是想要玷污婚姻
      1 同志多多的娱乐圈	向来力挺同性婚姻
      1 合法化演进轨迹	1941年
      1 各州必须为申请结婚的同性伴侣颁发结婚证	最美判决出炉
      1 可谓人山人海	Google
      1 只能带来255美元的社会保障金	但却足
      1 只能卧	病在床
      1 只有男子之间的爱情才是情感的真正贵族与骑士形式	不过基督教的兴起使得同性恋成为社会公认的罪恶
      1 只存在于男人之间	只有男子之间的爱情才是情感的真正贵族与骑士形式
      1 另一边	针尖对麦芒
      1 受托审理这起	案件
      1 取消对同性恋行为的惩罚	三年后
      1 发现	在一定程度上
      1 发出声音	争取尊严与权利
      1 双性恋者	Bisexuals
      1 原因无外乎脑部结构异常	荷尔蒙分泌失调
      1 原告上诉至最高法院	今年1月
      1 原创检测	文章原创检测
      1 历经两个多世纪美国法律	保护和人类的千年体验后
      1 历史论文	文学论文
      1 历史在改变	我相信接受同性婚姻的那一天不远了
      1 危害子女利益	严重冲击数千年婚姻传统
      1 千万别忘了颠倒众生的好莱坞	同志多多的娱乐圈
      1 医学论文	艺术论文
      1 包括美国国际集团	美国银行
      1 包括但不限于文字	数据及图表
      1 包容	多元和个性自由的时代精神
      1 加拿大与联邦德国也予以效仿	1948年
      1 力主家庭	习得
      1 到	文化信仰
      1 判决揭晓前	奥贝格费尔在旧金山市政厅发表演讲
      1 创意阶层的崛起	关于一个新阶层和城市的未来
      1 创意时代的金丝雀	正像在工业时代煤矿中的金丝雀是衡量矿下是否安全的标志一样
      1 创下美国政治史上单场筹款会筹集金额的最高纪录	投桃报李
      1 刑法	取消对同性恋行为的惩罚
      1 刑法	175条同性恋犯罪条款
      1 出柜	全家人对此
      1 出一切	判决揭晓前
      1 减少艾滋病等性病传	播
      1 准确性	真实性
      1 写下我的名字	奥贝格费尔坚定表示
      1 其竞选团队立刻收到100万美元的政治捐款	全部来自同性恋群体
      1 关于我们	闽ICP备13016544号
      1 关于同性恋罪错和卖淫	问题的报告
      1 关于一个新阶层和城市的未来	中
      1 共同向法庭提交了一份支持同性婚姻的陈述	它们
      1 公开的同性恋法官助理都十分常见	大法官斯卡利亚写到
      1 公元四世纪	君士坦丁大帝确立基督教国教地位
      1 公元538年	东罗马帝
      1 全部来自同性恋群体	第二天
      1 全美	10
      1 全球21国拥抱同性婚姻	LGBT
      1 全家人对此	早就知道
      1 克鲁尼为其举办的筹款晚会	奥巴马称支持同性恋婚姻是美国精神的延伸
      1 先是爱尔兰全民公决	成功通过同性婚姻合法化
      1 先天说强调同性恋是先天的	不可扭转的性取向
      1 信息来源于网络	完全免费共享
      1 俞飞	6月26日
      1 保护和人类的千年体验后	一些法官和地方当局现在擅自要修改文明的最根本制度
      1 保守派痛心疾首	严斥此举有害于社会
      1 保守派大法官阿利托摇头	同性婚姻比手机或互联网还新
      1 保守派大法官也罢	公开的同性恋法官助理都十分常见
      1 保守派共和党州议员甚至要求对法官提起弹劾	10月
      1 俄亥俄州辛辛那提同性伴侣奥贝格费尔和亚瑟	二十多年前在大学酒吧里
      1 俄亥俄州对二人婚姻的承认	只能带来255美元的社会保障金
      1 促进社会和谐	改变社会对同性恋的污名化
      1 促成了这趟行程	那天早晨
      1 你的努力改变了这个国家	将案子坚持打到最高法院的原告
      1 你的努力改变了这个国家	俄亥俄州对二人婚姻的承认
      1 你可能会娶一个你没有见过的12岁的小女孩	把妻子当成财产随意
      1 作者	俞飞
      1 体现法律面前人人平等精神和政教分离原则	有利于建立稳定单一的伴侣关系
      1 体现个人意愿	正是历史的巨大进步
      1 但该判决并未影响那些禁止同性结婚州的	法律
      1 但最少需要一万三千美元	一筹莫展的奥贝格费尔在脸书上
      1 但同性婚姻	已成不容回避的棘手
      1 但却足	以告慰了在天堂的爱人亚瑟
      1 似乎一切都不能将他们分开	直到2010年冬季的一天
      1 伊斯兰教	罕见联手号召信徒
      1 们删除已转载的信息	xzbu发布此信息目的在于传播更多信息
      1 以告慰了在天堂的爱人亚瑟	爱人死后
      1 以同性恋文人为主力军的	颓废
      1 以全新面貌示人	组织起来
      1 他将两人的戒指熔为一个	为了在你的死亡证明上
      1 他会接受数不尽的拥抱	人们感谢他
      1 他们高喊口号	黑手党和警察滚出酒吧
      1 他们的行动给一个需要澄清的问题制造了混乱	基督教
      1 他们爱着谁	你的努力改变了这个国家
      1 他们常拿自己的爱情开玩笑	说那是三见钟情
      1 他们在亚瑟姑妈见证下结为合法伴侣	有了这枚戒指
      1 他举起爱侣亚瑟的遗照	满眼柔情地说道
      1 他	和父亲的关系一向紧张
      1 从那之后	我就再也没离开过亚瑟
      1 从禁忌到法律	同性恋拯救婚姻
      1 从禁忌到婚姻	同性恋
      1 从禁忌到婚姻	作者
      1 从禁忌到婚姻	从禁忌到法律
      1 从猎奇到常态的华语同性恋电影	论我国同性恋婚姻合法化之障碍
