     13 中文	台灣
      1 高等行政法院101年度訴字第14號	26
      1 高俊明	陳志宏
      1 高二人提起訴願	台北市訴願審議委員會予以維持原處
      1 體育改革運動	女權
      1 體制外的生命故事	PDF
      1 马萨诸塞	馬里蘭
      1 马耳他	荷兰
      1 马提尼克	留尼汪
      1 马恩岛	根西
      1 馬里蘭	密歇根
      1 馬英九責成秘書長曾永權組成專案小組	邀集組發會
      1 馬英九說	過去他在台北市長任內對同志人權友善
      1 馬英九表示	同志議題是人權問題
      1 馬約特	5
      1 馬爾他	德國
      1 馬	多元成家爭議大
      1 香港繁體	澳門繁體
      1 首页	分类索引
      1 首次排定審查婚姻平權草案	這是東亞國家
      1 食品安全運動	體育改革運動
      1 風雨之中人潮亦不曾散去	音樂會的最後
      1 風向新聞	基督教今日報
      1 風傳媒	上報
      1 風傳媒	2017
      1 風傳媒	2014
      1 页面信息	维基数据项
      1 顯示年齡越高越保守	教育程度越高也越支持
      1 顧燕翎	林靜儀
      1 類似民事結合	但此註記並不具
      1 題目來操弄民調數據	140
      1 題目來操弄民調數據	137
      1 題	因為年輕人更容易接受同志人權
      1 領養子女的權利	以及老年同志的關懷照顧等
      1 須於	2年內修法的結果出來後
      1 順利通過一讀交付委員會審查	之後民進黨尤
      1 音樂會的最後	主辦單位以雷射投影
      1 音樂會在總統府前凱達格蘭大道登場	這場音樂會自
      1 音樂會	眾星今天下午力挺婚姻平權
      1 革命婚姻	婚姻平權
      1 非洲同性結合	英语
      1 非洲	尼日利亚
      1 需要更多對話溝通	對此議題
      1 需要修正的法律甚多	等
      1 需更多對話	聯合新聞網
      1 雷倩	游信義
      1 難以為大多數人民接受	草案的規定與
      1 雙管齊下	推動婚姻登記行政訴訟
      1 雙方親自申請	網站無資料
      1 雙方親自申請	婚姻平權法案
      1 雖然台灣自2003年開始就有每年舉辦的同志遊行	平權相關的議題也常為社會討論
      1 雌雄同體	明白
      1 集結凱達格蘭大道	訴求
      1 隨着事件發展	內容可能會快速更新
      1 隨後支持和反	對同性婚姻的團體都陸續動員支持者上街遊行表達自己的訴求
      1 隐藏分类	CS1英语来源
      1 隐私政策	关于维基百科
      1 随机条目	帮助
      1 陶晶瑩	李李仁
      1 陳美華	游盈隆教我們的玩民調心法
      1 陳美伶	全國戶政系統7月開放伴侶註記
      1 陳昭如	壓迫或特權
      1 陳明堂認為為了保障同性伴侶婚姻權益	將兩性用語全部移除
      1 陳敬學與高治瑋為了爭取平等結婚權	向臺北高等行政法院提起行政訴訟
      1 陳敬學與高治瑋在不滿司法系統拖延	判決和安全考量下
      1 陳敬學	黃國堯
      1 陳思豪	反對方
      1 陳志明	陳思豪
      1 陳志明	吳馨恩
      1 陳志宏	張全鋒
      1 陳信瑜	主張專法
      1 陳	高二人提起訴願
      1 除此之外也希望透過對同志父母親人等議題的討論	讓同志的
      1 除丟執煙霧彈等物品外	還出動梯子
      1 院解釋	64
      1 院總第244號	2006
      1 限期兩年修法或立法保障同性婚姻	女人迷
      1 限制同性婚姻違憲	公視
      1 限制其人身自由	他們宣稱已申請集會遊行
      1 附加条款亦可能应用	请参阅使用条款
      1 阿鲁巴	荷
      1 阿鲁巴	加拿大
      1 阿魯巴	庫拉索及荷屬聖馬丁
      1 阿森松和特里斯坦	达库尼亚
      1 阿根廷	玻利维亚
      1 阿根廷	丹麥
      1 阿拉戈斯州	智利
      1 阿拉巴马	亚利桑那
      1 阿尔巴尼亚	安道爾
      1 阿尔伯塔	不列顛哥倫比亞
      1 阻擋多元成家草案修法通過	目前也已得到將近20位的中常委聯署支持
      1 阅读	编辑
      1 關鍵的十年	關鍵的1
      1 關鍵的1	4
      1 關係機關	鑑定人相關書狀資料
      1 關係	可適用服務辦法
      1 閩俗原為聘男子為契弟之說	聞里人述夢中語
      1 閩人酷重男色	無論貴賤妍媸
      1 開曼群島	英
      1 開放時間	2015
      1 開放受理同性伴侶戶政註記	14
      1 長髮男警葉繼元免職案	臺灣同性婚姻釋憲案
      1 長者為契兄	少者為契弟
      1 链入页面	相关更改
      1 鑑定人相關書狀資料	61
      1 鍾逸帆	邁向同性婚姻平權社會
      1 錯誤	115
      1 金塔納羅奧州	科阿韋拉州
      1 金塔納羅奧	荷属安的列斯
      1 重量級藝文界人士	以及眾多政壇及媒體圈高層都到場表
      1 釋昭慧法師為兩位居士在桃園縣觀音鄉弘誓學院主持婚禮	為台灣首次佛化同志婚禮
      1 釋憲後同婚法案首次協商	國親未出席
      1 酷新聞	聯合新聞網
      1 酷新聞	最新
      1 酷新聞	QueerWatch
      1 酷摩沙獎	同光同志長老教會
      1 配偶限制	無配偶
      1 配偶	婚姻
      1 鄭麗君委員召開法案公聽會	正反方意見交鋒
      1 鄭麗	君
      1 鄭羿菲	反對為同婚修法
      1 鄧如雯殺夫案	彭婉如遇害事件
      1 都將為台灣性別人權寫下歷史的一頁	伴侶盟常務監事徐蓓婕說
      1 郭石城	莫忘來時路
      1 部分長老教會與天主教會人士等為主要核心	106
      1 部分認為可以另立專法來處理同性婚姻	但支
      1 部分群眾更在2	30分左右闖入立法院內
      1 部分條文修正草案儘速進行二	三讀
      1 部分更直接冠以政府機關名義	衛生福利部於11月28日發布聲明表示未刊登此類廣告
      1 部分成員以闖入立法院的方式進行激烈抗爭	於是尤美女委員
      1 部分区域实行同性婚姻	英國
      1 邱太三	賴清德
      1 那時人們稱這種關係為	契兄弟
      1 那些年	男生與男生可以結婚
      1 邏輯上複合問句謬誤	也不符合
      1 還包	括是否支持與同性戀有關的性別教育課程納入十二年國民基本教育國中小課程範圍
      1 還出動梯子	床墊等物品多次衝撞試圖進入立法院
      1 還	有同樣由宗教人士組成的
      1 邁向同性婚姻平權社會	立法模式與司法判決模式之比較分析
      1 邀集組發會	文
      1 邀集500人	排出
      1 邀集	大家上街支持婚姻平權
      1 邀請立委候選人允諾進入立法院後	成為婚姻平權草案的提案
      1 遭駁	回
      1 遭背十字架反嗆	蘋果日報
      1 遭政院公審會駁回	蘋果日報
      1 遭政府機構拒絕	13
      1 遭妻告通姦	護家盟重砲手爆婚外生女
      1 違反親子關係的血統真實認定原則	影響
      1 達祝福	14
      1 過去他在台北市長任內對同志人權友善	也首先
      1 運動	校園同志甦醒日
      1 運動	女人連線反性騷擾大遊行
      1 運動	公娼抗爭
      1 遊行訴求則是	爭取同志伴侶權益的合法化
      1 逾期未完成相關法律之修正或制定者	相同性別二人為成立上開永久之關係
      1 進行言詞辯論	59
      1 進行	101
      1 進入司法法制委員會審議	2016年立法委員選舉
      1 連署行動	當時伴侶盟預計於201
      1 這草案讓神明都跳腳了	他一定會竭盡全力阻擋這不成熟的法案通過
      1 這次音樂會已成為台灣史上最多人民參與的性別平權活動	根據
      1 這是東亞國家	史上首次在國會審議婚姻平權法案
      1 這場音樂會自	下午兩點正式開始
      1 透露	擁抱
      1 透過理性的意見交流	讓更多人能說出自己的心聲
      1 送進立法院	希望讓台灣早日達成婚姻平權
      1 这些自治领地依次是	关岛
      1 这些海外自治领土依次为	南乔治亚岛和南桑威奇群岛
      1 这些海外自治领及属国有	新喀里多尼亚
      1 这些海外大区有	瓜德罗普
      1 近於總體數字	傾向時代力量者
      1 近8成支持	30
      1 达库尼亚	7
      1 農民運動	環境運動
      1 輔大心理系性侵事件	運動
      1 輔仁神學院生命倫理研究中心	統一教
      1 身份證等書面文件上	此後
      1 跳到搜索	本条目的引用需要进行清理
      1 跳到导航	跳到搜索
      1 路易斯安那	緬因
      1 跨越頭目女兒與平民的身分階級差異	結拜為乾姐妹
      1 跨性別倡議站	全國中學學生權益研究會
      1 跨出第一步	婚姻平權法案一讀通過
      1 跨	性婚姻入法公聽會
      1 距今还有124天	以当地时间计算
      1 趙曉音牧師表示同婚人士都是演的	現場並無不歡迎不同意見
      1 趙天麟	陳信瑜
      1 越南	歐洲
      1 超越挺同	140
      1 起始於1980年代末期祁家威提出同性婚姻法制化的請願	1
      1 走入同志家庭4	原來我們是次等公民
      1 资助维基百科	在其他项目中
      1 贡献	创建账户
      1 贊成者為40	反對者52
      1 贊成修民法	137
      1 贊成也高達67	2016年11月
      1 贊成51	不贊成43
      1 贊成	反對
      1 贊成	31
      1 賴清德	簡孟軒
      1 賈靜雯	歌曲代表
      1 象徵點亮立法院	宣告戰場將回歸立法院
      1 请检查	access
      1 请参阅使用条款	Wikipedia
      1 请刷新页面缓存	臺灣的同性婚姻議題與相關社會運動
      1 讨论	贡献
      1 讨论	_
      1 讓這個議題開始大量於主流媒體上曝光討論	遊行訴求則是
      1 讓更多人能說出自己的心聲	37
      1 讓同志的	父母及親人能對同志有更深的了解
      1 護家盟重砲手爆婚外生女	Next
      1 護家盟亦反對民法	多元成家
      1 護家盟	草案三法案
      1 議	10月31日
      1 警方僅估計在申請區內之人數	約為7萬人
      1 證實法務部的立場具有多數民意基礎目前社會仍存有許多歧見與爭議	涉及國情及社會倫理架構
      1 論伴侶盟的策略失誤	上
      1 請留心記載正確信息	在情報相對明朗之後進行編輯更新
      1 調查報告第208頁	2015年12月
      1 調查報告第208頁	2001年6月
      1 認養子女等權益義務	在同性結合時也能適用
      1 認為法務部應就修訂民法及制定專法等研議相關配套	其餘發言的立法委員
      1 認為夫妻關係中的贈與	繼承
      1 認為	我們的性教育
      1 認清	真愛聯盟
      1 認可非註冊同居關係	英语
      1 該調查將問題設計為三種互斥的方式提問	支持56
      1 該公投提案的題目除了同婚	特別法形式
      1 試圖對話溝通時	卻遭
      1 註釋	1
      1 註記的效力	66
      1 註記也不	會出現在戶籍謄本
      1 註記	類似民事結合
      1 訴求革命婚姻多元伴侶	華人健康網
      1 訴求與之前登報廣告相同	並呼籲12
      1 訴求包括	婚姻
      1 訴求	挺婚姻一男一女
      1 許秀雯	黃惠偵
      1 許秀雯	呂欣潔
      1 許毓仁轟自家人	藍綠斷開黨鞭闖過婚平案
      1 許毓仁投下贊成	新頭殼
      1 許毓仁	黃國昌
      1 許佑生與烏拉圭籍的葛瑞	Gray
      1 許佑生	尤美女
      1 設籍限制	雙方
      1 記者會簡報	128
      1 言論自由	104
      1 视图	阅读
      1 親民黨	台灣團結聯盟各有若干候選人支持
      1 親屬編	當中
      1 親屬	亦編部分條文修正草案
      1 規定之可公投要件	94
      1 要求黨團全力	阻擋多元成家草案修法通過
      1 要求行政和立法机关两年内完成相關法律	之修正或制定
      1 要求立法机关两年内修法保障同性结合的权利	蘋果日報
      1 要求民眾於隔日到立法院表達心聲	廣告內容指稱
      1 要國民黨踹共	自由時報
      1 要公投	台灣醒報
      1 西班牙	瑞典
      1 西班牙	加拿大
      1 西弗吉尼亚	怀俄明
      1 西北地区	努納武特
      1 袁枚	子不語
      1 表達支持多元成家的意願	當持不同訴求的民眾舉牌
      1 表達支持和反對	100
      1 表達他們對於同志婚姻平權的支持	同時有超過七十位藝人透過影像
      1 衛生福利部於11月28日發布聲明表示未刊登此類廣告	並指出其中
      1 行政院研究發展考核委員會	120
      1 行政院宣布將於同年7月以行政命令開放全國性的同性伴侶戶政註記	亦可跨縣市辦理登記
      1 行政部門的法務部部長邱太三在立法院諮詢時	回答林靜儀委員法務部的方針乃是依循2015年的既定方向朝向立
      1 號解釋	www
      1 號召力已大不如前	105
      1 號	民法第四編親屬第二章婚姻規定
      1 蘋果日報	報導
      1 蘋果日報	84
      1 蘋果日報	83
      1 蘋果日報	2017
      1 蘋果日報	2013
      1 蘋果日報	2009
      1 蘋果日報	138
      1 藍綠斷開黨鞭闖過婚平案	上報
      1 藍民調	修法同婚
      1 薩斯喀徹溫	西北地区
      1 蕭銘偉	楊智達
      1 蕭美琴與林靜儀均意外	地投下反對票
      1 蕭亞軒	林逸欣
      1 蔡英文支持多元家庭	聯合新聞網
      1 蔡英文推同性婚姻態度堅定	2路線大躍進
      1 蔡英文	我支持婚姻平權
      1 蔡易餘立委版本	同性婚姻專章
      1 蔡昇晏	林憶蓮
      1 蔡康永	只要是人就值得有個家
      1 蔡依林	Hush
      1 蒙大拿	内华达
      1 葡萄牙	罗马尼亚
      1 葡萄牙	冰岛
      1 著名節目主持人蔡康永直言	只要是個人
      1 葉高華	陳美華
      1 葉高華	再論同性婚姻的民調問題
      1 葉瑜娟	同婚釋憲案言詞辯論庭紀實
      1 葉永鋕事件	長髮男警葉繼元免職案
      1 落在凡塵的美麗彩虹	佛化同志婚禮紀事
      1 萬曆野獲編	閩人酷重男色
      1 萨尔瓦多	格陵蘭
      1 菲律宾	俄羅斯
      1 華視	2016
      1 華盛頓	威斯康辛
      1 華人健康網	2012
      1 莫雷洛斯州	恰帕斯州
      1 莫忘來時路	11月10日
      1 荷属安的列斯	美国
      1 荷兰	比利时
      1 荷兰	挪威
      1 荷	北爱尔兰
      1 草案第二十四條提出	為保障同性戀者人權
      1 草案的規定與	民法血統真實原則有違
      1 草案出爐	明定性傾向自由權利不應被歧視
      1 草案三法案會造成現有家庭制度崩	潰瓦解
      1 草案三法案	毀家廢婚擴大淫亂
      1 草案	給予同性伴侶結婚及共同收養子女的權利
      1 草案	立法院議案關係文書
      1 草案	伴侶制度草案
      1 草案	PDF
      1 草案	2013年
      1 范雲	林芳玫
      1 英语	Unregistered_cohabitation
      1 英语	Unregistered
      1 英语	Status
      1 英语	Marriage
      1 英语	Divorce
      1 英语	22
      1 英格蘭	威爾斯
      1 英屬印度	洋领地
      1 英屬南极领地	直布罗陀
      1 英國	北美
      1 英國	6
      1 英国的14个海外自治领土中的9个也先后通过了同性婚姻	这些海外自治领土依次为
      1 英	英语
      1 英	特拉斯卡拉州
      1 苦勞網	中央大學性
      1 若黨工和其伴侶為縣市戶政註記中	同性伴侶
      1 若承認同性婚姻	其父母的應繼分即僅各為遺產的三
      1 若任何人想組成家庭	有相互照顧
      1 苏格兰	马恩岛
      1 花蓮縣與臺東縣尚未表態願意同步實施	67
      1 芬蘭	馬爾他
      1 芬蘭	希腊
      1 艾普羅民意調查公司	旺旺中時民調中心
      1 艾奥瓦	路易斯安那
      1 舉牌遭包圍	當事人擬告下福盟強制罪
      1 與會的法務部代表亦消極應對	63
      1 與我國親屬人倫觀念嚴重不合	違反親子關係的血統真實認定原則
      1 與憲法第	22
      1 與中華民國傳統中的親屬人倫觀念嚴重不合	難以為大多數人民接受
      1 與	停止審查
      1 與	修民
      1 臺灣體操教練被控性侵案	運動
      1 臺灣社會運動	政治運動
      1 臺灣的同性婚姻議題與相關社會運動	起始於1980年代末期祁家威提出同性婚姻法制化的請願
      1 臺灣歷史上於幾百年前的閩南人	男風盛行
      1 臺灣是亞洲首例	524
      1 臺灣日治時期	台灣本地就存有兩女結婚的紀錄
      1 臺灣日日新報	1912年時有位女性
      1 臺灣新聞動態	本文記述一項臺灣新聞動態
      1 臺灣性別人權協會	苦勞網
      1 臺灣性別不明關懷協會	拉拉資推工作室
      1 臺灣家庭協會	台灣全國媽媽護家護兒聯盟
      1 臺灣同性婚姻釋憲案	運動
      1 臺灣同性婚姻釋憲案	1
      1 臺灣同性婚姻法制化	歷史
      1 臺灣同性婚姻最晚生效日	中華民國
      1 臺灣同性婚姻	隐藏分类
      1 臺灣同性婚姻	维基百科
      1 臺灣同性婚姻	多元成家立法草案
      1 臺灣同性婚姻	oldid
      1 臺灣同志遊行	臺灣同性婚姻
      1 臺灣同志諮詢熱線協會	台灣伴侶權益推動聯盟
      1 臺灣人權學刊	2012
      1 臺灣TG蝶園	臺灣性別人權協會
      1 臺灣LGBT權益	台灣人權
      1 臺灣	泰國
      1 臺灣	未
      1 臺南市政府	臺南市同性伴侶註記作業須知
      1 臺南市同性伴侶註記作業須知	2016
      1 臺南市	73
      1 臺北靈糧堂	輔仁神學院生命倫理研究中心
      1 臺北市晚晴婦女協會	婦女權益促進發展基金會
      1 臺北市政府	祁家威聲請解釋案
      1 臺北市政府	同性伴侶所內註記作業方式
      1 臺北市在6月17日	臺中市政府於10月1日
      1 臺北市	71
      1 臺中市政府於10月1日	皆開放受理
      1 臺中市政府	同性伴侶關係註記
      1 臺中市	72
      1 至於以何種形式達成婚姻自由之平等	保護
      1 至少有卅五位是反同志教會相關組織幹事	112
      1 自由的百科全书	跳到导航
      1 自由時報	中國時報四份台灣主要報紙買下半版廣告
      1 自由時報	2017
      1 自由時報	2016
      1 自由時報	2015
      1 自由時報	2013
      1 自由台灣黨	社會團體
      1 自由台灣黨	樹黨全黨候選人支持
      1 自治领均依照通过时间先后顺序排列	2
      1 自2018年4月带有失效链接的条目	条目有永久失效的外部链接
      1 自105年4月1日實施	2016
      1 臨時由網路發起的	婚姻平權
      1 脚注及外部链接格式	臺灣新聞動態
      1 育空	哥斯达黎加
      1 聲請人	關係機關
      1 聯盟希望把焦點拉回對人權議題的關注	透過理性的意見交流
      1 聯合新聞網	永久失效連結
      1 聯合新聞網	代表人物
      1 聯合新聞網	38
      1 聯合新聞網	2013
      1 聯合新聞網	2012
      1 聯合新聞網	117
      1 聯合新聞網	115
      1 聯合新聞網	105
      1 聯合新聞網	104
      1 聯合報系	123
      1 聯合報	自由時報
      1 聯合報	59
      1 聯合報	2015
      1 聞里人述夢中語	爭醵錢立廟
      1 聖馬利諾	英语
      1 聖經	是怎麼寫的
      1 聖巴	托洛繆島
      1 联络我们	关于维基百科
      1 而行政院性別平等處副處長吳秀貞則表示贊成	認為法務部應就修訂民法及制定專法等研議相關配套
      1 而為部落中人所接受	10
      1 而為經營共同生活之目的	成立具有親密性與排他性永久結合關係
      1 而民進黨總統當選人蔡英文更是選前表達公開支持婚姻平權	然而
      1 而且承認同性婚姻且共同收養子女	其父母就完全喪失繼承權
      1 者中	至少有卅五位是反同志教會相關組織幹事
      1 義結金蘭	魯凱族女同志婚姻
      1 義結金蘭	儀典
      1 群情激憤並與警方發生衝突	部分群眾更在2
      1 美洲同性結合	英语
      1 美属萨摩亚	关岛
      1 美女	國民黨許毓仁以及時代力量各提出一個民法修正草案
      1 美国除美属萨摩亚以外的海外自治领地也先后通过了同性婚姻法案	这些自治领地依次是
      1 美国	阿拉巴马
      1 美国	美属萨摩亚
      1 美国	5
      1 羅靜雯	多元成家面面觀
      1 羅德島	南卡罗来纳
      1 署手術同意書的問題獲得解套	69
      1 署名	相同方式共享
      1 罗马尼亚	俄羅斯
      1 编辑链接	本页面最后修订于2019年1月10日
      1 编辑本页	Wikipedia
      1 编辑	臺灣歷史上於幾百年前的閩南人
      1 编辑	臺灣LGBT權益
      1 编辑	维基文库标志
      1 编辑	民主進步黨響應2016年10月29日第14屆台灣同志遊行而製作的
      1 编辑	正反方組織動員
      1 编辑	查看历史
      1 编辑	日期
      1 编辑	反對組織眾多
      1 编辑	前總統馬英九認為
      1 编辑	以民法部分條為更改方式
      1 编辑	主条目
      1 编辑	2015年5月20日
      1 编辑	2006年台灣首次提出同性婚姻法後
      1 编辑	2003年7月17日
      1 编辑	1
      1 编	臺灣社會運動
      1 编	臺灣同性婚姻法制化
      1 编	臺灣同性婚姻最晚生效日
      1 编	世界各地同性結合狀態
      1 维基社群	方针与指引
      1 维基百科来源清理	导航菜单
      1 维基百科	自由的百科全书
      1 维基文库标志	维基文库中相关的原始文献
      1 维基文库中相关的原始文献	司法院释字第748号解释
      1 维基数据项	引用本页
      1 维基媒体基金会是按美国国內稅收法501	c
      1 维基共享资源	打印
      1 维基	是维基媒体基金会的商标
      1 纳亚里特州	哈利斯科州
      1 繼續推動人權跟婚姻平等的草案	多元的社會與
      1 繼承篇部分條文修正案一讀通過	將交付司法法制委員會審查
      1 繼承權	以及
      1 繼承原則	以配偶及血親繼承人為法定繼承人
      1 繼承	認養子女等權益義務
      1 繁體	大陆简体
      1 總統蔡英文亦在個人臉書首度以總統身分表達支持態度	並尊重立法院的決議
      1 總統府人權諮詢委員會	人權基本法
      1 總統	同志有權結婚
      1 縣市	高雄市
      1 緬因	马萨诸塞
      1 網站無資料	雙方親自申請
      1 網站無資料	無配偶
      1 網站無資料	年滿20歲
      1 網站無資料	一方
      1 網站	2017
      1 維基百科不是新聞的收集处	請留心記載正確信息
      1 綠黨社會民主黨聯盟	自由台灣黨
      1 綠黨	社會民主黨
      1 綠委推動同性婚姻修法	法務部
      1 經表決後遭民進黨多數封殺	值得注
      1 經行政院公投審議會上午審查後	以10票比1票認定不符合
      1 統一教副協會長張全鋒表示	草案三法案會造成現有家庭制度崩
      1 統一教	國際火炬先鋒事奉關懷協會
      1 給予同性伴侶結婚及共同收養子女的權利	伴侶制度草案
      1 給予不限性別的兩人締結不以愛情和性關係為基礎的家庭關係的權利	家屬制度草案
      1 給予不限性別的兩人以上的人士以共同居住為要件	組成家庭的權利
      1 絕大多數的組織都有宗教背景	其中更以基督教右派為主
      1 結拜為乾姐妹	組成部落裡族人所認可的家庭
      1 結婚地實行同性婚姻才會承認	9
      1 結婚再等等	130
      1 組成部落裡族人所認可的家庭	24
      1 組成家庭的權利	三項法案中
      1 終於等到了	婚姻平權有進步
      1 紐西蘭	美国
      1 紐西蘭	盧森堡
      1 紐芬蘭與拉布拉多	新斯科舍
      1 紐約州	北卡罗来纳
      1 約為7萬人	出席的民眾半數以上為青年面孔
      1 約有50人成功闖入立法院前廣場並旋即被警方逮捕	下午一點左右委員會完成審議並將法案送出進入政黨
      1 米却肯州	莫雷洛斯州
      1 簡至潔	從
      1 簡稱護家盟	但在秘書長張守一爆發通姦私生風波之後
      1 簡稱東福盟	也是宗教人士組織而成的團體
      1 簡稱捍家盟	等
      1 簡稱幸福盟	安定力量聯盟
      1 簡稱媽媽盟	捍衛家庭學生聯盟
      1 簡稱則將伴侶盟的3案統稱為	性解放草案
      1 簡孟軒	朱武獻
      1 简体	繁體
      1 等議題	105
      1 等訴求	96
      1 等法律效力	日後不能依此主張分遺產
      1 等字樣	以及象徵同性戀結合的性別符號與六色彩虹
      1 等	皆屬基督教右派所組成的倡導團體
      1 等	幾乎和護家盟意見一模一樣
      1 第十屆台灣同志遊行10	27新聞稿
      1 第六期第三次調查報告第307	308頁
      1 第九屆立法委員的更替回到原點	有別以往的三案並行的工程浩大
      1 第14屆臺灣同志遊行前夕	婚姻平權議題再度受到討論
      1 端傳媒	2017
      1 立陶宛	盧森堡
      1 立院初審通過	自由時報
      1 立院初審通過	政治
      1 立法院議案關係文書	院總第244號
      1 立法院第	8
      1 立法院時代力量黨團在院會提出讓與婚姻平權有關的	民法
      1 立法院將該草案的第一部分	婚姻平權與同性婚姻法制化的民法親屬
      1 立法院外聚眾的	下一代幸福聯盟
      1 立法院司法與法制委員會審查同性婚姻相關草案	共計6案
      1 立法院司法及法制委員會進行婚姻平權民法修改的審議	正方反方各自於濟南路與中山南路聚集舉辦
      1 立法院司法及法制委員會在輪值主席尤美女的主導下	首次排定審查婚姻平權草案
      1 立法院包含民進黨	國民黨
      1 立法院再次召開法案公聽會	正反雙方辯論激烈
      1 立法院	立法院第
      1 立法模式與司法判決模式之比較分析	中原大學財經法律學系碩士學位論文
      1 立法攻防戰展開	性別人權協會
      1 立法委員尤美女主持召開第一次朝野協商	但國民黨及親民黨未派員出席
      1 立法司法途徑雙管齊下	伴侶盟力拚婚姻平權
      1 突然提出改修專法以及召開公聽會的訴求	同時
      1 究有何牴觸憲法之處	的理由
      1 稱謂篇兩支廣告	各30秒
      1 稱為	qaliqali
      1 稱為	langilangi
      1 移除兩性用語	與我國親屬人倫觀念嚴重不合
      1 秘鲁	烏拉圭
      1 科阿韋拉州	奇瓦瓦州
      1 科罗拉多	康涅狄格
      1 科利马州	米却肯州
      1 福克兰群岛	百慕大
      1 祈家威聲請釋憲	台灣性別人權協會
      1 祁家威聲請解釋案	司法影音網
      1 祁家威	黃惠偵
      1 祁家威	許佑生
      1 社運者	祁家威
      1 社運者	呂錦花
      1 社運者	何春蕤
      1 社會逐漸開放	多元家庭就是要打破過去婚姻為一男一女的限制
      1 社會民主黨	自由台灣黨
      1 社會團體	台灣宗教團體愛護家庭大聯盟
      1 社會團體	台灣伴侶權益推動聯盟
      1 社會事	同性戀得先當伴侶
      1 社會上爭議很大	但他卻無法提出相關調查數據
      1 示將開諮詢會審查	107
      1 研考會民調	5成9民眾不贊成同性戀結婚
      1 研擬妥適的政策方向	民意調查
      1 短短十幾年間	下一代成為性解放
      1 知识问答	字词转换
