      1 首先法律具有局限性	不涉	及个人情感的调控
      1 就我国现行的	婚姻法	第二条规定
      1 就单从立法程序上看需30个人大联名	在加之通过的条件	恐怕在同性恋婚姻合法化所带来的问题
      1 尤其是承认同性伴侣间财产继承权以及平等领养子女权利	很可惜这法案能否排案审查并	进入第二程序
      1 对其后果也充满担忧	初此次之外	西方许多法律源于宗教的信仰
      1 对于少数人甚	至是特殊群体的权利	人们也要考虑
      1 家庭	抚养儿女的权利共同构成法律保护的核心个人自由权利	4婚姻是政体的基石
      1 实行婚姻自由	一夫一妻	男女平等
      1 婚姻的重要目的之一是为了生育繁衍后代	并抚养其健康成长	显然同性恋婚姻不可能完成
      1 婚姻的缔结对其他的法律关系变动的影响是巨大的	如儿女的抚养权监护权	财产分配
      1 婚姻的基础条件是	一男一女	一夫一妻
      1 婚姻法	第二条规定	实行婚姻自由
      1 婚姻是法律对社会的宣告	是法律可以干涉的社会关系	从法理学的角度来看婚姻是一
      1 婚姻平权	问题	但结果也不尽人意
      1 婚姻	二字意义也改变了许多	婚姻是法律对社会的宣告
      1 如果割裂法律与道德的关系	认为道	德不应成为人权自由的负担
      1 如果伴侣双方都领养了一个孩子	那么继承权的问题	又该何去何从呢
      1 如儿女的抚养权监护权	财产分配	及继承权
      1 如做手术一方不能为另一方签字	又该怎么办	其是我们反对同性恋婚姻合法化的一个重要原因是担心在其合法化自后牵涉到许多无
      1 如	夫妻	改为
      1 夫妻	改为	配偶
      1 大法官们在掐什么	尽管美国最高院给出相应判决	但人们对同性恋婚姻合法化依旧议论纷纷
      1 多边婚姻	乱伦	合法化
      1 多了	婚姻	二字意义也改变了许多
      1 在讨论这个问题之前	我有一点需要强调一下	同性恋不同于同性恋婚姻
      1 在稳定环境中抚养孩子	婚姻的重要目的之一是为了生育繁衍后代	并抚养其健康成长
      1 在现今社会许多对同性恋不友善的舆论中小孩的教育问题又该如何保障呢	如果伴侣双方都领养了一个孩子	那么继承权的问题
      1 在没有系统的规定及办法前	同性恋婚姻合法化还是得缓一缓	就我国现行的
      1 在加之通过的条件	恐怕在同性恋婚姻合法化所带来的问题	解决之前及人们观念改变之时
      1 图片发自简书App	同性恋婚姻合法化一直是一个有争议的话题	以往的舆论大多数是反对
      1 因此单从个人性取向及情感的角度	同性恋是自由且平等的	他人或法律无权干涉
      1 向	权利本位	过渡的今天
      1 同性恋结婚应该也受法律平等的尊严	而宪法也应该赋予他们这份权利	而另一位大法官罗伯茨则认为
      1 同性恋的境遇有所改观	现在许多国家致力于不断完善法治发展	许多时候强调保障人权
      1 同性恋是自由且平等的	他人或法律无权干涉	其次在从
      1 同性恋是个人性取向及个人情感的表达	从法律的特点看	首先法律具有局限性
      1 同性恋婚姻是人个人意思的表达	也是其基本	的权利
      1 同性恋婚姻合法化问题的讨论	不仅关乎问题本身及其后果	更关乎法律与道德的关系
      1 同性恋婚姻合法化还是得缓一缓	就我国现行的	婚姻法
      1 同性恋婚姻合法化在现今的中国恐怕是一个漫长艰辛的过程	就单从立法程序上看需30个人大联名	在加之通过的条件
      1 同性恋婚姻合法化后将会带来一系列的社会后果需谨慎考虑	我们在合法化之前先要考虑其后果及解	决办法
      1 同性恋婚姻合法化只能是一个遥遥无期的梦罢了	著作权归作者所有	__________________________________________________________________
      1 同性恋婚姻合法化也违背他们的信仰	总之合法化的道路依旧困难重重	除了从相关利益后果我们还可以从法律与道德的关系的来考虑
      1 同性恋婚姻合法化一直是一个有争议的话题	以往的舆论大多数是反对	同性恋再过去几十年甚至是上百年很少得到大多数人认可
      1 同性恋婚姻合法化	之论见	180
      1 同性恋婚姻合法之战	大法官们在掐什么	尽管美国最高院给出相应判决
      1 同性恋再过去几十年甚至是上百年很少得到大多数人认可	然而现在社会发展	人们思想
      1 同性恋伴侣双方又该如何称呼呢	在现今社会许多对同性恋不友善的舆论中小孩的教育问题又该如何保障呢	如果伴侣双方都领养了一个孩子
      1 同性恋不同于同性恋婚姻	同性恋是个人性取向及个人情感的表达	从法律的特点看
      1 合法化的道路也较为艰难	同性恋婚姻合法化在现今的中国恐怕是一个漫长艰辛的过程	就单从立法程序上看需30个人大联名
      1 合法化	的议题	笔者认为我们不能一味的只讲人权与自由
      1 可能是我国对待同性恋婚姻合法化的问题的解决上经验不够	合法化的道路也较为艰难	同性恋婚姻合法化在现今的中国恐怕是一个漫长艰辛的过程
      1 双方自愿	显然同性恋婚姻合法化不符合我国现行的婚姻法	现在我们来试着探讨一下立法者立法背后的含义
      1 双亲	去掉了有男女区别性质的词语	这个法案赋予了同性恋者更多权利
      1 及继承权	所以同性恋婚姻并是不单纯的私事	同性恋婚姻合法化后将会带来一系列的社会后果需谨慎考虑
      1 及个人情感的调控	因此单从个人性取向及情感的角度	同性恋是自由且平等的
      1 又该怎么办	其是我们反对同性恋婚姻合法化的一个重要原因是担心在其合法化自后牵涉到许多无	法预知的权益问题
      1 又该何去何从呢	若说同性恋婚姻合法化会带来婚姻法的大变动	继承法及其他的规范性法律文件也会做出相应改变
      1 参考资料	凤凰网	同性恋婚姻合法之战
      1 去掉了有男女区别性质的词语	这个法案赋予了同性恋者更多权利	尤其是承认同性伴侣间财产继承权以及平等领养子女权利
      1 即便我们不认同也应该尊重	相	关规范性法律文件也应该保障同性恋不受歧视及有应有的权利
      1 即便同性恋家庭可以领养小孩	那么子女对	同性恋伴侣双方又该如何称呼呢
      1 卖淫	甚至是人兽都可以自由与人权做幌子而招摇过市	尽管荷兰及芬兰等国通过了同性恋婚姻合法化
      1 单是同性婚姻合法化自提出起	争议从未停止	所以美国最高院的判
      1 初此次之外	西方许多法律源于宗教的信仰	法律和婚姻源于
      1 创作你的创作	接受世界的赞赏	Submit
      1 创作你的创作	免费下载	同性恋婚姻合法化
      1 创作你的创作		
      1 凤凰网	同性恋婚姻合法之战	大法官们在掐什么
      1 决结果不是问题的解决	而是进一步引发人们对同性恋婚姻况味的咀嚼及对同性婚姻是否合法的进一步思考与讨论	此次判例
      1 决办法	并以法律的形式加以解决	在没有系统的规定及办法前
      1 其次在从	义务本位	向
      1 其是我们反对同性恋婚姻合法化的一个重要原因是担心在其合法化自后牵涉到许多无	法预知的权益问题	其实早在2013年有民进党的成员有尝试解决
      1 其教育与评价作用会引领社会价值观的变动	若有人说同性恋婚姻合法化是婚姻自由人权自由的体现	那么合法化后是否会引发
      1 其实早在2013年有民进党的成员有尝试解决	并提出修改	民法
      1 关规范性法律文件也应该保障同性恋不受歧视及有应有的权利	但请注意同性恋婚姻与同性恋不同	多了
      1 免费下载	同性恋婚姻合法化	之论见
      1 值得人们深思	在讨论这个问题之前	我有一点需要强调一下
      1 保证一对父母	在稳定环境中抚养孩子	婚姻的重要目的之一是为了生育繁衍后代
      1 但请注意同性恋婚姻与同性恋不同	多了	婚姻
      1 但结果也不尽人意	我们来看看美国是如何解决这个问题的	当地时间2015年6月26日12时50分
      1 但并不代	表我国在现今也可以	一国的法律的产生离不开那国情与历史的因素
      1 但人们对同性恋婚姻合法化依旧议论纷纷	对其后果也充满担忧	初此次之外
      1 以违反历史传统及道德驳回前者观点	更考虑了同性恋婚姻合法化之后的不良后果	参考资料
      1 以法律权利和法律义务为内容的社会关系	婚姻的缔结对其他的法律关系变动的影响是巨大的	如儿女的抚养权监护权
      1 以往的舆论大多数是反对	同性恋再过去几十年甚至是上百年很少得到大多数人认可	然而现在社会发展
      1 他人或法律无权干涉	其次在从	义务本位
      1 从法理学的角度来看婚姻是一	种以相关法律规范性文件为基础形成的	以法律权利和法律义务为内容的社会关系
      1 从法律的特点看	首先法律具有局限性	不涉
      1 从我国现行的婚姻法来看	婚姻的基础条件是	一男一女
      1 人们思想	改变	同性恋的境遇有所改观
      1 人们也要考虑	同性恋婚姻合法化问题的讨论	不仅关乎问题本身及其后果
      1 二字意义也改变了许多	婚姻是法律对社会的宣告	是法律可以干涉的社会关系
      1 事实上所以的法律都是出于某种道德判断	如果割裂法律与道德的关系	认为道
      1 争议从未停止	所以美国最高院的判	决结果不是问题的解决
      1 乱伦	合法化	的议题
      1 乱伦	卖淫	甚至是人兽都可以自由与人权做幌子而招摇过市
      1 也是其基本	的权利	应该是自由的且受保护的
      1 之论见	180	松霖泽物
      1 之后在台湾历史上也首次在立法院公开讨论了	婚姻平权	问题
      1 义务本位	向	权利本位
      1 不许任何一方对他方加以或任何第三方加以	干涉	从我国现行的婚姻法来看
      1 不涉	及个人情感的调控	因此单从个人性取向及情感的角度
      1 不仅要保障大多数人的权利	对于少数人甚	至是特殊群体的权利
      1 不仅要保障多数人的权利也不能忽视对少数人权利的保护	所以保障同性恋这个少数群体的权利在提倡人权的今天显得尤为重要	即便我们不认同也应该尊重
      1 不仅关乎问题本身及其后果	更关乎法律与道德的关系	还关乎人权保障
      1 下载简书	创作你的创作	
      1 上帝的赐予	同性恋婚姻合法化也违背他们的信仰	总之合法化的道路依旧困难重重
      1 一男一女	是婚姻缔	结的核心
      1 一男一女	一夫一妻	双方自愿
      1 一夫一妻	男女平等	第五条
      1 一夫一妻	双方自愿	显然同性恋婚姻合法化不符合我国现行的婚姻法
      1 一国的法律的产生离不开那国情与历史的因素	可能是我国对待同性恋婚姻合法化的问题的解决上经验不够	合法化的道路也较为艰难
      1 一些突发情况	如做手术一方不能为另一方签字	又该怎么办
      1 Submit	打开App	热门文章
      1 Submit	打开App	180
      1 png	创作你的创作	接受世界的赞赏
      1 misc	logo	805143dd
      1 logo	创作你的创作	免费下载
      1 logo	805143dd	png
      1 JavaScript	的执行	请开启后重新打开该页面
      1 805143dd	png	创作你的创作
      1 4的投票结果裁定同性婚姻在全美合法	美国最高院	的做法可谓一石激起千层浪
      1 4婚姻是政体的基石	肯尼迪的理由中重要的观点	同性恋婚姻是人个人意思的表达
      1 3缔结婚姻的权利与建立	家庭	抚养儿女的权利共同构成法律保护的核心个人自由权利
      1 2缔结婚姻是一项基本权利	3缔结婚姻的权利与建立	家庭
      1 2017	05	13
      1 1个人关于婚姻的选择是个人意思的一部分	2缔结婚姻是一项基本权利	3缔结婚姻的权利与建立
      1 180	松霖泽物	简书作者
      1 180	图片发自简书App	同性恋婚姻合法化一直是一个有争议的话题
      1 16	08	Submit
      1 13	16	08
      1 08	Submit	打开App
      1 05	13	16
      1 __________________________________________________________________	misc	logo
