     21 same	sex
      1 Salvador	s
      1 Salvador	is
      1 Salvador	as
      1 Salvador	and
      1 said	The
      1 said	Still
      1 said	Ok
      1 s	wide
      1 s	unlikely
      1 s	University
      1 s	reputation
      1 s	presidential
      1 s	not
      1 s	March
      1 s	LGBT
      1 s	Lead
      1 s	largest
      1 s	important
      1 s	daughter
      1 s	capital
      1 running	is
      1 ruling	which
      1 ruling	that
      1 ruling	party
      1 rule	in
      1 rise	of
      1 Rights	Watch
      1 Rights	to
      1 rights	this
      1 Rights	tallied
      1 rights	revolution
      1 rights	organizations
      1 rights	Much
      1 rights	laws
      1 rights	issue
      1 rights	Indeed
      1 rights	in
      1 Rights	IACHR
      1 rights	By
      1 rights	but
      1 rights	Argentina
      1 rights	are
      1 rights	and
      1 rights	activists
      1 rights	activist
      1 rights	Accordingly
      1 rightly	so
      1 Right	to
      1 Ricans	who
      1 Ricans	headed
      1 Ricans	Arroyo
      1 Rican	LGBT
      1 Rica	this
      1 Rica	Larissa
      1 Rica	is
      1 Rica	and
      1 revolution	UNDER
      1 REUTERS	Daniel
      1 return	to
      1 results	with
      1 respond	the
      1 respect	for
      1 resistance	Unfortunately
      1 resistance	than
      1 resistance	But
      1 requires	that
      1 requires	all
      1 reputation	as
      1 representation	Yet
      1 reports	of
      1 religious	resistance
      1 religion	True
      1 Relieved	Arroyo
      1 relationship	with
      1 relation	who
      1 rejoiced	many
      1 region	now
      1 region	Indeed
      1 region	in
      1 region	are
      1 region	a
      1 reform	process
      1 recognized	as
      1 recognize	civil
      1 recently	Spain
      1 receive	psychiatric
      1 reassignment	surgery
      1 reason	for
      1 really	the
      1 ratings	of
      1 rather	than
      1 rather	it
      1 ranging	economies
      1 ran	for
      1 rallied	support
      1 rainbow	flags
      1 RADAR	Latin
      1 race	between
      1 quickly	became
      1 Quartzy	Lifestyle
      1 Quartz	newsroom
      1 Quartz	is
      1 Quartz	India
      1 Quartz	at
      1 Quartz	Argentina
      1 Quartz	Africa
      1 push	demonstrates
      1 publicly	being
      1 public	and
      1 psychiatric	counseling
      1 provide	free
      1 proposed	in
      1 promotes	LGBT
      1 progressive	transgender
      1 progressive	countries
      1 profoundly	how
      1 professor	at
      1 process	slated
      1 private	medical
      1 priority	and
      1 Pride	____________________
      1 president	of
      1 prepared	for
      1 predicted	a
      1 possible	Argentina
      1 portion	of
      1 population	particularly
      1 population	For
      1 polls	predicted
      1 political	system
      1 political	struggle
      1 political	representation
      1 political	achievement
      1 policies	including
      1 police	in
      1 point	of
      1 point	margin
      1 places	like
      1 place	for
      1 personal	Since
      1 personal	one
      1 personal	milestone
      1 perceptions	may
      1 perception	about
      1 people	excited
      1 people	All
      1 Peña	says
      1 Peña	ran
      1 Pena	has
      1 Peña	can
      1 Peña	a
      1 Paulon	vice
      1 Paulon	said
      1 Paulon	Paulon
      1 Paulon	and
      1 passing	a
      1 passed	turning
      1 passed	Argentina
      1 party	against
      1 parts	of
      1 partner	were
      1 partner	Paulon
      1 partner	at
      1 particularly	trans
      1 participation	and
      1 part	of
      1 overwhelmingly	defeated
      1 overwhelmingly	Catholic
      1 outcry	Since
      1 out	against
      1 Our	view
      1 our	series
      1 our	rights
      1 our	newsroom
      1 Our	emails
      1 Other	nations
      1 organizing	dating
      1 organizations	successfully
      1 organization	Acceder
      1 or	transition
      1 or	the
      1 or	not
      1 opinion	that
      1 only	was
      1 one	I
      1 one	day
      1 on	social
      1 On	Jan
      1 on	government
      1 on	Global
      1 on	daily
      1 on	Costa
      1 on	April
      1 old	according
      1 Ok	now
      1 often	symbolic
      1 of	trans
      1 of	some
      1 of	seismic
      1 of	respect
      1 of	my
      1 of	Mexico
      1 of	marriage
      1 of	liberal
      1 of	innovation
      1 of	Human
      1 of	his
      1 of	hate
      1 of	Guelph
      1 of	fundamentalist
      1 of	fear
      1 of	education
      1 of	economic
      1 of	discrimination
      1 of	colonialism
      1 of	Central
      1 of	and
      1 of	activists
      1 ObsessionsCreated	with
      1 Obsessions	These
      1 obsessions	that
      1 objective	in
      1 ns	html
      1 now	we
      1 now	has
      1 notable	is
      1 not	the
      1 not	that
      1 not	said
      1 Not	only
      1 not	marriages
      1 not	legal
      1 not	just
      1 not	been
      1 no	relation
      1 no	more
      1 Nicaragua	El
      1 newsroom	defining
      1 newsroom	Become
      1 news	advice
      1 new	and
      1 networks	were
      1 networks	effective
      1 nearly	600
      1 nations	to
      1 nations	that
      1 nations	such
      1 nations	across
      1 national	political
      1 national	and
      1 nation	to
      1 name	and
      1 my	partner
      1 my	life
      1 my	country
      1 my	colleagues
      1 murders	across
      1 Much	of
      1 much	of
      1 much	like
      1 MRD738C	
      1 movement	the
      1 movement	has
      1 movement	by
      1 movement	as
      1 Most	notable
      1 most	important
      1 morning	afternoon
      1 more	than
      1 more	religious
      1 more	recently
      1 more	discrimination
      1 more	deeply
      1 military	dictatorship
      1 milestone	they
      1 Mexico	you
      1 Mexico	Similar
      1 Mexico	nations
      1 mexico	LGBT
      1 Mexico	City
      1 Mexico	Brazil
      1 Mexican	states
      1 met	with
      1 met	my
      1 messaging	to
      1 men	and
      1 member	BUTTON
      1 meeting	place
      1 medical	facilities
      1 Meanwhile	same
      1 Meanwhile	despite
      1 means	much
      1 means	homophobic
      1 mayoral	council
      1 may	be
      1 married	three
      1 married	or
      1 married	in
      1 married	and
      1 marriages	These
      1 marriages	in
      1 marriage	wasn
      1 marriage	possible
      1 marriage	Peña
      1 marriage	legal
      1 marriage	largely
      1 marriage	In
      1 marriage	Countries
      1 marriage	cause
      1 marriage	by
      1 marriage	became
      1 marriage	and
      1 Mariela	Casto
      1 margin	Relieved
      1 marches	and
      1 March	2018
      1 March	2014
      1 many	Latin
      1 many	Costa
      1 many	conservative
      1 Management	news
      1 man	living
      1 major	leader
      1 major	global
      1 made	to
      1 made	the
      1 made	same
      1 lowest	on
      1 low	approval
      1 losing	by
      1 long	way
      1 long	been
      1 local	LGBT
      1 living	well
      1 living	in
      1 linked	above
      1 like	in
      1 like	Human
      1 like	Esteban
      1 like	Argentina
      1 Lifestyle	culture
      1 life	of
      1 Life	Although
      1 liberal	policies
      1 LGBT	Salvadorans
      1 LGBT	push
      1 LGBT	people
      1 LGBT	organizing
      1 LGBT	murders
      1 LGBT	movement
      1 LGBT	latin
      1 LGBT	Federation
      1 LGBT	equal
      1 LGBT	Costa
      1 LGBT	community
      1 LGBT	civic
      1 LGBT	activists
      1 LGBT	activism
      1 level	of
      1 let	them
      1 legislative	elections
      1 legislative	assembly
      1 legislation	would
      1 legally	change
      1 legalized	same
      1 legalized	in
      1 legalize	marriage
      1 legal	Other
      1 legal	in
      1 legacy	of
      1 least	the
      1 least	from
      1 least	38
      1 leading	the
      1 leadership	in
      1 leaders	Atlas
      1 Lead	And
      1 laws	in
      1 law	without
      1 law	was
      1 law	to
      1 law	passed
      1 law	and
      1 latin	america
      1 LatestCreated	with
      1 Latest	Obsessions
      1 last	year
      1 Larissa	Arroyo
      1 largest	democracy
      1 larger	constitutional
      1 largely	due
      1 large	portion
      1 landmark	advisory
      1 known	for
      1 knowing	if
      1 Kingdom	until
      1 kids	one
      1 key	to
      1 key	issue
      1 kept	the
      1 just	running
      1 just	one
      1 just	going
      1 journey	to
      1 Jose	In
      1 Jordi	Díez
      1 January	2013
      1 Jan	9
      1 its	presidential
      1 its	former
      1 its	far
      1 it	was
      1 it	promotes
      1 it	is
      1 it	if
      1 it	has
      1 it	as
      1 issue	Throughout
      1 issue	On
      1 issue	Beyond
      1 is	that
      1 is	really
      1 is	passing
      1 is	part
      1 is	often
      1 is	not
      1 is	known
      1 is	just
      1 is	expected
      1 is	economic
      1 is	bound
      1 is	being
      1 is	also
      1 involved	in
      1 into	a
      1 international	outcry
      1 InterAmerican	Court
      1 Inter	American
      1 institutions	have
      1 innovation	across
      1 infiltration	of
      1 inevitably	has
      1 industrialization	et
      1 India	In
      1 India	and
      1 index	and
      1 Indeed	the
      1 Indeed	a
      1 including	same
      1 included	in
      1 include	levels
      1 inbox	with
      1 in	your
      1 in	these
      1 In	some
      1 in	places
      1 in	my
      1 In	Latin
      1 In	depth
      1 In	Cuba
      1 in	Congress
      1 in	2015
      1 In	2010
      1 in	2010
      1 in	2005
      1 important	to
      1 important	stories
      1 important	goal
      1 importance	to
      1 illustrated	Latin
      1 IFRAME	https
      1 if	they
      1 If	the
      1 if	I
      1 identity	so
      1 identity	law
      1 ideas	for
      1 id	GTM
      1 IACHR	declared
      1 IACHR	decision
      1 I	would
      1 I	met
      1 I	fought
      1 https	www
      1 html	id
      1 how	will
      1 how	we
      1 how	vibrant
      1 hospitalized	in
      1 hormone	therapy
      1 Honduras	score
      1 homophobic	perceptions
      1 history	of
      1 Hispanidad	Fountain
      1 his	partner
      1 His	current
      1 his	activism
      1 high	level
      1 heavily	involved
      1 headed	to
      1 he	was
      1 He	didn
      1 having	to
      1 haven	t
      1 have	yet
      1 have	made
      1 have	low
      1 have	kids
      1 have	also
      1 have	a
      1 has	traveled
      1 has	studied
      1 has	not
      1 has	long
      1 has	finally
      1 has	essentially
      1 has	developed
      1 has	been
      1 has	an
      1 has	also
      1 has	access
      1 handful	of
      1 halt	a
      1 guide	to
      1 Guelph	who
      1 Guatemala	Nicaragua
      1 GTM	MRD738C
      1 groups	said
      1 groups	linked
      1 groups	like
      1 government	documents
      1 googletagmanager	com
      1 going	to
      1 goal	or
      1 goal	is
      1 go	There
      1 Global	Pride
      1 global	activists
      1 given	to
      1 give	us
      1 getting	the
      1 gender	Securing
      1 gender	reassignment
      1 gender	on
      1 galvanized	to
      1 fundamentalist	groups
      1 fully	embrace
      1 full	of
      1 from	the
      1 from	January
      1 from	defining
      1 from	a
      1 fresh	every
      1 free	hormone
      1 framing	it
      1 Fountain	a
      1 founded	on
      1 fought	for
      1 forward	for
      1 former	colonies
      1 forces	were
      1 For	the
      1 for	Quartz
      1 for	people
      1 for	my
      1 for	marches
      1 for	LGBT
      1 for	its
      1 for	India
      1 for	human
      1 for	equal
      1 for	business
      1 for	being
      1 for	a
      1 Following	Argentina
      1 folks	to
      1 flung	diaspora
      1 flags	at
      1 first	time
      1 first	having
      1 first	European
      1 finally	taken
      1 Finally	Latin
      1 fight	the
      1 fight	has
      1 fight	continues
      1 Fidel	Castro
      1 Federation	But
      1 FeaturedCreated	with
      1 Featured	Emails
      1 fear	and
      1 Far	more
      1 far	flung
      1 family	If
      1 families	have
      1 families	are
      1 fact	of
      1 facilities	provide
      1 eyes	were
      1 explains	This
      1 explains	Jordi
      1 expected	to
      1 excited	by
      1 example	for
      1 every	morning
      1 ever	get
      1 Evangelical	groups
      1 evangelical	Fabricio
      1 European	nations
      1 et	cetera
      1 Esteban	Paulon
      1 essentially	kept
      1 equality	Created
      1 equality	but
      1 equal	treatment
      1 equal	before
      1 entrenched	in
      1 end	of
      1 enacted	some
      1 embrace	same
      1 EmailsEditions	BUTTON
      1 Emails	Our
      1 emails	are
      1 elections	when
      1 elections	He
      1 elections	And
      1 effective	messaging
      1 effect	on
      1 education	industrialization
      1 Editions	Quartz
      1 Ecuador	recognize
      1 economy	Quartz
      1 economy	for
      1 economy	Featured
      1 economies	Quartz
      1 economic	says
      1 economic	development
      1 early	1980s
      1 During	the
      1 during	its
      1 during	campaign
      1 due	to
      1 drive	our
      1 dream	It
      1 dream	Aldo
      1 documents	without
      1 diversity	Paulon
      1 discrimination	This
      1 discover	charts
      1 Díez	professor
      1 Díez	In
      1 Díez	Far
      1 Díez	explains
      1 Díez	attributes
      1 dictatorship	to
      1 diaspora	Quartzy
      1 development	which
      1 development	index
      1 developed	without
      1 despite	Chile
      1 depth	coverage
      1 denying	us
      1 demonstrates	how
      1 democratic	rule
      1 democratic	institutions
      1 democracy	for
      1 defining	topics
      1 defining	the
      1 defeated	losing
      1 deeply	entrenched
      1 declared	in
      1 decision	illustrated
      1 decision	and
      1 deadly	hate
      1 day	that
      1 day	Peña
      1 daughter	Mariela
      1 dating	back
      1 Daniel	Aguilar
      1 daily	life
      1 current	priority
      1 culture	and
      1 Cuba	the
      1 crimes	and
      1 crimes	against
      1 credit	has
      1 Created	with
      1 Create	share
      1 coverage	of
      1 Court	of
      1 course	of
      1 couples	though
      1 couples	have
      1 couples	celebrate
      1 country	to
      1 country	in
      1 country	I
      1 countries	to
      1 counterparts	This
      1 counterparts	Guatemala
      1 counseling	or
      1 council	in
      1 Costa	Rican
      1 core	obsessions
      1 Convention	on
      1 continues	Our
      1 continent	s
      1 constitutional	reform
      1 conservative	forces
      1 Congress	to
      1 community	in
      1 common	meeting
      1 Commission	on
      1 com	ns
      1 colonies	Meanwhile
      1 colonialism	Countries
      1 Colombia	though
      1 Colombia	Brazil
      1 Colombia	and
      1 colleagues	said
      1 colleagues	full
      1 Close	IFRAME
      1 civil	unions
      1 civic	participation
      1 City	and
      1 citizens	to
      1 citizens	And
      1 citizens	and
      1 church	within
      1 church	has
      1 church	from
      1 Chile	s
      1 Chile	is
      1 Chile	and
      1 charts	using
      1 change	Quartz
      1 cetera	and
      1 Central	America
      1 celebrations	in
      1 celebrated	with
      1 celebrate	with
      1 celebrate	their
      1 cause	has
      1 Catholic	But
      1 Catherine	BrigidaJune
      1 Castro	s
      1 Casto	and
      1 case	that
      1 Carlos	Alvarado
      1 Caribbean	which
      1 capital	San
      1 Canada	s
      1 can	return
      1 can	attest
      1 campaign	season
      1 campaign	reports
      1 campaign	polls
      1 Campaign	for
      1 came	during
      1 by	speaking
      1 by	police
      1 by	framing
      1 by	Fidel
      1 by	change
      1 by	both
      1 By	Anna
      1 by	a
      1 BUTTON	Latest
      1 BUTTON	Close
      1 BUTTON	Amanda
      1 but	when
      1 But	the
      1 but	rather
      1 But	on
      1 But	Latin
      1 but	it
      1 But	Fabricio
      1 but	believes
      1 business	leaders
      1 brutal	military
      1 BrigidaJune	6
      1 Brazil	Uruguay
      1 Brazil	and
      1 box	on
      1 bound	requires
      1 both	new
      1 both	academics
      1 Beyond	human
      1 between	same
      1 between	Carlos
      1 believes	just
      1 being	who
      1 being	the
      1 being	recognized
      1 being	overwhelmingly
      1 being	able
      1 before	the
      1 been	married
      1 been	given
      1 been	able
      1 become	heavily
      1 become	an
      1 Become	a
      1 became	the
      1 beaten	unconscious
      1 be	scared
      1 be	proposed
      1 be	more
      1 be	included
      1 be	able
      1 basis	of
      1 ballot	box
      1 Baeza	for
      1 back	to
      1 attributes	to
      1 attest	much
      1 Atlas	Create
      1 at	Work
      1 at	time
      1 at	Canada
      1 association	with
      1 assembly	Díez
      1 as	the
      1 as	Peña
      1 as	one
      1 as	it
      1 as	Costa
      1 as	Chile
      1 Arroyo	We
      1 Arroyo	said
      1 Arroyo	During
      1 Arroyo	a
      1 Argentine	political
      1 Argentine	LGBT
      1 Argentina	Uruguay
      1 Argentina	transitioned
      1 Argentina	to
      1 Argentina	s
      1 Argentina	Meanwhile
      1 argentina	marriage
      1 Argentina	legalized
      1 Argentina	became
      1 are	the
      1 are	not
      1 are	made
      1 are	leading
      1 are	equal
      1 are	countries
      1 are	and
      1 are	already
      1 April	1
      1 approve	same
      1 approval	ratings
      1 approaches	were
      1 appealed	to
      1 anymore	of
      1 anticipation	But
      1 announcement	came
      1 Anna	Catherine
      1 Anglophone	societies
      1 and	women
      1 And	while
      1 and	weekend
      1 and	we
      1 and	support
      1 And	so
      1 And	rightly
      1 and	private
      1 and	political
      1 and	parts
      1 and	on
      1 and	old
      1 and	no
      1 and	major
      1 and	living
      1 and	legislation
      1 and	its
      1 and	is
      1 and	international
      1 and	ideas
      1 and	Honduras
      1 and	his
      1 and	have
      1 and	for
      1 and	family
      1 and	Ecuador
      1 and	discrimination
      1 and	discover
      1 and	Colombia
      1 and	colleagues
      1 and	celebrations
      1 and	at
      1 and	anticipation
      1 and	also
      1 and	access
      1 and	abortion
      1 and	12
      1 an	unlikely
      1 an	example
      1 an	effect
      1 among	the
      1 Americas	These
      1 American	nations
      1 American	nation
      1 American	country
      1 American	Convention
      1 American	Commission
      1 America	there
      1 America	from
      1 america	argentina
      1 Amanda	Baeza
      1 Alvarado	was
      1 Alvarado	of
      1 Alvarado	no
      1 Although	a
      1 Also	slow
      1 also	requires
      1 also	personal
      1 also	made
      1 also	has
      1 also	enacted
      1 already	denying
      1 Alongside	the
      1 allows	transgender
      1 allow	trans
      1 all	to
      1 all	of
      1 All	eyes
      1 all	citizens
      1 all	23
      1 Alexander	Peña
      1 Aldo	Alexander
      1 Aguilar	Same
      1 against	evangelical
      1 afternoon	and
      1 after	the
      1 after	he
      1 Africa	The
      1 afford	this
      1 advisory	opinion
      1 advice	and
      1 advances	haven
      1 advance	of
      1 activists	rejoiced
      1 activists	like
      1 activists	is
      1 activists	groups
      1 activist	who
      1 activist	networks
      1 activism	Securing
      1 activism	His
      1 across	Latin
      1 achievement	into
      1 achievement	I
      1 Accordingly	local
      1 according	to
      1 access	marriage
      1 Acceder	says
      1 academics	and
      1 above	all
      1 about	sexual
      1 about	it
      1 abortion	Chile
      1 a	wide
      1 a	wedge
      1 a	very
      1 a	unique
      1 a	trans
      1 a	tight
      1 a	surprisingly
      1 a	strong
      1 a	small
      1 a	shift
      1 a	seat
      1 a	range
      1 a	political
      1 a	partner
      1 a	national
      1 a	member
      1 a	major
      1 a	long
      1 a	larger
      1 a	large
      1 a	landmark
      1 a	key
      1 a	human
      1 a	high
      1 a	guide
      1 a	gender
      1 a	Costa
      1 a	common
      1 a	case
      1 a	brutal
      1 a	2015
      1 a	2012
      1 a	20
      1 9	the
      1 600	LGBT
      1 6	2018
      1 38	deadly
      1 23	signatory
      1 2018	legislative
      1 2018	In
      1 2015	study
      1 2015	after
      1 2014	Alongside
      1 2013	to
      1 2013	The
      1 2012	ruling
      1 2010	more
      1 2010	Colombia
      1 2010	Argentina
      1 2005	which
      1 20	point
      1 1980s	a
      1 1960s	explains
      1 15	000
      1 12	Mexican
      1 1	She
      1 000	same
      1 ____________________	Tags
