      2 这是一件大事	如果我说错了也没关系	承认错了就行了
      1 要治疗和改变	就跟砍掉手脚是一样的	最
      1 要把自己最真实的一面展现在最亲的人面前	14岁时	孙文麟在奶奶的70岁生日宴上当着十多位亲朋的面
      1 被看见	还想拥	有和异性恋一样的爱和婚姻
      1 被看到	第一案	你爱一个人
      1 被看到	也只是第一步	孙文麟想要的不仅仅是
      1 被感动的母亲终于接受了	既然是我儿子	就要站在他背后支持他
      1 表达自身特殊诉求的机制尚不完善	李银河认为	相比大多数人关心的议题
      1 融媒	网评	理论
      1 虽然外界对孙文麟起诉长沙芙蓉区民政局的案子评价不一	但他一直坚持自己对	婚姻法
      1 英文	法治	大湾区
      1 苦闷中孙文麟想起	同志扭转治疗案	2014年12月
      1 节	还会向亲戚朋友介绍自己的阅读心得	久而久之
      1 艺考不易	他们背后的辛酸	你了解多少
      1 航天英雄岂容诋毁	官方回应网友诽谤杨利伟	将追究当事人法律责任
      1 致的老胡改变了他	性格腼腆的老胡说	他们一直两情相悦
      1 自己跟家里提结婚的事	奶奶没反对	只问了一句
      1 自己就是喜欢男人	认识到这一点的他觉得好像经历了一次	重生
      1 自己不喜欢被强加	传宗接代	的价值观
      1 联系我们	法律声明	友情链接
      1 美国宣布全美	同志	婚姻合法化
      1 美三大股指微跌	止步五连涨	华师将要这么做
      1 网评	理论	专题
      1 网站简介	网站地图	广告服务
      1 网站地图	广告服务	诚聘英才
      1 编辑	黄叙浩	相关新闻
      1 经济	社会	直播
      1 终以	批斗会	收场
      1 练江整治基础设施年底如期建成	治河故事	等你开启
      1 繁	EN	南方网
      1 粤B	20050235	
      1 简	繁	EN
      1 等你开启	南方日报电子报	南方杂志电子报
      1 第一案	你爱一个人	就会想要跟他成立家庭
      1 科技	体育	健康
      1 福利制度	民生问	题
      1 社会歧视和表达机制不完善仍是阻碍中国同性恋者争取合法权利的两大难题	如果不是发生在自己家里	是很难体会的
      1 社会	直播	更多
      1 确指	一男一女	她认为孙文麟的解读可看做是一种比较特别的解读
      1 石伏龙坦言难度不小	他表示	此案的积极意义在于能让人们开始关注到同性恋也有婚姻需求
      1 省实校长全汉炎揭秘	一校九门	省实
      1 省实	家族	还会继续壮大吗
      1 相比大多数人关心的议题	退休养老制度	福利制度
      1 相关规定的解读	中国社科院社会学所研究员	性学家李银河在接
      1 相关新闻	返回南方网首页	中国新闻
      1 直播	更多	快报
      1 直到去年12月	儿子向法院递交了起诉书	父亲的态度才稍稍起了变化
      1 盯着照片	他发现竟然是男性的裸体对他更有吸引力	从惊慌中回过神的孙文麟开始在网上查阅
      1 的解读比较特别	虽然外界对孙文麟起诉长沙芙蓉区民政局的案子评价不一	但他一直坚持自己对
      1 的理	解	2016
      1 的理	解	12岁发现自己是喜欢男生的
      1 的少数族群	表达自身特殊诉求的机制尚不完善	李银河认为
      1 的价值观	同性恋也并没有被剥夺生殖能力	这一点他
      1 的不顺利也让孙文麟反应过来	还需要了解更多东西	才能让别人更好地接纳同性恋
      1 的一次	出柜	是在大一军训
      1 甚至还有同事提出要和他合影留念	社会歧视和表达机制不完善仍是阻碍中国同性恋者争取合法权利的两大难题	如果不是发生在自己家里
      1 甚至环境污染问题	同性恋的议题在社会关注中容易排不上队	编辑
      1 理论	专题	公告
      1 玻璃	这个词	拼音首字母与男同性恋英文缩写BL相同
      1 玻璃	孙文麟并没有想到	有一天这个词也会和自己发生联系
      1 现在同性可以登记结婚了	曲折	重生
      1 父母忙于工作	文麟从小跟在爷爷奶奶身边	那时
      1 父子俩最后还动	了手	奶奶抹着眼泪说
      1 父亲的态度才稍稍起了变化	孙文麟不是不了解父亲的心思	他作为家中独子
      1 父亲已气得满脸通红	父子俩最后还动	了手
      1 父亲仍是家中最大的	阻力	孙文麟父亲常常感叹
      1 父亲	也清楚	同性恋生育在技术
      1 渴望婚姻的	同志	情侣孙文麟
      1 温补首选羊肉	大麻种植窝点藏身小区24楼	民警端掉时惊呆了
      1 深深震撼	深圳	深圳
      1 深圳	跋山涉水接力跑	全面深化改革的
      1 深圳	深圳	跋山涉水接力跑
      1 深圳	深圳	深圳
      1 消息传	开	多年不联系的老同学打来电话
      1 活动	被感动的母亲终于接受了	既然是我儿子
      1 泪目	艺考不易	他们背后的辛酸
      1 注意添衣	明日受冷空气影响广东全省将再降温	云浮
      1 法治	大湾区	双创
      1 法律声明	友情链接	本网站由南方新闻网版权所有
      1 治河故事	等你开启	南方日报电子报
      1 汽车	财经	房产
      1 民警端掉时惊呆了	美三大股指微跌	止步五连涨
      1 民生问	题	甚至环境污染问题
      1 比如说要保护外星人	可是外星人在哪里呢	被看到
      1 母亲甚至会带小姐妹参加儿子组织的同性恋讲座	不过	父亲仍是家中最大的
      1 此案的积极意义在于能让人们开始关注到同性恋也有婚姻需求	以及其他民事权利如继承	收养等
      1 此案也许将成为	同	性恋婚姻维权第一案
      1 此后	母亲甚至会带小姐妹参加儿子组织的同性恋讲座	不过
      1 正值盛夏	孙文麟和相恋一年的同性男友老胡走进长沙市芙蓉区民政局	性格内向的老胡安静地站在孙文麟身旁
      1 止步五连涨	华师将要这么做	三步走
      1 来源	南方都市报	宋凯欣
      1 李银河认为	相比大多数人关心的议题	退休养老制度
      1 李银河认为	同性婚姻作为改善同性恋权益的一个捷径	尤为必要
      1 李银河发表	公众对同性恋的态度及影响因素	报告
      1 本网站由南方新闻网版权所有	未经授权禁止复制或建立镜像	广东南方网络信息科技有限公司负责制作维护
      1 未经授权禁止复制或建立镜像	广东南方网络信息科技有限公司负责制作维护	违法和不良信息举报电话
      1 有和异性恋一样的爱和婚姻	半年前	孙文麟和男友前往长沙芙蓉区民政局办理结婚登记遭拒
      1 有一天这个词也会和自己发生联系	六年级暑假里	闲来无事的孙文麟无意中看到某个医学网站上的裸体照片
      1 最开始她以为儿子是图新鲜	赶时髦	就没当真
      1 最先转变的是孙文麟母亲	她说	最开始她以为儿子是图新鲜
      1 最亲的人	完成身份认同后	孙文麟拒绝戴着面具生活
      1 最	轰动	的一次
      1 更多	快报	融媒
      1 更多	广州市长温国辉	加信心减成本除障碍
      1 更多	广东省政府2018年12月份人事任免	全省看病
      1 曲折	重生	27岁的孙文麟生于湖南长沙
      1 暂时没有这项业务	早有准备的孙文麟拿出A	4纸打印的
      1 是很难体会的	孙文麟的父亲这样说	代理此案的律师石伏龙称目前我国法律对于同性恋婚姻没有规定
      1 是在大一军训	彼时他当着所有同学的面	反驳学姐对同性恋行为不道德的陈述
      1 是你把我带到这个世界上	但却不告诉我有同性恋这件事	之后近十
      1 春运出行最高峰在1月26日	避堵攻略来了	抢抓粤港澳大湾区机遇
      1 明日受冷空气影响广东全省将再降温	云浮	全力打造环珠三角经济带发展新引擎
      1 早有准备的孙文麟拿出A	4纸打印的	婚姻法
      1 既然是我儿子	就要站在他背后支持他	同性恋又不是做了什么坏事
      1 无法改变和选择	这是一种本能	要治疗和改变
      1 旅游	教育	科技
      1 文麟从小跟在爷爷奶奶身边	那时	和我玩得最好的是堂姐
      1 文化	乡村	简
      1 整个下午	孙文麟向母亲坦露了这些年怎样面对自己	怎样在大学组织
      1 教育	科技	体育
      1 改为	配偶	并且备注性别随意
      1 改	将目前的	一夫一妻
      1 收场	这让孙文麟感到很受伤	因为信任
      1 收养等	不过孙文麟本人并不担心	现在没有对话
      1 搜索	南方网	中国新闻
      1 提供扭转治疗的机构被处罚款	孙文麟深受启发	他想到了走法律的途径维护自己结婚自由的权利
      1 按传统理解	一夫一妻	确指
      1 持续	出柜	除了在家
      1 拼音首字母与男同性恋英文缩写BL相同	当时有个男生举止比较	娘
      1 报告	对全国400名城市居民进行随机抽样调查的数据显示	同性恋者在我国当前社会中的可
      1 抢抓粤港澳大湾区机遇	2019年珠三角准备好了吗	泪目
      1 把你养这么大	你怎么能这样回报我	孙文麟母亲说
      1 承认错了就行了	现在没有对话	就会觉得自己百分之百赢
      1 承认错了就行了	他说	去年12月16日
      1 批评他不	该跟父亲动手	还指责他
      1 批斗会	收场	这让孙文麟感到很受伤
      1 才能让别人更好地接纳同性恋	于是他开始大量阅读与同性恋相关的书籍	学术论文
      1 手里攥着刚托妹妹	从老家带来的户口本	他们要登记结婚
      1 所以坦诚	可坦诚却没能换来安慰和拥抱	年少的孙文麟甚至怨恨父亲
      1 房产	IT	旅游
      1 我是同志	但请为我保密	我不敢告诉家里人
      1 我就是喜欢男生	孙文麟说完这句	父亲已气得满脸通红
      1 我压根连同性恋是什么都没概念	那晚	劝架的亲戚把孙文麟拉到里屋
      1 我们把南方号成绩单偷出来了	练江整治基础设施年底如期建成	治河故事
      1 我什么都	跟她学	她穿什么我就穿什么
      1 我也渴望婚姻	婚姻法	规定的
      1 我也慢慢接受了	只希望他能有个后代	这是每一个为人父母的对子女最基本的期望吧
      1 我不敢告诉家里人	她还记得当时鼓励同事的话	这没有什么可怕的
      1 想要的婚姻	2015年6月23日	正值盛夏
      1 想获得更多平等的权利	就离不开婚姻	孙文麟说
      1 情侣孙文麟	右	和老胡
      1 悄悄的	我们把南方号成绩单偷出来了	练江整治基础设施年底如期建成
      1 总第296期	南方	客户端
      1 性格腼腆的老胡说	他们一直两情相悦	去年6月
      1 性格内向的老胡安静地站在孙文麟身旁	手里攥着刚托妹妹	从老家带来的户口本
      1 性恋婚姻维权第一案	但案子未来会怎样	石伏龙坦言难度不小
      1 性学家李银河在接	受南都记者电话采访时表示	按传统理解
      1 性取向就像人的手足	与生俱来	无法改变和选择
      1 怎样在大学组织	同志	活动
      1 快报	融媒	网评
      1 微妙的变化发生了	最先转变的是孙文麟母亲	她说
      1 微博	0	回到首页
      1 微信	content_151205614	htm
      1 很久没有一起出游的孙文麟和母亲相约去橘子洲头谈心	整个下午	孙文麟向母亲坦露了这些年怎样面对自己
      1 彼时他当着所有同学的面	反驳学姐对同性恋行为不道德的陈述	并公开表明自己的性倾向
      1 彩虹男孩	14岁勇敢	出柜
      1 当时有个男生举止比较	娘	还喜欢和女生跳皮筋
      1 当年	一位与她共事的男性好友悄悄告诉她	我是同志
      1 开	多年不联系的老同学打来电话	孙文麟你要红了
      1 广州火车站提前谋划春运准备工作	广东省网信办会同多部门依法查处五家语音直播平台	注意添衣
      1 广州推动民营经济健康发展	广州市十五届人大四次会议胜利闭幕	深深震撼
      1 广州市长温国辉	加信心减成本除障碍	广州推动民营经济健康发展
      1 广州市十五届人大四次会议胜利闭幕	深深震撼	深圳
      1 广告服务	诚聘英才	联系我们
      1 广东老司机	春运出行最高峰在1月26日	避堵攻略来了
      1 广东省网信办会同多部门依法查处五家语音直播平台	注意添衣	明日受冷空气影响广东全省将再降温
      1 广东省政府2018年12月份人事任免	全省看病	一码通用
      1 广东新闻	更多	广州市长温国辉
      1 广东探索	2019春运将至	广州火车站提前谋划春运准备工作
      1 广东南方网络信息科技有限公司负责制作维护	违法和不良信息举报电话	87373397
      1 广东	中国	国际
      1 并公开表明自己的性倾向	这些年	身边人都替孙文麟捏把汗
      1 并且备注性别随意	2012年	李银河发表
      1 年少的孙文麟甚至怨恨父亲	是你把我带到这个世界上	但却不告诉我有同性恋这件事
      1 年	他们父子一直处于冷战状态	出柜
      1 希望能立马叫上亲人	和老胡办	一场婚礼
      1 左	受访者供图	这是一件大事
      1 属于真空状态	中国目前尚无同性恋者成功登记为合法夫妻的案例	此案也许将成为
      1 就跟砍掉手脚是一样的	最	轰动
      1 就要站在他背后支持他	同性恋又不是做了什么坏事	不用躲躲藏藏
      1 就离不开婚姻	孙文麟说	在认识老胡前
      1 就没当真	但眼看儿子上高中后因为心理压力过重	一天天消沉
      1 就没人知道	他打了个有趣的比方	比如说要保护外星人
      1 就会觉得自己百分之百赢	但要把话讲完才知道谁对谁错	孙文麟
      1 就会觉得自己百分之百赢	但要把话讲完才知道谁对谁错	他说
      1 就会想要跟他成立家庭	想获得更多平等的权利	就离不开婚姻
      1 尤为必要	如果连婚姻都合法了	那各方面的歧视就站不住脚了
      1 小男生常常下课时扎堆玩耍	也是在那时	孙文麟第一次听到
      1 小寒胜大寒	今起又降温	温补首选羊肉
      1 小学高年级时	小男生常常下课时扎堆玩耍	也是在那时
      1 将追究当事人法律责任	省实校长全汉炎揭秘	一校九门
      1 将目前的	一夫一妻	改为
      1 对全国400名城市居民进行随机抽样调查的数据显示	同性恋者在我国当前社会中的可	见性较低
      1 对不起	暂时没有这项业务	早有准备的孙文麟拿出A
      1 家族	还会继续壮大吗	吉林省政协原副主席王尔智严重违纪违法被开除党籍和公职
      1 客户端	微信	content_151205614
      1 官方回应网友诽谤杨利伟	将追究当事人法律责任	省实校长全汉炎揭秘
      1 完成身份认同后	孙文麟拒绝戴着面具生活	要把自己最真实的一面展现在最亲的人面前
      1 完全接纳同性恋的人数占43	另外	作为一个占人口4
      1 宋凯欣	字号减小	字号增大
      1 学者点评	孙文麟对	婚姻法
      1 学术论文	逢年过	节
      1 孙文麟说完这句	父亲已气得满脸通红	父子俩最后还动
      1 孙文麟说不仅渴望	被看见	还想拥
      1 孙文麟说	自己不喜欢被强加	传宗接代
      1 孙文麟说	在认识老胡前	他一直以为自己不会结婚
      1 孙文麟记得	自己跟家里提结婚的事	奶奶没反对
      1 孙文麟第一次听到	玻璃	这个词
      1 孙文麟的父亲这样说	代理此案的律师石伏龙称目前我国法律对于同性恋婚姻没有规定	属于真空状态
      1 孙文麟父亲常常感叹	把你养这么大	你怎么能这样回报我
      1 孙文麟父亲坦言	走到这一步	我也慢慢接受了
      1 孙文麟父亲回忆起那晚依旧难以平静	在他跟我说之前	我压根连同性恋是什么都没概念
      1 孙文麟深受启发	他想到了走法律的途径维护自己结婚自由的权利	这是一件大事
      1 孙文麟母亲说	直到去年12月	儿子向法院递交了起诉书
      1 孙文麟拒绝戴着面具生活	要把自己最真实的一面展现在最亲的人面前	14岁时
      1 孙文麟想要的不仅仅是	被看到	第一案
      1 孙文麟并没有想到	有一天这个词也会和自己发生联系	六年级暑假里
      1 孙文麟对	婚姻法	的解读比较特别
      1 孙文麟在奶奶的70岁生日宴上当着十多位亲朋的面	出柜	了
      1 孙文麟和相恋一年的同性男友老胡走进长沙市芙蓉区民政局	性格内向的老胡安静地站在孙文麟身旁	手里攥着刚托妹妹
      1 孙文麟和男友前往长沙芙蓉区民政局办理结婚登记遭拒	随后	他向芙蓉区人民法院递交诉状
      1 孙文麟向长沙芙蓉区人民法院递交材料	起诉芙蓉区民政局行政	不作为
      1 孙文麟向母亲坦露了这些年怎样面对自己	怎样在大学组织	同志
      1 孙文麟你要红了	你现在很牛嘛	甚至还有同事提出要和他合影留念
      1 孙文麟也努力在各种场合	走出来	从大学到职场
      1 孙文麟不是不了解父亲的心思	他作为家中独子	同性恋的身份没法替家族延续香火
      1 孙文麟	我也渴望婚姻	婚姻法
      1 孙文麟	婚姻是围城	一对同性恋情侣也渴望冲进来
      1 字号增大	d0278891d9ba17ffe37f57	jpg
      1 字号减小	字号增大	d0278891d9ba17ffe37f57
      1 婚姻自由是写在里面的	为什么同性恋不可以结婚	孙文麟记得
      1 婚姻法	跟工作人员理论	他说
      1 婚姻法	相关规定的解读	中国社科院社会学所研究员
      1 婚姻法	的解读比较特别	虽然外界对孙文麟起诉长沙芙蓉区民政局的案子评价不一
      1 婚姻法	做出修	改
      1 婚姻是围城	一对同性恋情侣也渴望冲进来	婚姻法
      1 婚姻合法化	这让孙文麟和老胡激动不已	二人决定登记结婚
      1 娘	还喜欢和女生跳皮筋	大家都叫他
      1 如果连婚姻都合法了	那各方面的歧视就站不住脚了	她建议对现行的
      1 如果胜诉	希望能立马叫上亲人	和老胡办
      1 如果我说错了也没关系	承认错了就行了	现在没有对话
      1 如果我说错了也没关系	承认错了就行了	他说
      1 如果你不走出来	就没人知道	他打了个有趣的比方
      1 如果不是发生在自己家里	是很难体会的	孙文麟的父亲这样说
      1 她还记得当时鼓励同事的话	这没有什么可怕的	为什么不能做自己呢
      1 她说	最开始她以为儿子是图新鲜	赶时髦
      1 她认为孙文麟的解读可看做是一种比较特别的解读	李银河认为	同性婚姻作为改善同性恋权益的一个捷径
      1 她穿什么我就穿什么	万物生长无人阻挡	小学高年级时
      1 她建议对现行的	婚姻法	做出修
      1 她也心疼了	同时	一段尘封往事在她脑海中浮现
      1 奶奶没反对	只问了一句	现在同性可以登记结婚了
      1 奶奶抹着眼泪说	需要时间去接受	十多年过去
      1 大麻种植窝点藏身小区24楼	民警端掉时惊呆了	美三大股指微跌
      1 大湾区	双创	汽车
      1 大家都叫他	玻璃	孙文麟并没有想到
      1 多年不联系的老同学打来电话	孙文麟你要红了	你现在很牛嘛
      1 在认识老胡前	他一直以为自己不会结婚	个性沉稳
      1 在外边	孙文麟也努力在各种场合	走出来
      1 在他跟我说之前	我压根连同性恋是什么都没概念	那晚
      1 在他看来	性取向就像人的手足	与生俱来
      1 在	后代	问题上
      1 国际	经济	社会
      1 因为信任	所以坦诚	可坦诚却没能换来安慰和拥抱
      1 回到首页	nfwwxgzh	png
      1 回到顶部	网站简介	网站地图
      1 噓	悄悄的	我们把南方号成绩单偷出来了
      1 啥是佩奇	乡村文化于外界的突围和反哺	小寒胜大寒
      1 和老胡办	一场婚礼	从此合法生活在一起
      1 和老胡	左	受访者供图
      1 和我玩得最好的是堂姐	我什么都	跟她学
      1 和很多80后一样	他是家中独苗	父母忙于工作
      1 向家人	出柜	终以
      1 后代	问题上	孙文麟说
      1 同时搞清楚自己的取向	他曾尝试交往了几个女朋	友
      1 同时	一段尘封往事在她脑海中浮现	当年
      1 同性恋者在我国当前社会中的可	见性较低	公众对同性恋总体接纳程度仍不高
      1 同性恋的身份没法替家族延续香火	这是压在父亲心头的一块大石	他害怕没脸面去见先人
      1 同性恋的议题在社会关注中容易排不上队	编辑	黄叙浩
      1 同性恋生育在技术	上已不是问题	只不过我认为生不生是我的自由
      1 同性恋本来就是不光彩的	向家人	出柜
      1 同性恋婚姻维权第一案	孙文麟	我也渴望婚姻
      1 同性恋又不是做了什么坏事	不用躲躲藏藏	此后
      1 同性恋也并没有被剥夺生殖能力	这一点他	父亲
      1 同性恋不是精神疾病	提供扭转治疗的机构被处罚款	孙文麟深受启发
      1 同性恋	他发现很多人对同性恋存恐惧心理	为了保护自己
      1 同性婚姻作为改善同性恋权益的一个捷径	尤为必要	如果连婚姻都合法了
      1 同志身份是看不出来的	如果你不走出来	就没人知道
      1 同志扭转治疗案	2014年12月	中国同性恋扭转治疗第一案在北京海淀法院一审判决
      1 同志	身份	在他看来
      1 同志	活动	被感动的母亲终于接受了
      1 同志	情侣孙文麟	右
      1 同志	孙文麟说不仅渴望	被看见
      1 同志	婚姻合法化	这让孙文麟和老胡激动不已
      1 同	性恋婚姻维权第一案	但案子未来会怎样
      1 吉林省政协原副主席王尔智严重违纪违法被开除党籍和公职	啥是佩奇	乡村文化于外界的突围和反哺
      1 右	和老胡	左
      1 可是外星人在哪里呢	被看到	也只是第一步
      1 可坦诚却没能换来安慰和拥抱	年少的孙文麟甚至怨恨父亲	是你把我带到这个世界上
      1 只问了一句	现在同性可以登记结婚了	曲折
      1 只希望他能有个后代	这是每一个为人父母的对子女最基本的期望吧	在
      1 只不过这次面对的是自己的儿子	前年	五一
      1 只不过我认为生不生是我的自由	持续	出柜
      1 另外	作为一个占人口4	的少数族群
      1 受访者供图	这是一件大事	如果我说错了也没关系
      1 受理	想要的婚姻	2015年6月23日
      1 受南都记者电话采访时表示	按传统理解	一夫一妻
      1 反驳学姐对同性恋行为不道德的陈述	并公开表明自己的性倾向	这些年
      1 双创	汽车	财经
      1 友情链接	本网站由南方新闻网版权所有	未经授权禁止复制或建立镜像
      1 友	但从没敢越雷池半步	他还申请了一个QQ号
      1 去年6月	美国宣布全美	同志
      1 去年12月16日	孙文麟向长沙芙蓉区人民法院递交材料	起诉芙蓉区民政局行政
      1 南方都市报	宋凯欣	字号减小
      1 南方都市报	nfw	cover
      1 南方融媒体专区	更多	广东省政府2018年12月份人事任免
      1 南方网	要闻	讲习所
      1 南方网	中国新闻	同性恋婚姻维权第一案
      1 南方网	____________________	Submit
      1 南方杂志电子报	b8975a50e7711dacaf1e01	jpg
      1 南方日报电子报	南方杂志电子报	b8975a50e7711dacaf1e01
      1 南方	客户端	微信
      1 华师将要这么做	三步走	做北上广三足鼎立师范大学
      1 半年前	孙文麟和男友前往长沙芙蓉区民政局办理结婚登记遭拒	随后
      1 十多年过去	孙文麟父亲回忆起那晚依旧难以平静	在他跟我说之前
      1 加入男同聊天室	也交往过几个男友	他逐渐意识到
      1 加信心减成本除障碍	广州推动民营经济健康发展	广州市十五届人大四次会议胜利闭幕
      1 劝架的亲戚把孙文麟拉到里屋	批评他不	该跟父亲动手
      1 前年	五一	很久没有一起出游的孙文麟和母亲相约去橘子洲头谈心
      1 判决中明确指出	同性恋不是精神疾病	提供扭转治疗的机构被处罚款
      1 刚到一个新环境就很快	出柜	不怕受到歧视
      1 出柜	除了在家	出柜
      1 出柜	终以	批斗会
      1 出柜	的不顺利也让孙文麟反应过来	还需要了解更多东西
      1 出柜	是在大一军训	彼时他当着所有同学的面
      1 出柜	在外边	孙文麟也努力在各种场合
      1 出柜	了	我就是喜欢男生
      1 出柜	不怕受到歧视	他却说
      1 出柜	26岁决心和男友走进婚姻殿堂	作为
      1 六年级暑假里	闲来无事的孙文麟无意中看到某个医学网站上的裸体照片	盯着照片
      1 公告	英文	法治
      1 公众对同性恋的态度及影响因素	报告	对全国400名城市居民进行随机抽样调查的数据显示
      1 公众对同性恋总体接纳程度仍不高	完全接纳同性恋的人数占43	另外
      1 全面深化改革的	广东探索	2019春运将至
      1 全省看病	一码通用	今年份健康礼包有惊喜
      1 全力打造环珠三角经济带发展新引擎	南方融媒体专区	更多
      1 儿子向法院递交了起诉书	父亲的态度才稍稍起了变化	孙文麟不是不了解父亲的心思
      1 健康	视觉	文化
      1 做北上广三足鼎立师范大学	噓	悄悄的
      1 做出修	改	将目前的
      1 你现在很牛嘛	甚至还有同事提出要和他合影留念	社会歧视和表达机制不完善仍是阻碍中国同性恋者争取合法权利的两大难题
      1 你爱一个人	就会想要跟他成立家庭	想获得更多平等的权利
      1 你怎么能这样回报我	孙文麟母亲说	直到去年12月
      1 你了解多少	航天英雄岂容诋毁	官方回应网友诽谤杨利伟
      1 作为一个占人口4	的少数族群	表达自身特殊诉求的机制尚不完善
      1 作为	同志	孙文麟说不仅渴望
      1 体贴细	致的老胡改变了他	性格腼腆的老胡说
      1 体育	健康	视觉
      1 但请为我保密	我不敢告诉家里人	她还记得当时鼓励同事的话
      1 但要把话讲完才知道谁对谁错	孙文麟	婚姻是围城
      1 但要把话讲完才知道谁对谁错	他说	如果胜诉
      1 但眼看儿子上高中后因为心理压力过重	一天天消沉	她也心疼了
      1 但案子未来会怎样	石伏龙坦言难度不小	他表示
      1 但却不告诉我有同性恋这件事	之后近十	年
      1 但他一直坚持自己对	婚姻法	相关规定的解读
      1 但从没敢越雷池半步	他还申请了一个QQ号	加入男同聊天室
      1 传宗接代	的价值观	同性恋也并没有被剥夺生殖能力
      1 以及其他民事权利如继承	收养等	不过孙文麟本人并不担心
      1 代理此案的律师石伏龙称目前我国法律对于同性恋婚姻没有规定	属于真空状态	中国目前尚无同性恋者成功登记为合法夫妻的案例
      1 他逐渐意识到	自己就是喜欢男人	认识到这一点的他觉得好像经历了一次
      1 他还申请了一个QQ号	加入男同聊天室	也交往过几个男友
