      2 税收	遗产	生养子女以及做出医疗决定的权利
      1 这也被称为婚姻平等或婚姻平权	180	图片来自网络
      1 这个问题	180	图片为纪录片
      1 这个特殊的问题跟大多数问题比	比如说退休养老制度	福利制度
      1 这个工程需要	非常完备的制度基础	180
      1 还是LGBT人群	都应该平等享有婚姻的权利	也就是说
      1 近亲是否可以结婚	家族关系会因为同性婚姻合法化而变得较为混乱	我们必须好好梳理传统的家庭结构
      1 身边的人	180	图片来自网络
      1 身边有已经出柜的同性恋者	有同性恋情侣	当我们观察我们的周围
      1 跨性别者的比例更低	LGBT是一个特别少的群体	那么同性婚姻对于其他人来说就不
      1 超过半数的学生都不知道LGBT是	什么含义	这代表着
      1 超过半数的人对台湾同性婚姻合法化持积极态度	对于同性恋者	争取同性婚姻合法化为什么如此必要
      1 起诉湖南省长沙市芙蓉区民政局行政不作为	获法院立案受理	1月28日开庭日
      1 财产也没能受到合法的保护	影片详细记录了这对恋人长达六年的感情生活	以及Tom死后Shane所经历的痛苦挣扎
      1 请开启后重新打开该页面	logo	创作你的创作
      1 该如何区别爸爸妈妈的称呼	如果同性不存在生育后代	近亲是否可以结婚
      1 话语权的能力	在这个文化背景的层面上来看	大中华地区事实上是拥有
      1 设立一些只为异性恋提供福利和保障的婚姻法条例	在台湾	婚姻平权
      1 认签名	以夫妻身份领养孤儿	法定遗产继承
      1 认可	通俗意义上说的名分问题	更加是权利保障的问题
      1 观点来自我国著名性学家	社会学家李银河教授	实现同性婚姻合法化
      1 观点来自	我国著名的性学家	社会学家李银河教授
      1 要实现同性婚姻合法化	从来就不能只靠LGBT群体的孤军奋战	我们中间大部分人习惯于这个什么资讯都已经被守门人过滤好再给我们投食的世界
      1 要修宪	修改其他法律	这是一项无比浩大的工程
      1 西班牙	美国和日本9个省三个直辖市还有两个海外地区的182份有效问卷	180
      1 被告方申请延期	这被称作中国	同性婚姻维权第一案
      1 蔡英文的支持	在岛内外也深得人心	所以大家都预期这次法案将会顺利通过
      1 著作权归作者所有	__________________________________________________________________	misc
      1 获法院立案受理	1月28日开庭日	被告方申请延期
      1 自愿的	忠贞的	单配的
      1 自己应该支持的进步	任何变革对于社会都是一场沉痛的蜕皮	我们要有耐心也要坚持下去
      1 自80年代台湾政治开放以来	在言论表达自由	集会结社和游行示威自由等基本人权保障的背景下
      1 背景介绍	我们先看看全球环境	截至2016年9月
      1 而通常我觉得在大部分的议题里面	所谓的极少数人	只是
      1 而我认为靠自己过滤才是一个明智的状态	撇开偏见	撇开社会所给我们的观点
      1 而我们人民代表大会里没有同性恋代表	我们有农民工的代表	农民的代表
      1 而且大部	分已发生的事情还有很多是我们不愿意承认	所以在历史上无从记载或追朔
      1 而不是空玩文字游戏	这篇文章从名词解释	全球背景以及我们所收到的182份问卷的出发
      1 美国和日本9个省三个直辖市还有两个海外地区的182份有效问卷	180	问卷统计来自韩蕊
      1 缺乏对LGBT人群的正确解释	从我们的统计中可得知	超过半数的学生都不知道LGBT是
      1 统计图由张柳根据2016年数据制作	上表显示	2016年中国台湾地区民间对同性婚姻的支持率约为60
      1 结婚与否应该由自己决	定	另外一方面
      1 结合能被社会祝福当然更好	不被祝福也不会成为一个迫在眉睫的问题	但是
      1 约十分之一的调查对象认为同性交往是错误的	约五分之一的调查对象认为同性婚姻合法化是错误的	4
      1 约五分之一的调查对象认为同性婚姻合法化是错误的	4	超过半数的人对台湾同性婚姻合法化持积极态度
      1 约两成的人不关心同性恋人群的各种问题	有超过一半的人并不了解	LGBT
      1 简而言之	就是	捐血后直系亲属可以无偿用血
      1 简书作者	2016	12
      1 立法院	已经一读通过修正民法第972条的婚姻平权法案	内容是将婚姻的定义从
      1 立法院	公开讨论	婚姻平权
      1 立法也能对同性恋人群受到社会尊重和社会认可方面起到十分关键的积极推动	它是改善同性恋途径的一个捷径	因为大家都是很信任法律的
      1 立委	以及	领导人
      1 福利制度	民生问题	甚至环境污染问题
      1 社会通过给与特定的权利	待	遇和责任表示认可
      1 社会的认同程度不够	自80年代台湾政治开放以来	在言论表达自由
      1 社会学家李银河教授	实现同性婚姻合法化	不只是同性恋者的诉求
      1 社会学家李银河教授	2	大众对于LGBT人群的认识不够
      1 真正多数人	在婚姻里的保障	而通常我觉得在大部分的议题里面
      1 看到了大陆民间的数据	我们很好奇作为社会的新声音	大学生群体是如何看待同性恋婚姻的
      1 相对于这个时空的少数	他不是人类历史里永远的极少数	他也不可能没有变庞大的机会
      1 的葬礼	欧美一些国家	在历史上为了改变同性恋者
      1 的英文首字母缩略字	1990年代	由
      1 的执行	请开启后重新打开该页面	logo
      1 的含义	3	约十分之一的调查对象认为同性交往是错误的
      1 的包容同志的优势	总而言之	要实现同性婚姻合法化
      1 男女	改变为	双方
      1 男同性恋者	双性恋者与跨性别者	一个人在心理上无法认同自己与生俱来的性别
      1 由政府和	或	社会通过给与特定的权利
      1 由于台湾本次修	正民法案基本上得到了多数朝野两党	立委
      1 由	于	同性恋社群
      1 生养子女以及做出医疗决定的权利	简而言之	就是
      1 生养子女以及做出医疗决定的权利	在同性婚姻的支持者中	这也被称为婚姻平等或婚姻平权
      1 甚至环境污染问题	都排不上队	少数人的利益的事情
      1 甘肃	内蒙古	西班牙
      1 现代婚姻普遍认同是一男一女	一夫一妻的形式	同时也有不少地区认同同性婚姻
      1 现今某些地区的法律或宗教教规亦承认一夫多妻	一妻多夫婚姻	180
      1 焦安溥在	同性婚姻法制化	公听会上的发言
      1 热门文章	下载简书	创作你的创作
      1 湖南	湖北	浙江
      1 湖北	浙江	山东
      1 游行等都搞得有声有色	这使得同志群体和同志文化能够积极地曝光在普通人的眼前	这让大家感觉到
      1 海报	2011年5月	Shane的同性伴侣Thomas因意外坠楼身亡
      1 浙江	山东	山西
      1 泛指男女之间的结合	一方到另一方家落户成亲	形成人际间亲属关系的社会结合以及法律约束
      1 法定遗产继承	保险受益人	拘留
      1 河北	甘肃	内蒙古
      1 没有垄断	话语权的能力	在这个文化背景的层面上来看
      1 民生问题	甚至环境污染问题	都排不上队
      1 民众的思想较为开放	都更容易实现同性婚姻合法化	180
      1 比如说退休养老制度	福利制度	民生问题
      1 比如父母的概念	该如何区别爸爸妈妈的称呼	如果同性不存在生育后代
      1 每年的彩虹纪念日	像是一场狂欢	180
      1 此段落引用自11月28日台湾著名歌手	焦安溥在	同性婚姻法制化
      1 正民法案基本上得到了多数朝野两党	立委	以及
      1 欧美就更加了	每年的彩虹纪念日	像是一场狂欢
      1 欧美一些国家	在历史上为了改变同性恋者	使其适应一般大众的异性恋生活
      1 有超过半数的同学	身边有已经出柜的同性恋者	有同性恋情侣
      1 有超过一半的人并不了解	LGBT	的含义
      1 有很大一部分人不了解也不在乎这个有些与众不同的群体	3	与同性婚姻合法化所配套的制度还有诸多不健全
      1 有同性恋情侣	当我们观察我们的周围	发现同性恋人群不再稀少
      1 更加是权利保障的问题	首先	人权
      1 是当务之急	这个特殊的问题跟大多数问题比	比如说退休养老制度
      1 是家庭成立的标志	现代婚姻普遍认同是一男一女	一夫一妻的形式
      1 明显可以看出在没有取得婚姻平权前的伴侣制度有各种权利的限制	180	图片来自网络
      1 早在2014年底	台湾历史上首次在	立法院
      1 无论是绝大多数的异性恋者	还是LGBT人群	都应该平等享有婚姻的权利
      1 无论对同性婚姻合法化持何种看法	首先我们要了解它准确的概念	这样有助于我们理解为什么要这样做
      1 无神论者	占据多数	因此虽然台湾同婚合法化过程中受到不少宗教组织的非议
      1 改变为	双方	由于台湾本次修
      1 收养制度等其他中国现有的法律制度还有诸多不健全	一旦修改婚姻法这样的大法	要修宪
      1 撇开社会所给我们的观点	去主动认识未知的事物	去了解他们
      1 撇开偏见	撇开社会所给我们的观点	去主动认识未知的事物
      1 提上议事日程	凡是通过了同性婚姻的国家都有游说制度	就是说他们在政府
      1 接受世界的赞赏	Submit	打开App
      1 据统计	在中国	同性恋所占的比重是4
      1 据抽样调查统计	大致得到以下发现	1
      1 捐血后直系亲属可以无偿用血	动手术时的家属确	认签名
      1 拘留	坐牢后探监以及其他夫妻所能享受到的权利	如果同性婚姻没得到法律的保障
      1 找到一个大家都比较认同的新的家庭文化概念	宗教信仰的阻碍在大陆地区就相对来说较小	在欧美
      1 打开App	热门文章	下载简书
      1 打开App	2016年11月8日	台湾
      1 所谓的极少数人	只是	相对于这个时空的少数
      1 所以我们提供了对于所谓	真正多数人	在婚姻里的保障
      1 所以大家都预期这次法案将会顺利通过	180	图片来自
      1 所以在历史上无从记载或追朔	以致于就不被承认发生过的事	此段落引用自11月28日台湾著名歌手
      1 所以	随着社会发展	思想开放
      1 户籍制度	收养制度等其他中国现有的法律制度还有诸多不健全	一旦修改婚姻法这样的大法
      1 截至2016年9月	全球21个同性婚姻合法国家名单	不包括德国瑞士等几十个同性民事结合合法国家
      1 或	社会通过给与特定的权利	待
      1 我的新郎	海报	2011年5月
      1 我的新郎	就明确揭示了	这个问题
      1 我国著名的性学家	社会学家李银河教授	2
      1 我国从一开始的性教育中就缺乏对LGBT的科普	缺乏对LGBT人群的正确解释	从我们的统计中可得知
      1 我们都希望去争取	所以	随着社会发展
      1 我们身为人类赋予婚姻的定义	就会发现它其实经过了无数种演变	它经过了无数种申论
      1 我们要有耐心也要坚持下去	著作权归作者所有	__________________________________________________________________
      1 我们自己和在乎的人的权益	我们都希望去争取	所以
      1 我们爱的人	我们在乎的	人就可能是同性恋
      1 我们有农民工的代表	农民的代表	各个少数民族的代表
      1 我们抽样调查所收集到的数据	看到了大陆民间的数据	我们很好奇作为社会的新声音
      1 我们必须好好梳理传统的家庭结构	找到一个大家都比较认同的新的家庭文化概念	宗教信仰的阻碍在大陆地区就相对来说较小
      1 我们很好奇作为社会的新声音	大学生群体是如何看待同性恋婚姻的	我们一共收到来自北京
      1 我们就了解到	婚姻	制度不仅仅是对亲属关系的
      1 我们在乎的	人就可能是同性恋	我们自己和在乎的人的权益
      1 我们先看看全球环境	截至2016年9月	全球21个同性婚姻合法国家名单
      1 我们中间大部分人习惯于这个什么资讯都已经被守门人过滤好再给我们投食的世界	而我认为靠自己过滤才是一个明智的状态	撇开偏见
      1 我们一共收到来自北京	天津	重庆
      1 情进行梳理和讨论	而不是空玩文字游戏	这篇文章从名词解释
      1 您的运行环境禁止了	JavaScript	的执行
      1 总而言之	要实现同性婚姻合法化	从来就不能只靠LGBT群体的孤军奋战
      1 思想开放	这种追求性向平等的诉求声会越来越大	大陆环境中阻碍同性婚姻合法化的因素
      1 忠贞的	单配的	合法的两个成年人之间的契约结合
      1 得天独厚	的包容同志的优势	总而言之
      1 很难	提上议事日程	凡是通过了同性婚姻的国家都有游说制度
      1 待	遇和责任表示认可	这些权利包括经济
      1 影片详细记录了这对恋人长达六年的感情生活	以及Tom死后Shane所经历的痛苦挣扎	包括被Tom家人禁止参加Tom
      1 形成自己的是非标准	去支持我们认为	自己应该支持的进步
      1 形成人际间亲属关系的社会结合以及法律约束	这种结合通常以婚礼的方式来对外宣告其正	式成立
      1 当然不是	结合能被社会祝福当然更好	不被祝福也不会成为一个迫在眉睫的问题
      1 当然	立法也能对同性恋人群受到社会尊重和社会认可方面起到十分关键的积极推动	它是改善同性恋途径的一个捷径
      1 当我们观察我们的周围	发现同性恋人群不再稀少	我们爱的人
      1 式成立	通常	婚姻是组成家庭的基础和根据
      1 广东	湖南	湖北
      1 并逐渐普及	180	图片来自网络
      1 并不是那么神秘	都是我们	身边的人
      1 已经一读通过修正民法第972条的婚姻平权法案	内容是将婚姻的定义从	男女
      1 山西	河北	甘肃
      1 山东	山西	河北
      1 屁股猎人	在大中华地区	无神论者
      1 就是说他们在政府	在议会里都会有LGBT的代表	而我们人民代表大会里没有同性恋代表
      1 就是	捐血后直系亲属可以无偿用血	动手术时的家属确
      1 就明确揭示了	这个问题	180
      1 就会发现它其实经过了无数种演变	它经过了无数种申论	它也透过了无数种人
      1 少数人的特殊的利益表达机制不完善	据统计	在中国
      1 少数人的利益的事情	很难	提上议事日程
      1 尊重真相和本质	对事	情进行梳理和讨论
      1 对于同性恋者	争取同性婚姻合法化为什么如此必要	为什么同性恋运动家们要一直坚持实现同性恋婚姻合法化呢
      1 对事	情进行梳理和讨论	而不是空玩文字游戏
      1 家族关系会因为同性婚姻合法化而变得较为混乱	我们必须好好梳理传统的家庭结构	找到一个大家都比较认同的新的家庭文化概念
      1 实现同性婚姻合法化	不只是同性恋者的诉求	如果我们回头看
      1 定	另外一方面	则更加关键
      1 宗教信仰的阻碍在大陆地区就相对来说较小	在欧美	多数反对同性恋婚姻甚至反对同性恋本身的意见
      1 它经过了无数种申论	它也透过了无数种人	在他们的当代重新定
      1 它是改善同性恋途径的一个捷径	因为大家都是很信任法律的	如果
      1 它也透过了无数种人	在他们的当代重新定	义了多数人还可以拿婚姻做些什么
      1 婚姻的社会学解释	泛指男女之间的结合	一方到另一方家落户成亲
      1 婚姻法为夫妻双方的权利提供了保障和约束	在2013年上映的一部根据真实故事改编的纪录片	再见
      1 婚姻是组成家庭的基础和根据	是家庭成立的标志	现代婚姻普遍认同是一男一女
      1 婚姻平权	问题	在婚姻平权问题逐渐得到全台人关注的2016年
      1 婚姻平权	伴侣制度以及家属制度也有很大的区别	明显可以看出在没有取得婚姻平权前的伴侣制度有各种权利的限制
      1 婚姻	制度不仅仅是对亲属关系的	认可
      1 如果我们回头看	我们身为人类赋予婚姻的定义	就会发现它其实经过了无数种演变
      1 如果同性婚姻没得到法律的保障	那么这些权利也受不到任何保护	180
      1 如果同性不存在生育后代	近亲是否可以结婚	家族关系会因为同性婚姻合法化而变得较为混乱
      1 如果	连婚姻都合法了	那各方面的歧视也很难站住脚了
      1 天津	重庆	广东
      1 大陆还有多远	180	6lie
      1 大陆的婚姻法也保障了夫妻双方包括经济	税收	遗产
      1 大陆环境中阻碍同性婚姻合法化的因素	1	少数人的特殊的利益表达机制不完善
      1 大陆也有了一些新进展	20	16年初
      1 大致得到以下发现	1	大致五成的大学生身边有同性恋者
      1 大致五成的大学生身边有同性恋者	大致五成的大学生身边有同性恋情侣	2
      1 大致五成的大学生身边有同性恋情侣	2	约两成的人不关心同性恋人群的各种问题
      1 大学生群体是如何看待同性恋婚姻的	我们一共收到来自北京	天津
      1 大众对于LGBT人群的认识不够	社会的认同程度不够	自80年代台湾政治开放以来
      1 大中华地区事实上是拥有	得天独厚	的包容同志的优势
      1 多数反对同性恋婚姻甚至反对同性恋本身的意见	都是来源于宗教群体中较为保守的力量	180
      1 多为欧洲国家	同性婚姻合法化是对传统婚姻模式的一种创新	体现了现代婚姻多元化的发展趋势
      1 坐牢后探监以及其他夫妻所能享受到的权利	如果同性婚姻没得到法律的保障	那么这些权利也受不到任何保护
      1 在这个文化背景的层面上来看	大中华地区事实上是拥有	得天独厚
      1 在议会里都会有LGBT的代表	而我们人民代表大会里没有同性恋代表	我们有农民工的代表
      1 在言论表达自由	集会结社和游行示威自由等基本人权保障的背景下	台湾同志非政府组织的活动一直十分活跃
      1 在欧美	多数反对同性恋婚姻甚至反对同性恋本身的意见	都是来源于宗教群体中较为保守的力量
      1 在我们的调查中	有超过半数的同学	身边有已经出柜的同性恋者
      1 在岛内外也深得人心	所以大家都预期这次法案将会顺利通过	180
      1 在婚姻里的保障	而通常我觉得在大部分的议题里面	所谓的极少数人
      1 在婚姻平权问题逐渐得到全台人关注的2016年	大陆也有了一些新进展	20
      1 在大中华地区	无神论者	占据多数
      1 在同性婚姻的支持者中	这也被称为婚姻平等或婚姻平权	180
      1 在台湾	婚姻平权	伴侣制度以及家属制度也有很大的区别
      1 在历史上为了改变同性恋者	使其适应一般大众的异性恋生活	设立一些只为异性恋提供福利和保障的婚姻法条例
      1 在他们的当代重新定	义了多数人还可以拿婚姻做些什么	所以我们提供了对于所谓
      1 在中国	同性恋所占的比重是4	5
      1 在Tom死后	Shane发现自己被彻底切断了和Tom所有遗物的关联	两人的共同
      1 在2013年上映的一部根据真实故事改编的纪录片	再见	我的新郎
      1 图片来自网络	背景介绍	我们先看看全球环境
      1 图片来自网络	欧美就更加了	每年的彩虹纪念日
      1 图片来自网络	当然	立法也能对同性恋人群受到社会尊重和社会认可方面起到十分关键的积极推动
      1 图片来自网络	婚姻的社会学解释	泛指男女之间的结合
      1 图片来自网络	大陆的婚姻法也保障了夫妻双方包括经济	税收
      1 图片来自网络	和这些对比	我国从一开始的性教育中就缺乏对LGBT的科普
      1 图片来自网络	同性婚姻支持者定义的婚姻	一个获得社会承认的
      1 图片来自网络	4	传统道德观念和宗教信仰的限制
      1 图片来自	中国台湾网	2016年12月12日台南女老师真空上街力挺同性婚姻合法化
      1 图片为谷歌撤销反同性恋游戏	ASS	HUNTER
      1 图片为纪录片	再见	我的新郎
      1 图片为	同性婚姻维权第一案	两位主人公自制的结婚证
      1 因此虽然台湾同婚合法化过程中受到不少宗教组织的非议	但这些组织并没有像欧美那样拥有极大的社会势力	没有垄断
      1 因为大家都是很信任法律的	如果	连婚姻都合法了
      1 和这些对比	我国从一开始的性教育中就缺乏对LGBT的科普	缺乏对LGBT人群的正确解释
      1 名词解释	LGBT	LGBT是女同性恋者
      1 同时也有不少地区认同同性婚姻	现今某些地区的法律或宗教教规亦承认一夫多妻	一妻多夫婚姻
      1 同性恋者的声音发不出来	他们的利益诉求就是没法表达	观点来自
      1 同性恋社群	一词无法完整体现相关群体	LGBT
      1 同性恋所占的比重是4	5	双性恋是4
      1 同性恋以及LGBTQ团体	并不是那么神秘	都是我们
      1 同性婚姻维权第一案	两位主人公自制的结婚证	无论对同性婚姻合法化持何种看法
      1 同性婚姻维权第一案	180	图片为
      1 同性婚姻法制化	公听会上的发言	在我们的调查中
      1 同性婚姻支持者定义的婚姻	一个获得社会承认的	自愿的
      1 同性婚姻合法化是对传统婚姻模式的一种创新	体现了现代婚姻多元化的发展趋势	具有重要的历史进步意义
      1 同志大	游行等都搞得有声有色	这使得同志群体和同志文化能够积极地曝光在普通人的眼前
      1 合法的两个成年人之间的契约结合	由政府和	或
      1 各个少数民族的代表	但是没有同性恋的代表	同性恋者的声音发不出来
      1 台湾同性婚姻合法化差不多板上钉钉	大陆还有多远	180
      1 台湾同志非政府组织的活动一直十分活跃	骄傲节	同志大
      1 台湾历史上首次在	立法院	公开讨论
      1 台湾	立法院	已经一读通过修正民法第972条的婚姻平权法案
      1 只是	相对于这个时空的少数	他不是人类历史里永远的极少数
      1 只不过	人类历史里通常只愿意相信已经发生的事情	而且大部
      1 另外一方面	则更加关键	婚姻法为夫妻双方的权利提供了保障和约束
      1 发达国家由于上层建筑完备	民众的思想较为开放	都更容易实现同性婚姻合法化
      1 发现同性恋人群不再稀少	我们爱的人	我们在乎的
      1 双方	由于台湾本次修	正民法案基本上得到了多数朝野两党
      1 双性恋者与跨性别者	一个人在心理上无法认同自己与生俱来的性别	的英文首字母缩略字
      1 双性恋是4	跨性别者的比例更低	LGBT是一个特别少的群体
      1 去支持我们认为	自己应该支持的进步	任何变革对于社会都是一场沉痛的蜕皮
      1 去了解他们	形成自己的是非标准	去支持我们认为
      1 去主动认识未知的事物	去了解他们	形成自己的是非标准
      1 占据多数	因此虽然台湾同婚合法化过程中受到不少宗教组织的非议	但这些组织并没有像欧美那样拥有极大的社会势力
      1 单配的	合法的两个成年人之间的契约结合	由政府和
      1 华夏民族骨子里的保守会遭到冲击	比如父母的概念	该如何区别爸爸妈妈的称呼
      1 包括被Tom家人禁止参加Tom	的葬礼	欧美一些国家
      1 动手术时的家属确	认签名	以夫妻身份领养孤儿
      1 制度不仅仅是对亲属关系的	认可	通俗意义上说的名分问题
      1 创作你的创作	接受世界的赞赏	Submit
      1 创作你的创作	免费下载	台湾同性婚姻合法化差不多板上钉钉
      1 创作你的创作		
      1 则更加关键	婚姻法为夫妻双方的权利提供了保障和约束	在2013年上映的一部根据真实故事改编的纪录片
      1 分析大陆离成为同性婚姻合法化的社会还有多远	名词解释	LGBT
      1 分已发生的事情还有很多是我们不愿意承认	所以在历史上无从记载或追朔	以致于就不被承认发生过的事
      1 凡是通过了同性婚姻的国家都有游说制度	就是说他们在政府	在议会里都会有LGBT的代表
      1 农民的代表	各个少数民族的代表	但是没有同性恋的代表
      1 再见	我的新郎	海报
      1 再见	我的新郎	就明确揭示了
      1 内蒙古	西班牙	美国和日本9个省三个直辖市还有两个海外地区的182份有效问卷
      1 内容是将婚姻的定义从	男女	改变为
      1 具有重要的历史进步意义	发达国家由于上层建筑完备	民众的思想较为开放
      1 其中16个为发达国家	5个	为发展中国家
      1 公开讨论	婚姻平权	问题
      1 公听会上的发言	在我们的调查中	有超过半数的同学
      1 全球背景以及我们所收到的182份问卷的出发	分析大陆离成为同性婚姻合法化的社会还有多远	名词解释
      1 全球21个同性婚姻合法国家名单	不包括德国瑞士等几十个同性民事结合合法国家	其中16个为发达国家
      1 免费下载	台湾同性婚姻合法化差不多板上钉钉	大陆还有多远
      1 像是一场狂欢	180	图片来自网络
      1 修改其他法律	这是一项无比浩大的工程	这个工程需要
      1 保险受益人	拘留	坐牢后探监以及其他夫妻所能享受到的权利
      1 使其适应一般大众的异性恋生活	设立一些只为异性恋提供福利和保障的婚姻法条例	在台湾
      1 作为一个独立的人	无论是绝大多数的异性恋者	还是LGBT人群
      1 体现了现代婚姻多元化的发展趋势	具有重要的历史进步意义	发达国家由于上层建筑完备
      1 但这些组织并没有像欧美那样拥有极大的社会势力	没有垄断	话语权的能力
      1 但是没有同性恋的代表	同性恋者的声音发不出来	他们的利益诉求就是没法表达
      1 但是	从开头的名词解释	我们就了解到
      1 伴侣制度以及家属制度也有很大的区别	明显可以看出在没有取得婚姻平权前的伴侣制度有各种权利的限制	180
      1 传统道德观念和宗教信仰的限制	传统的家庭结构受到挑战	华夏民族骨子里的保守会遭到冲击
      1 传统的家庭结构受到挑战	华夏民族骨子里的保守会遭到冲击	比如父母的概念
      1 任何变革对于社会都是一场沉痛的蜕皮	我们要有耐心也要坚持下去	著作权归作者所有
      1 以致于就不被承认发生过的事	此段落引用自11月28日台湾著名歌手	焦安溥在
      1 以夫妻身份领养孤儿	法定遗产继承	保险受益人
      1 以及Tom死后Shane所经历的痛苦挣扎	包括被Tom家人禁止参加Tom	的葬礼
      1 以及	领导人	蔡英文的支持
      1 他们的利益诉求就是没法表达	观点来自	我国著名的性学家
      1 他也不可能没有变庞大的机会	只不过	人类历史里通常只愿意相信已经发生的事情
      1 他不是人类历史里永远的极少数	他也不可能没有变庞大的机会	只不过
      1 从来就不能只靠LGBT群体的孤军奋战	我们中间大部分人习惯于这个什么资讯都已经被守门人过滤好再给我们投食的世界	而我认为靠自己过滤才是一个明智的状态
      1 从我们的统计中可得知	超过半数的学生都不知道LGBT是	什么含义
      1 从开头的名词解释	我们就了解到	婚姻
      1 仅仅是求得社会认可和稳定关系的建立吗	当然不是	结合能被社会祝福当然更好
      1 什么含义	这代表着	有很大一部分人不了解也不在乎这个有些与众不同的群体
      1 人类历史里通常只愿意相信已经发生的事情	而且大部	分已发生的事情还有很多是我们不愿意承认
      1 人生而平等	作为一个独立的人	无论是绝大多数的异性恋者
      1 人权	人生而平等	作为一个独立的人
      1 人就可能是同性恋	我们自己和在乎的人的权益	我们都希望去争取
      1 于	同性恋社群	一词无法完整体现相关群体
      1 争取同性婚姻合法化为什么如此必要	为什么同性恋运动家们要一直坚持实现同性恋婚姻合法化呢	仅仅是求得社会认可和稳定关系的建立吗
      1 也就是说	结婚与否应该由自己决	定
      1 义了多数人还可以拿婚姻做些什么	所以我们提供了对于所谓	真正多数人
      1 为发展中国家	多为欧洲国家	同性婚姻合法化是对传统婚姻模式的一种创新
      1 为什么大陆当下又不能这样做	尊重真相和本质	对事
      1 为什么同性恋运动家们要一直坚持实现同性恋婚姻合法化呢	仅仅是求得社会认可和稳定关系的建立吗	当然不是
      1 中国香港约为40	中国大陆地区约为20	我们抽样调查所收集到的数据
      1 中国大陆地区约为20	我们抽样调查所收集到的数据	看到了大陆民间的数据
      1 中国台湾网	2016年12月12日台南女老师真空上街力挺同性婚姻合法化	早在2014年底
      1 两位主人公自制的结婚证	无论对同性婚姻合法化持何种看法	首先我们要了解它准确的概念
      1 两人的共同	财产也没能受到合法的保护	影片详细记录了这对恋人长达六年的感情生活
      1 与同性婚姻合法化所配套的制度还有诸多不健全	户籍制度	收养制度等其他中国现有的法律制度还有诸多不健全
      1 不被祝福也不会成为一个迫在眉睫的问题	但是	从开头的名词解释
      1 不只是同性恋者的诉求	如果我们回头看	我们身为人类赋予婚姻的定义
      1 不包括德国瑞士等几十个同性民事结合合法国家	其中16个为发达国家	5个
      1 下载简书	创作你的创作	
      1 上表显示	2016年中国台湾地区民间对同性婚姻的支持率约为60	中国香港约为40
      1 上图为其中一题	据抽样调查统计	大致得到以下发现
      1 一词无法完整体现相关群体	LGBT	一词便应运而生
      1 一词便应运而生	并逐渐普及	180
      1 一旦修改婚姻法这样的大法	要修宪	修改其他法律
      1 一方到另一方家落户成亲	形成人际间亲属关系的社会结合以及法律约束	这种结合通常以婚礼的方式来对外宣告其正
      1 一对同性伴侣因登记结婚遭拒	起诉湖南省长沙市芙蓉区民政局行政不作为	获法院立案受理
      1 一妻多夫婚姻	180	图片来自网络
      1 一夫一妻的形式	同时也有不少地区认同同性婚姻	现今某些地区的法律或宗教教规亦承认一夫多妻
      1 一个获得社会承认的	自愿的	忠贞的
      1 一个人在心理上无法认同自己与生俱来的性别	的英文首字母缩略字	1990年代
