      8 Image	caption
      1 越南受到前殖民宗主国法国的影响	社会对同性恋接受度较高
      1 越南	图片版权
      1 赞成率则降为21	在穆斯林占多数人口的国家
      1 赞同	日本则有54
      1 豆瓣	分享平台
      1 该案虽然败诉	但对中国同志运动起到鼓励作用
      1 许多跨性别者选择到泰国进行性别重建手术	泰国对于同性恋的态度也较开放
      1 认为同性恋应该被禁止	马来西亚则有86
      1 裁决使得台湾在同性婚姻合法化的进程中为亚洲第一	但在台湾同婚释宪前
      1 被认为可能是下一个通过同婚的亚洲国家	魏余雪奕表示
      1 蒙眼	挑战引热潮
      1 英文	检索
      1 英国性调查	初次
      1 自动绑鞋带球鞋问世	王家卫与香港电影
      1 而自2009年开始举办的	粉红点
      1 而是关于人权	是关于给予每个人平等的权利
      1 而亚洲许多国家尚	欠缺最根本的
      1 者平等权的法律	却没有法律来保障同性恋者不被歧视的权利
      1 美女与野兽	因为有同性恋情节
      1 美国最高法院裁定同性婚姻在全美国都是一项合法权益	在台湾开启亚洲先例后
      1 网站被关闭	2016年4月
      1 缅甸也沿袭英国殖民时代的法条	同性恋可被罚款或判刑监禁
      1 缅甸	和新加坡一样
      1 给定相关部门两年期限来制定新法或修法	这项
      1 繁	分类
      1 粉红点	同志权益集会
      1 粉红点	Pink
      1 称这是根据	国家长期
      1 禁止同性结婚违反宪法	给定相关部门两年期限来制定新法或修法
      1 祁家威表示	以前台湾同婚未合法化之前
      1 社会接受度提高	被认为可能是下一个通过同婚的亚洲国家
      1 社会对同性恋接受度较高	他也认为下一个亚洲同婚合法化
      1 相比2007年调查时只有18	的人接受
      1 直接跳到内容	浏览协助
      1 的调查中	印尼有93
      1 的省份亚齐	Aceh
      1 的现象	中国最大的同志交友平台Blued创办人耿乐
      1 的模范	体现出同性平权运动不只是西方国家才有的现象
      1 的态度	但近年来也有些禁令
      1 的国家如马来西	亚
      1 的人认为同性恋应该被社会接受	澳洲有79
      1 的人认为同性恋应被接受	相比2007年调查时只有18
      1 的人接受	同性恋接受度显著提高
      1 的	现象
      1 男同志孙文麟起诉湖南省长沙市芙蓉区民政局以一男	一女才能结婚为由
      1 电邮	分享平台
      1 电邮	分享
      1 电视剧内容制作通则	同性恋就被视为
      1 生殖器超长全为保	房产
      1 现象	关注同性恋权益的香港非牟利机构社商贤汇行政总裁魏余雪奕
      1 现在台湾同婚合法指日可待	他称
      1 王家卫与香港电影	东方好莱坞
      1 特别是政治或争议性的社会议题	缅甸
      1 特别是华人文化圈	的模范
      1 牧师怎么说	2016年
      1 澳洲有79	赞同
      1 浏览器将打开另一个窗口	Submit
      1 浏览器将打开另一个窗口	Facebook
      1 浏览协助	家长指引
      1 浏览协助	News
      1 泰国对于同性恋的态度也较开放	泰国因为信奉对同性恋较没有约束的佛教
      1 泰国因为信奉对同性恋较没有约束的佛教	加上有许多跨性别者
      1 泰国	图片版权
      1 没有希望通过同婚	的国家如马来西
      1 民风保守	在世俗和宗教法律中
      1 民风保守	加上反对派领导人安瓦尔
      1 欠缺最根本的	反歧视法
      1 检索BBC内容	News
      1 检索BBC内容	____________________
      1 检索	检索BBC内容
      1 根据美国独立民调机构皮尤研究中心	Pew
      1 根据此条款	任何男性间无论在公共或私人场所进行口交和肛交
      1 根据司法院大法官释宪	禁止同性结婚违反宪法
      1 来保障性少数的平等权	禁止同性结婚违宪
      1 条	新加坡总的来说还是一个保守的社会
      1 有可能成为下一个推进同婚的地方	在台湾提出同婚释宪案的祁家威接受BBC中文网访问时也表示
      1 有些同性伴侣会到加拿大	到欧洲结婚领证
      1 最初被马来西亚政府禁止放映	后来以PG
      1 最初于1938年被加入刑法法典	新加坡议会在2007年废除了法规中绝大部分内容
      1 更重要	BBC
      1 更多有关此项报道的内容	还有哪些国家仍在实施鞭刑
      1 是关于给予每个人平等的权利	而亚洲许多国家尚
      1 日本则有54	在中国
      1 新加坡议会在2007年废除了法规中绝大部分内容	却保留了第377A
      1 新加坡的刑法377A款规定同性性行为违法	根据此条款
      1 新加坡政府宣布外籍人士不得参加	粉红点
      1 新加坡政府发言人回应BBC查询	称这是根据
      1 新加坡总的来说还是一个保守的社会	政府也会对媒体有关同性恋的内容进行审查
      1 新加坡同志	集会被限制
      1 新加坡	图片版权
      1 政府也会对媒体有关同性恋的内容进行审查	一些外国剧集的同性恋情节会被删剪
      1 支持同性婚姻合法化违背	圣经
      1 接受今年稍早接受BBC中文网采访时表示	对中国同志权益持十分乐观的态度
      1 接受BBC中文访问时表示	台湾同性婚姻合法化运动能成为亚洲
      1 挺同志集会参加者	新加坡的刑法377A款规定同性性行为违法
      1 挺同志集会	在中国
      1 挑战引热潮	危险恶搞影片YouTube下禁令
      1 拒绝为他和男伴办理结婚登记	该案虽然败诉
      1 房产	回到未来
      1 我们对外部链接	链接政策的处理办法
      1 我们和一般家庭一样	2017年
      1 我不是自己要结婚	特写
      1 我不是自己要结婚	2017年
      1 性福	更重要
      1 很难预测下一个亚洲国家会是哪里	但是她观察
      1 彩虹旗飘扬	台湾婚姻平权万人游行
      1 形式结婚	的现象
      1 形式结婚	的
      1 强调同志平权	不只是性别
      1 开心网	分享平台
      1 少数族群权益的运动	而是关于人权
      1 导航	繁
      1 导航	分类
      1 对同性恋的接受度也很高	在韩国
      1 对同志友善的国家	但虽然社会氛围较开放
      1 对中国同志权益持十分乐观的态度	他曾对中国媒体预言10年内
      1 寄居蟹演化揭秘	生殖器超长全为保
      1 容忍	的态度
      1 家长指引	与BBC联络
      1 宗教是同性恋被社会接纳与否的重要因素	但不是绝对
      1 天主教国家菲律宾和巴西	对同性恋的接受度也很高
      1 大师不迎合特定观众	英国性调查
      1 复制链接	https
      1 在韩国	39
      1 在菲律宾有73	的人认为同性恋应该被社会接受
      1 在穆斯林占多数人口的国家	不接受同性恋的比率很高
      1 在湖南的法院公开审理	这是中国法院首次同意审理有关同性婚姻的案件
      1 在新加坡被禁播	而自2009年开始举办的
      1 在台湾提出同婚释宪案的祁家威接受BBC中文网访问时也表示	越南受到前殖民宗主国法国的影响
      1 在台湾开启亚洲先例后	哪一个国家会成为亚洲第二也引发关注
      1 在印尼唯一一个执行伊斯兰教法	Sharia
      1 在中国也出现同志为了组织家庭而	形式结婚
      1 在中国	赞成率则降为21
      1 在中国	同性还不能登记结婚
      1 在世俗和宗教法律中	同性性行为都是违法的
      1 在2001年通过	2015年
      1 在	同性恋是否该被禁止
      1 圣经	牧师怎么说
      1 图片版权	Reuters
      1 图片版权	Junaidi
      1 国家长期	以来的政策
      1 国家新闻出版广电总局曾发布	电视剧内容制作通则
      1 因此被视为对性别宽容	对同志友善的国家
      1 因此有男女同性恋者	形式结婚
      1 因此更难以推行	下一个同婚合法的亚洲国家
      1 因为鸡奸罪两度被判刑入狱	使得同志运动被政治化
      1 因为音乐录影带以女同志为主题	在新加坡被禁播
      1 因为有同性恋情节	最初被马来西亚政府禁止放映
      1 回到未来	预言成真
      1 哪些国家同性恋违法	新加坡
      1 哪一个国家会成为亚洲第二也引发关注	越南
      1 和新加坡一样	缅甸也沿袭英国殖民时代的法条
      1 后来以PG	1
      1 后悔	性福
      1 同样是今年	印尼男同志被鞭刑
      1 同性还不能登记结婚	但同志平权运动正在发展
      1 同性恋是否该被禁止	的调查中
      1 同性恋接受度显著提高	哪些国家同性恋违法
      1 同性恋就被视为	不能在电视剧出现的具体内容
      1 同性恋婚姻登记案	在湖南的法院公开审理
      1 同性恋可被罚款或判刑监禁	印尼
      1 同性性行为都是违法的	今年三月上映的迪士尼电影
      1 同性性行为是违法的	5月23日
      1 同志权益集会	今年政府宣布必须是新加坡国民才有资格参与
      1 各国对同志接受程度如何	图片版权
      1 台湾肉圆家暴事件再次引起媒体舆论关注	寄居蟹演化揭秘
      1 台湾社会高度关注这起释宪案	释宪判决宣布
      1 台湾社会高度关注这起释宪案	下午四点释宪判决宣布
      1 台湾的同志平权运动在2017年5月24日迎来一大进展	根据司法院大法官释宪
      1 台湾每年都会举行大规模的同志游行	根据美国独立民调机构皮尤研究中心
      1 台湾歌手蔡依林的	不一样又怎样
      1 台湾挺同民众欢呼台湾的同志平权运动成为名副其实的	亚洲第一
      1 台湾婚姻平权万人游行	2016年
      1 台湾大法官做出判决	台湾同婚推手祁家威
      1 台湾大法官做出判决	2017年
      1 台湾同性家长	我们和一般家庭一样
      1 台湾同性婚姻合法化运动能成为亚洲	特别是华人文化圈
      1 台湾同婚合法化	亚洲同志权益现况如何
      1 台湾司法院大法官释宪支持同性婚姻合法化	台湾挺同民众欢呼台湾的同志平权运动成为名副其实的
      1 可能发生在越南	泰国
      1 受限于华人传宗接代的传统	在中国也出现同志为了组织家庭而
      1 反歧视法	来保障性少数的平等权
      1 反应热烈	图片版权
      1 反应热烈	台湾司法院大法官释宪支持同性婚姻合法化
      1 原名马保力	接受今年稍早接受BBC中文网采访时表示
      1 却没有法律来保障同性恋者不被歧视的权利	中国
      1 却保留了第377A	条
      1 危险恶搞影片YouTube下禁令	台湾肉圆家暴事件再次引起媒体舆论关注
      1 印尼等	他们可以考虑来台湾结婚
      1 印尼男同志被鞭刑	新加坡同志
      1 印尼有93	认为同性恋应该被禁止
      1 印尼亚齐特区一对男同志因同性性行为而被公开鞭刑	今年3月
      1 印尼	图片版权
      1 包含部分家长可能认为不适合13岁以下观看的内容	分级上映
      1 加上有许多跨性别者	因此被视为对性别宽容
      1 加上反对派领导人安瓦尔	Anwar
      1 到欧洲结婚领证	现在台湾同婚合法指日可待
      1 初次	后悔
      1 创意励志	蒙眼
      1 刘子维	BBC中文网记者
      1 分级上映	魏余雪奕表示
      1 分享此项报道	关于分享
      1 分享平台	这是外部链接
      1 分享平台	豆瓣
      1 分享平台	开心网
      1 分享平台	WhatsApp
      1 分享平台	Twitter
      1 分享平台	QQ
      1 分享平台	Plurk
      1 分享平台	LinkedIn
      1 分享平台	Facebook
      1 分享	分享平台
      1 关注同性恋权益的香港非牟利机构社商贤汇行政总裁魏余雪奕	Fern
      1 关于分享	这是外部链接
      1 关于分享	Facebook
      1 关于BBC	隐私政策
      1 关上分享窗口	台湾社会高度关注这起释宪案
      1 例如	国家新闻出版广电总局曾发布
      1 使用条款	关于BBC
      1 使得同志运动被政治化	因此更难以推行
      1 体现出同性平权运动不只是西方国家才有的现象	魏余雪奕介绍亚洲各国同性权益的概况
      1 但近年来也有些禁令	例如
      1 但虽然社会氛围较开放	也已经制定了保障跨性别
      1 但是她观察	越南的同性平权运动及社会接受度越来越高
      1 但对中国同志运动起到鼓励作用	魏余雪奕认为中国政府对同性恋采取
      1 但在台湾同婚释宪前	印尼亚齐特区一对男同志因同性性行为而被公开鞭刑
      1 但同志平权运动正在发展	受限于华人传宗接代的传统
      1 但不是绝对	天主教国家菲律宾和巴西
      1 任何男性间无论在公共或私人场所进行口交和肛交	都属犯罪行为
      1 以来的政策	不让外籍人士涉入内政
      1 以前台湾同婚未合法化之前	有些同性伴侣会到加拿大
      1 他称	没有希望通过同婚
      1 他曾对中国媒体预言10年内	中国或可走向同志婚姻合法化
      1 他们可以考虑来台湾结婚	分享此项报道
      1 他也认为下一个亚洲同婚合法化	可能发生在越南
      1 今年政府宣布必须是新加坡国民才有资格参与	新加坡政府发言人回应BBC查询
      1 今年三月上映的迪士尼电影	美女与野兽
      1 今年3月	新加坡政府宣布外籍人士不得参加
      1 亚洲第一	同样是今年
      1 亚洲地区对于同性恋的看法比较负面	在菲律宾有73
      1 亚洲同志权益现况如何	刘子维
      1 亚洲其他地方的同志权益又是如何	台湾的同志平权运动在2017年5月24日迎来一大进展
      1 亚	印尼等
      1 也已经制定了保障跨性别	者平等权的法律
      1 中文	BBC
      1 中国第一起	同性恋婚姻登记案
      1 中国最大的同志交友平台Blued创办人耿乐	原名马保力
      1 中国或可走向同志婚姻合法化	不过
      1 中国女同性恋交友软件热拉本周被当局下架	网站被关闭
      1 中国因华人家庭观念根深柢固	因此有男女同性恋者
      1 中国	Image
      1 两名男子因被发现进行同性性行为被公开鞭刑	马来西亚
      1 东方好莱坞	大师不迎合特定观众
      1 世界上第一个同性婚姻合法化的国家是荷兰	在2001年通过
      1 专访	支持同性婚姻合法化违背
      1 与BBC联络	Get
      1 不过	中国女同性恋交友软件热拉本周被当局下架
      1 不让外籍人士涉入内政	特别是政治或争议性的社会议题
      1 不能在电视剧出现的具体内容	祁家威表示
      1 不接受同性恋的比率很高	在
      1 不只是性别	少数族群权益的运动
      1 不一样又怎样	一曲
      1 下午四点释宪判决宣布	反应热烈
      1 下一个同婚合法的亚洲国家	世界上第一个同性婚姻合法化的国家是荷兰
      1 一曲	因为音乐录影带以女同志为主题
      1 一女才能结婚为由	拒绝为他和男伴办理结婚登记
      1 一些外国剧集的同性恋情节会被删剪	台湾歌手蔡依林的
      1 zhongwen	simp
      1 www	bbc
      1 world	40091879
      1 WhatsApp	返回页首
      1 WhatsApp	复制链接
      1 WhatsApp	分享平台
      1 Twitter	分享平台
      1 Submit	检索BBC内容
      1 Submit	关上分享窗口
      1 simp	world
      1 Sharia	的省份亚齐
      1 Reuters	Image
      1 Research	Center
      1 QQ	分享平台
      1 Plurk	分享平台
      1 Pew	Research
      1 Personalised	Newsletters
      1 Ngai	接受BBC中文访问时表示
      1 Newsletters	Copyright
      1 links	直接跳到内容
      1 LinkedIn	分享平台
      1 Junaidi	Image
      1 Ibrahim	因为鸡奸罪两度被判刑入狱
      1 https	www
      1 Homepage	Accessibility
      1 Get	Personalised
      1 Fern	Ngai
      1 Facebook	分享平台
      1 Dot	挺同志集会参加者
      1 Dot	挺同志集会
      1 Copyright	2019
      1 Cookies	浏览协助
      1 com	zhongwen
      1 Center	2013年的调查
      1 caption	马来西亚受伊斯兰教文化影响
      1 caption	越南的同志运动近年来蓬勃发展
      1 caption	许多跨性别者选择到泰国进行性别重建手术
      1 caption	台湾社会高度关注这起释宪案
      1 caption	台湾每年都会举行大规模的同志游行
      1 caption	中国因华人家庭观念根深柢固
      1 caption	23日
      1 caption	2015年新加坡粉红点
      1 bin	Ibrahim
      1 BBC英伦网	台湾同婚合法化
      1 BBC英伦网	BBC导航
      1 BBC导航	News
      1 BBC中文网记者	2017年
      1 BBC不为非BBC网站内容负责	我们对外部链接
      1 bbc	com
      1 BBC	BBC不为非BBC网站内容负责
      1 Arts	选项
      1 Arts	使用条款
      1 Anwar	bin
      1 Aceh	同性性行为是违法的
      1 Accessibility	links
      1 5月23日	两名男子因被发现进行同性性行为被公开鞭刑
      1 5月	30日
      1 5月	25日
      1 5月	23日
      1 40091879	关于分享
      1 39	的人认为同性恋应被接受
      1 30日	分享平台
      1 3	包含部分家长可能认为不适合13岁以下观看的内容
      1 26日	专访
      1 25日	禁止同性结婚违宪
      1 24日	特写
      1 24日	台湾同性家长
      1 23日	这次鞭刑在亚齐首府班达亚齐一座清真寺旁边执行
      1 23日	台湾同婚推手祁家威
      1 22日	彩虹旗飘扬
      1 2019	BBC
      1 2016年4月	中国第一起
      1 2015年新加坡粉红点	Pink
      1 2015年	美国最高法院裁定同性婚姻在全美国都是一项合法权益
      1 2013年的调查	亚洲地区对于同性恋的看法比较负面
      1 12月	26日
      1 12月	22日
      1 12月	10日
      1 10日	趣闻轶事
      1 1	3
      1 ____________________	Submit
