     21 7	4
      1 隐私政策	免责条款
      1 除了	干那事
      1 陈数二婚老公曝光	竟是我们熟知的他
      1 阳关	27_avatar_small
      1 问题是	下一届总统任期中
      1 金复新1老鼠战法	中共的罗援少将最近又语出惊人了
      1 金复新1	虎妈恶人先告状
      1 金复新1	揭批泽东淫乱史
      1 都能发现它们之间的爱	有的情况下那种爱甚至比人类的爱还要忠贞不渝
      1 都牵涉到婚姻是否存在	那么过去的同性恋者就享受不到这些福利
      1 都是某种有营养的东西	但有的人
      1 都可以商量	但不要以婚姻的名义
      1 那种同性婚姻合法化的	文明
      1 那是错误的	今后
      1 那是不是很荒唐	其危害性就在于
      1 那是一夫多妻制	后随着社会的进步和发展
      1 那将最终导致婚姻的解体和崩溃	那将
      1 那将	摧毁我们人类社会最坚固的一块基石
      1 那些跳大神的人们是不是应该向FDA申请合法行医的资格	而FDA也应该批准那个申请呢
      1 那些昆虫早就绝种了	人类的繁衍后代不是靠
      1 那么过去的同性恋者就享受不到这些福利	所谓名不正
      1 那么想改变这个人的性取向是几乎办不到的	据说许多同性恋者也觉得自己和别人有异
      1 那么从今以后	不具有生儿育女的任何人都可以随意结婚
      1 那么	那些跳大神的人们是不是应该向FDA申请合法行医的资格
      1 那个荒唐的申请居然被最高法院比准了	和人类两性结合生儿育女这件事雷同
      1 那个时候	出现了相对稳定一点的性关系
      1 那一纸裁决把繁衍人类后代	抚养人类后代这一人类婚姻的基本责任从婚姻中悄悄地拿走
      1 那一纸裁决把人类过去几千年的婚姻中的两性关系延伸到了同性关系	彻底颠覆了婚姻的两性实质
      1 那一纸裁决将侵犯大多数人们的权益	回到本文一开始引述的NIH的那项研究
      1 遗产	子女
      1 造成疾病	将同性婚姻合法化
      1 通用分类	热点杂谈
      1 透支	心念
      1 这种婚姻延伸到人和动物	甚至人和非生命物质的的自由结合
      1 这次最高法院过早跳出	来的恶果会有两个
      1 这次最高法院明显越权	它以判例的方式把这件事做实
      1 这次最高法院明显越权	它以判例
      1 这样就演化成	母系社会
      1 这是人类本能	但是当美国最高法院的５个法官将同性婚姻合法化后
      1 这是不是很荒唐	第二
      1 这当然是他们的自由	也没有必要嘲笑甚至歧视他们
      1 这就是无论是母系社会还是父系社会	无论是一妻多父制或一夫多妻制或一夫一妻制
      1 这就是	婚姻的最基本要素
      1 这就会造成	更多的孩子长大后成为同性恋
      1 这和中国	北朝鲜政权没有什么不
      1 这包括了同性的结合	一旦形成法律
      1 这件事很危险	同性恋婚姻并没有在美国形成共识
      1 这个问题说起	和动物世界大多数物种一样
      1 这一点	就连同性恋者也是不反对的
      1 还是那个最原始的原因	繁衍后代
      1 返回顶部	
      1 过去	人们曾经强迫同性恋者改变其性取向
      1 转手机版	APP下载
      1 跳大神者也有其自由	也是天赋人权
      1 跳大神有时也是很有效的	甚至治愈了一些人的疾病
      1 越是	文明
      1 购物美国打折网	同城美国同城网
      1 财经理财	活动报道
      1 贝壳村口	我的收藏
      1 贝壳村	博客Blog
      1 贝壳村	作者分类
      1 豪宅遗址和火车站	农家苦中共何不顺水推舟
      1 谢谢	60_avatar_small
      1 请求帮助	村内互动
      1 请放过我的孩子	高兴
      1 请不要玷污这个人类最神圣的关系	婚姻
      1 说一个印度女人跟一条狗结婚了	我相信那也是一种权利
      1 该盼望爱的结晶	不管你是信宗教还是信科学的
      1 诗词书画	前尘往事
      1 评论	博客
      1 评论	129
      1 论坛发贴	发起投票
      1 论坛Forums	视频
      1 记录	分享
      1 计算世系血	统和继承财产的制度
      1 言不顺	相信这个话题到明年就不会有人再
      1 解滨	日志
      1 解滨	我在生活中既没有遇到过同性恋
      1 解滨	已有
      1 解滨	于
      1 视频	微博Doing
      1 要靠每一个人	不能繁衍后代的毕竟是少数
      1 要退	如果希拉里当选总统
      1 要让孩子呼吸自由空气对抗独裁中共	LaoQian有话说
      1 要明白这个问题	我们先要从
      1 要政府认可那些模型的上路权和飞行权	而政府却批准了那个申请
      1 要吃一些稀奇古怪的非营养的东西	如吃石头
      1 西雅图和达拉斯顶级数据中心	为更好服务全球网友特统一使用京港台时间
      1 西岸的天空	你改你的性别
      1 裁决	打开了这个大门
      1 被误读的同性恋	尹胜
      1 被徐晓冬打到快站不起来	大师
      1 被公认的好老公	离婚后两年被坐实婚内出轨
      1 被人为地夺走生养子女的能力	变成一个不能有后
      1 行了	04_avatar_small
      1 蝴蝶等昆虫	能够生育后代的只有queen
      1 蜜蜂	蝴蝶等昆虫
      1 蚂蚁	白蚁
      1 虽然这不是一种正常的饮食行为	但他们有
      1 虎妈恶人先告状	哈佛秀才遇到兵
      1 英文分享	博你一笑
      1 英国议会下院以压倒性票数否决	脱欧
      1 若干年前当美国的同性恋者反对军队里对他们的歧视时	我同情那些人的遭遇
      1 花鸟鱼宠	健康生活
      1 至此	我还是反对任何对同性恋的歧视
      1 自我介绍	信仰见证
      1 自己的权利	别人无权干涉
      1 自吟自唱	娱乐八卦
      1 脱欧	协议
      1 能够让人生存	今天所有能够作为
      1 能够生育后代的只有queen	大多数的workers是不能生殖
      1 胡子太长了	7月1日
      1 联络我们	刊登广告
      1 职场内外	财经理财
      1 耍流氓	而批斗关押的一些事情
      1 而这种责任	是彼此的责任
      1 而这种结合包含了三个最基本也是最重要的成分	爱
      1 而越是不发达的国家	出生率反而高
      1 而美国最高法院的五个法官因为这一裁决也亵渎了自己的神圣地位	扮演了历史上最丑恶的角色
      1 而美国三权分立的制度将土崩瓦解	60_avatar_small
      1 而政府却批准了那个申请	这是不是很荒唐
      1 而批斗关押的一些事情	我对他们的遭遇深表同情
      1 而别人也不应该对他们	投向异样的眼光
      1 而什么是	性
      1 而且	有些人对跳大神的功效深信不疑
      1 而FDA也应该批准那个申请呢	美国的同性恋人们要求同性婚姻合法化
      1 而	性
      1 者申请FDA将跳大神批准为一种医疗手段一样荒唐	结果是
      1 老实说在我刚知道时	潜意识里有一点振动
      1 老君岩	94_avatar_small
      1 老叶子任飘零	2015
      1 老	实说在我刚知道
      1 美国议员	与中国谈判未取得结构性进展
      1 美国的大灾难就来临了	28_avatar_small
      1 美国的同性恋人们要求同性婚姻合法化	就和跳大神
      1 美国最高法院的那五位法官	历史将宣判你们不是人
      1 美国各州已失去了进	一步讨论该议题的余地
      1 美国只有十几个州承认同性恋婚姻	这次最高法院过早跳出
      1 美国其实也是个独裁国家	不是民选的九位大法官在决定全美国人的事情
      1 美国	德国
      1 美古关系将影响和改变世界进程	零点的火车
      1 美专家	应切断部分中美经济
      1 网络文摘	流水日记
      1 编辑推荐	我的日志
      1 维护小姐生存权	loneshepherd
      1 维护婚姻	66_avatar_small
      1 统和继承财产的制度	例如
      1 结果是	那个荒唐的申请居然被最高法院比准了
      1 组织家庭	稍有创意
      1 组图	英国议会下院以压倒性票数否决
      1 组图	更多
      1 组图	世界最丑白虎的故事终于曝光
      1 纸张	泥土
      1 纸张	污物等
      1 繁體版	发布广告
      1 繁衍后代	抚养后代
      1 繁衍后代	人类的婚姻
      1 絕對支持大俠	51_avatar_small
      1 第二	那一纸裁决把繁衍人类后代
      1 第三	那一纸裁决将侵犯大多数人们的权益
      1 第一	那一纸裁决把人类过去几千年的婚姻中的两性关系延伸到了同性关系
      1 竟是我们熟知的他	组图
      1 空间首页	日志
      1 稍有创意	就会把
      1 程序系统基于	Discuz
      1 移民生活	职场内外
      1 科举心结	同胞的无尽心结之一
      1 秋收冬藏	人类传统社会解体的先兆
      1 秋收冬藏	2015
      1 私房小菜	我的车车
      1 离婚后两年被坐实婚内出轨	组图
      1 社团信息	其它日志
      1 社会没有理由不让他们的	性欲
      1 社会因素将影响此人的性行为	当这个人生活在异性性行为占主流的环境中
      1 社会为什么要歧视他们	难道就因为他们不能生殖后代吗
      1 石头山	收藏
      1 看来野蛮替代所谓的	文明
      1 相食	现在还不会太过分
      1 相食	2015
      1 相安无事	个人的性取向是各自的事
      1 相册	记录
      1 相信这个话题到明年就不会有人再	来讨论了
      1 的责任	不负责
      1 的方法确保两性的稳定结合	而这种结合包含了三个最基本也是最重要的成分
      1 的性关系	固然有其存在的自由
      1 的孩子的教科书上把同性恋说成多数人们的正常行为	请放过我的孩子
      1 的国家	人们的出生率就越地
      1 的叫法	只有婚姻
      1 的	权利
      1 白蚁	蜜蜂
      1 留言板	同性婚姻合法化究竟荒唐在哪里
      1 留学生活	移民生活
      1 男系	计算世系血
      1 男性在生存活动中占据主导地位后	出现了按照父系
      1 田野却说发财了	华为孟晚舟案
      1 田园时光美食中西合璧的葱花面包	宣软飘香满足了中国胃
      1 甚至治愈了一些人的疾病	而且
      1 甚至恶心到搞人兽交配的地步	最高法院那一纸
      1 甚至当他们争取和其他人同等权利的时候	我同情他们的诉求
      1 甚至人和非生命物质的的自由结合	乃至于组成家庭
      1 理想的晚年	图
      1 猫咪	都能发现它们之间的爱
      1 狗狗	猫咪
      1 版权声明	联络我们
      1 父母即便知道自己的子女有同性恋的倾向	在绝大多数情况下还是希望子女和异性交往和结
      1 爱的责任	而这种责任
      1 爱的契约	爱的责任
      1 爱情婚姻	留学生活
      1 爱	繁衍后代
      1 热门日志	好友日志
      1 热贴	论坛Forums
      1 热点杂谈	政经军事
      1 热点杂谈	已有129评论
      1 热点杂谈	博文更多
      1 热点新闻	更多
      1 澳洲吴言	62_avatar_small
      1 潜意识里有一点振动	但我还是保持了沉默
      1 满是残酷的血泪现实	先别脱
      1 涂鸦板	您需要登录后才可以评论
      1 海外思华热辣的墨西哥美眉招	揽来自世界各地的游客
      1 海外华人中文门户	倍可亲
      1 流水日记	家庭新闻
      1 活动报道	回国记录
      1 注册	找回密码
      1 注册	true
      1 泥土	纸张
      1 泥土	沙子等当作食品出售
      1 法院这样恶斗	最高法院的权威性将丧失殆尽
      1 法道济	没办法
      1 法道济	2015
      1 法律相关	文史杂谈
      1 没有爱的婚姻	也可以繁衍后代
      1 沙子等当作食品出售	他们吃的异物将享受和所有人正常食品一样
      1 汽车是用来开在路上的	飞机是用来飞
      1 污物等	医学上把这叫做异食癖
      1 汉语文化及社会的二元背离现象	金复新1
      1 民主法制我之辩	2
      1 民主法制之我辩	金复新1
      1 氏族社会过度到下一个阶段	男性在生存活动中占据主导地位后
      1 比如一些社会福利	遗产
      1 每个孩子只知道母亲是谁而不知道父亲是谁	这样就演化成
      1 母系社会	那个时候
      1 此人的性对象也会是同性的	同性恋者不是同性恋者生的
      1 正义感	同性恋者争取的合法权益只是爱的权利吗
      1 正义感	世界女足
      1 模型和飞机模型和能开上路的汽车和能飞上天的飞机平等对待	要政府认可那些模型的上路权和飞行权
      1 梯田	豪宅遗址和火车站
      1 根本就不可能繁衍后代	抚养后代的婚姻
      1 根据研究	人类早期是没有婚姻的
      1 根据NIH的一项研究	同性恋既有先天的因素也有后天的因素
      1 枫橡园主	42_avatar_small
      1 来讨论了	86_avatar_small
      1 来的恶果会有两个	1
      1 来到美国后	也听说过很久以前有些人逼迫同性恋改变性取向的一些往事
      1 村内互动	自我介绍
      1 权利	那是不是很荒唐
      1 本身就是生殖功能的一部分	不能产生后代
      1 有趣的是	越是
      1 有的情况下那种爱甚至比人类的爱还要忠贞不渝	可是动物有婚姻吗
      1 有人把婚姻和爱混为一谈	是的
      1 有些人对跳大神的功效深信不疑	那么
      1 有两个大法官很老了	要退
      1 有一对还结婚了	老
      1 有一对还结	婚了
      1 最高法院那一纸	裁决
      1 最高法院的权威性将丧失殆尽	而美国三权分立的制度将土崩瓦解
      1 最终世界大多数国家都形成了今天的一夫一妻制	人类婚姻在过去几千年几万年中变化过若干次
      1 最热闹的华人社交网络	贝壳村
      1 最新推荐	More
      1 最新发表	我关注的
      1 更新	GMT
      1 更多的孩子长大后成为同性恋	无法生儿育女
      1 更多	被公认的好老公
      1 更多	其它
      1 更不可以全面认可	婚姻之所以神圣
      1 是的	婚姻必须建立在爱的基础上
      1 是必然的	或者也可以说
      1 是彼此的责任	是对后代的责任
      1 是对后代的责任	也是对社会的责任
      1 是否送花还没决定	基本符合大多数人的想法
      1 是否送花还没决定	俺只是不希望同性恋人们做的太过分而已
      1 日志	解滨
      1 日志	好友
      1 日志	主题
      1 日	总裁判把上海的美丽捧上天
      1 既然这种婚姻也和所有能够产生后代的婚姻具有同等地位	那么从今以后
      1 既然如此	社会为什么要歧视他们
      1 无论是一妻多父制或一夫多妻制或一夫一妻制	婚姻
      1 无裤	日
      1 无法生儿育女	同性恋是天赋人权
      1 旅游归来	原创文学
      1 旅游	居家
      1 新闻	专题
      1 文明	的国家
      1 文明	是必然的
      1 文明	才是真正的野蛮
      1 文史杂谈	网络文摘
      1 敷衍后代的责任	不负责任者
      1 政经军事	法律相关
      1 政客们为了选票推波助澜	你不赞同同性性行为同性婚姻就是落
      1 政客们为了选票推波助澜	你不赞同同性性行为同性婚
      1 收藏	分享邀请
      1 支持	15
      1 摧毁我们人类社会最坚固的一块基石	美国最高法院的那五位法官
      1 摄影街拍	旅游归来
      1 搞笑	难过
      1 搜索关键词	____________________
      1 搜索	登录
      1 搜索	我要发布
      1 揽来自世界各地的游客	ryu肉腿丰臀拼车厢
      1 揭批泽东淫乱史	维护小姐生存权
      1 揭一揭韩正的三大政绩	田园时光美食中西合璧的葱花面包
      1 据说许多同性恋者也觉得自己和别人有异	也曾试图和异性建立两性关系
      1 损失不大	图
      1 拿福利	享受很多的待遇
      1 拍砖	25
      1 抽掉了婚姻的一项最基本功能	同性婚姻是根本就不可能产生
      1 抚养后代的婚姻	也许充满某种爱
      1 抚养后代	这就是
      1 抚养后代	但那不是美好的婚姻
      1 抚养人类后代这一人类婚姻的基本责任从婚姻中悄悄地拿走	抽掉了婚姻的一项最基本功能
      1 投向异样的眼光	但是请把婚姻的合法性保持在异性之间
      1 把别人变成同性恋	我不希望我
      1 找回密码	切换风格
      1 扮演了历史上最丑恶的角色	要明白这个问题
      1 打开了这个大门	从今以后
      1 打仗	既然如此
      1 打个比方	汽车是用来开在路上的
      1 才是真正的野蛮	共
      1 所谓名不正	言不顺
      1 所以我对同性恋既没有任何欣赏也没有特别的反感更没有刻骨的仇恨	恰恰相反
      1 所以到了最后就是婚姻的阶解体和崩溃	人类的灾难
      1 所以	若干年前当美国的同性恋者反对军队里对他们的歧视时
      1 所以	我不反对同性恋
      1 房前屋后	私房小菜
      1 或者也可以说	那种同性婚姻合法化的
      1 或法律保护	的方法确保两性的稳定结合
      1 我都会睁一只眼闭一只眼的	21_avatar_small
      1 我还是反对任何对同性恋的歧视	但是我不希望我的儿子被学校和社会教育成同性恋
      1 我认识两对中国来的女孩都是同性恋	有一对还结婚了
      1 我认识两对中国来的女孩都是同性恋	有一对还结
      1 我认为	社会没有理由不让他们的
      1 我要发布	首页Portal
      1 我立即感到同性恋人们以他们最卑鄙的行动亵渎了人类最神圣的一件事	婚
      1 我真的不讨厌那些同性恋	也觉得应该保护他们的权利
      1 我相信那也是一种权利	外人也无权干涉
      1 我的车车	花鸟鱼宠
      1 我的日志	贝壳村口
      1 我的收藏	倍可亲
      1 我甚至认为他们应该有权和异性夫妻那样一生厮守在一起	而别人也不应该对他们
      1 我有时候写东西信口开河	事后反悔
      1 我改我的肤色	qxw66
      1 我想	即便同性恋的人们也不能否认
      1 我想	印度政府是不会批准的
      1 我并不反感他们	甚至当他们争取和其他人同等权利的时候
      1 我对他们的遭遇深表同情	来到美国后
      1 我完全同意	但动物之间也是有某种爱的
      1 我在生活中既没有遇到过同性恋	也没有看见过别人迫害同性恋
      1 我同情那些人的遭遇	当美国的gay
      1 我同情他们的诉求	但是
      1 我关注的	热门日志
      1 我会认真听取不同意见的	谢谢
      1 我们知道	即便动物世界也有
      1 我们先要从	什么是婚姻
      1 我们人类是有性繁殖的一种高等动物	我想
      1 我们也没有什么理由去歧视同性恋的人们	因为他们除了不能生殖后代
      1 我以前听说过同性恋在中国文革期间被当成	耍流氓
      1 我也许是错的	我有时候写东西信口开河
      1 我也觉得他们那时的遭遇够悲催的	根据NIH的一项研究
      1 我也从来不反对跳大神	跳大神者也有其自由
      1 我不希望我	的孩子的教科书上把同性恋说成多数人们的正常行为
      1 我不反对同性恋	也主张他们在所有方面和其他人具有同等合法的权利
      1 感动	同情
      1 您需要登录后才可以评论	登录
      1 恰恰相反	我以前听说过同性恋在中国文革期间被当成
      1 恰巧当时是共和党总统当政	弄上一位有共和党倾向的大法官
      1 总裁判把上海的美丽捧上天	揭一揭韩正的三大政绩
      1 总是发生在两性之间	为什么呢
      1 性欲	得到满足
      1 性是生殖功能的一部分	你去搜一下百科全书
      1 性	本身就是生殖功能的一部分
      1 性	密不可分的
      1 性	字
      1 性	呢
      1 性	其最根本就是婚姻和最大的最原始的目的就是繁衍后代
      1 性	但同性恋能够繁衍后代吗
      1 性	一开始就是人类繁衍后代的本能
      1 心念	小馋猫烘焙玛格丽特饼干
      1 心念	小馋猫带来百搭的戚风蛋糕啦
      1 德国	非常精彩的半决赛
      1 微博Doing	旅游
      1 得到满足	尽管那是一种无法繁衍后代的性行为
      1 很难想象会真正懂得付出和爱	65_avatar_small
      1 很多家长可能忘记提醒自己孩子不要去吃那些异物	孩子可能在误导后误吃那些本来就不该是食品的的异物
      1 往国内的账号上寄钱也被政府严格管控	金复新1老鼠战法
      1 往事并不如烟	20_avatar_small
      1 彻底颠覆了过去几千年来人类对于婚姻的基本理解和实践	第一
      1 彻底颠覆了婚姻的两性实质	而
      1 当这个人生活在异性性行为占主流的环境中	其性对象就将是异性的
      1 当美国的gay	rights
      1 当美国最高法院的一纸裁决判定在全美范围内同性婚姻合法后	我立即感到同性恋人们以他们最卑鄙的行动亵渎了人类最神圣的一件事
      1 当一个人的	同性恋先天因素较弱时
      1 弄上一位有共和党倾向的大法官	同性恋婚姻有可能翻盘
      1 度势精明的上海人其实也很伤悲	正义感
      1 应切断部分中美经济	损失不大
      1 并采取尊重常人一样尊重她们	因为这是他们自己的选择
      1 干那事	和别人不同
      1 常用工具	____________________
      1 已有129评论	btn_sharewechat
      1 已有	4
      1 工作	入伍
      1 居家	购物美国打折网
      1 尽管那是一种无法繁衍后代的性行为	从社会学的角度来看
      1 尽管过去几千年人类吃饭的内容变化了很多	从吃野生动物野生植物演
      1 尽管很多男女结婚若干年后互相不碰对方的身体	尽管存在着无性婚姻
      1 尽管存在着无性婚姻	尽管全世界的结婚誓词中都没有一个
      1 尽管全世界的结婚誓词中都没有一个	性
      1 尹胜	尹胜
      1 尹胜	天道与王道
      1 就连同性恋者也是不反对的	而什么是
      1 就能成为同性恋	婚姻在这里不是简单的性的结合和繁衍后代
      1 就是要有营养	能够让人生存
      1 就是用社会认可	或法律保护
      1 就应该是期望生儿育女的	就应
      1 就应该发生在异性之间	就应该是期望生儿育女的
      1 就应	该盼望爱的结晶
      1 就和跳大神	者申请FDA将跳大神批准为一种医疗手段一样荒唐
      1 就会把	这种婚姻延伸到人和动物
      1 小馋猫烘焙玛格丽特饼干	ryu
      1 小馋猫带来百搭的戚风蛋糕啦	正义感
      1 小虫摄影	88_avatar_small
      1 小皮狗	坚决支持大侠
      1 小皮狗	2015
      1 小小	10_avatar_small
      1 将同性婚姻合法化	也是一样的荒唐
      1 对社会的贡献并不小于别人	除了
      1 密不可分的	这一点
      1 家庭新闻	子女教育
      1 宣软飘香满足了中国胃	fanlaifuqu罗文嘉
      1 实说在我刚知道	丝丝
      1 完成的	要靠每一个人
      1 完全满足以上两条	婚姻应该意味着更多
      1 完全同意	60_avatar_small
      1 它以判例的方式把这件事做实	使之成为法律
      1 它以判例	问题是
      1 孩子可能在误导后误吃那些本来就不该是食品的的异物	造成疾病
      1 字	但婚姻本身是一定跟
      1 子女教育	房前屋后
      1 子女	同性结合领养的
      1 婚的	这是人类本能
      1 婚姻的最基本要素	没有爱的婚姻
      1 婚姻更多的是一种两性共同敷衍后代	的责任
      1 婚姻更多的是一种两性共同	敷衍后代的责任
      1 婚姻是神圣的应该属于男与女	同居
      1 婚姻是神圣的应该属于男与女	72_avatar_small
      1 婚姻必须建立在爱的基础上	我完全同意
      1 婚姻应该意味着更多	比如一些社会福利
      1 婚姻就是这么简单	我也从来不反对跳大神
      1 婚姻如同儿戏	不再神圣
      1 婚姻在这里不是简单的性的结合和繁衍后代	common
      1 婚姻之所以神圣	不光是因为那是爱的结果
      1 婚姻之所以不能没有	性
      1 婚姻	非正式结合
      1 婚姻	总是发生在两性之间
      1 婚姻	就应该发生在异性之间
      1 婚了	老实说在我刚知道时
      1 婚	姻
      1 娶一个男性为妻	被人为地夺走生养子女的能力
      1 娱乐八卦	体育随笔
      1 姻就是落后保守政治不正确不合潮流不符合人类发展的反向	8
      1 姻	而美国最高法院的五个法官因为这一裁决也亵渎了自己的神圣地位
      1 如鸳鸯	狗狗
      1 如果希拉里当选总统	她一定会指派两个自由派当大法官的
      1 如果两党在最高	法院这样恶斗
      1 如果下一次这五位大法官之一退休	恰巧当时是共和党总统当政
      1 如果一个人具有很强的同性恋先天因素	那么想改变这个人的性取向是几乎办不到的
      1 如吃石头	泥土
      1 好友日志	编辑推荐
      1 好友	发送消息
      1 她一定会指派两个自由派当大法官的	一旦是那样
      1 天道与王道	汉语文化及社会的二元背离现象
      1 大话影视	音乐欣赏
      1 大师	田野却说发财了
      1 大家各过各的	相安无事
      1 大多数的workers是不能生殖	也没有生殖能力的
      1 多管闲事	通用分类
      1 外人也无权干涉	但是假如那个女人向印度政府申请将这种婚姻合法化呢
      1 基本符合大多数人的想法	60_avatar_small
      1 坑爹	往国内的账号上寄钱也被政府严格管控
      1 在这个问题上	我也许是错的
      1 在美国最高法院的这次判决之前	美国只有十几个州承认同性恋婚姻
      1 在绝大多数情况下还是希望子女和异性交往和结	婚的
      1 在本质上	这和中国
      1 在天空的	但有人就是喜欢做汽车模型和飞机模型
      1 在加拿大没有	同性婚姻
      1 在全世界人的眼里	美国其实也是个独裁国家
      1 图	陈数二婚老公曝光
      1 图	美国议员
      1 图	美专家
      1 图	7个单身老奶奶一起买房组团养老
      1 固然有其存在的自由	但却没有任何理由将其上升到正常性功能的地位
      1 因为那种性没法造后代	打个比方
      1 因为这是他们自己的选择	他们高兴就
      1 因为他们除了不能生殖后代	对社会的贡献并不小于别人
      1 回复	老叶子任飘零
      1 回复	秋收冬藏
      1 回复	相食
      1 回复	法道济
      1 回复	小皮狗
      1 回复	來美六十年
      1 回复	sissycampbell
      1 回复	Monalisa
      1 回复	goodoctor
      1 回复	foxxfam
      1 回复	fanlaifuqu
      1 回国记录	摄影街拍
      1 回到本文一开始引述的NIH的那项研究	同性恋既有先天的因素也有后天的因素
      1 商业版	优化
      1 哈佛秀才遇到兵	胡子太长了
      1 和动物世界大多数物种一样	我们人类是有性繁殖的一种高等动物
      1 和别人不同	他们和别人一样可以正常地学习
      1 和人类两性结合生儿育女这件事雷同	人类过去几千年一直在吃饭
      1 和亲	海外思华热辣的墨西哥美眉招
      1 呢	性
      1 后随着社会的进步和发展	最终世界大多数国家都形成了今天的一夫一妻制
      1 后保守政治不正	所以到了最后就是婚姻的阶解体和崩溃
      1 后代的	既然这种婚姻也和所有能够产生后代的婚姻具有同等地位
      1 同胞的无尽心结之一	mali50
      1 同样的研究还表明	当一个人的
      1 同样也是爱的承诺	爱的契约
      1 同情	2
      1 同性结合领养的	都牵涉到婚姻是否存在
      1 同性恋者争取的合法权益只是爱的权利吗	lanlimin
      1 同性恋者不是同性恋者生的	父母即便知道自己的子女有同性恋的倾向
      1 同性恋的影响对每一个只有很弱的同性倾向的孩子的影响将越来越大	这就会造成
      1 同性恋是天赋人权	但同性婚姻的合法化就是亵渎婚姻的神圣性了
      1 同性恋既有先天的因素也有后天的因素	如果一个人具有很强的同性恋先天因素
      1 同性恋既有先天的因素也有后天的因素	同样的研究还表明
      1 同性恋婚姻有可能翻盘	如果两党在最高
      1 同性恋婚姻并没有在美国形成共识	在美国最高法院的这次判决之前
      1 同性恋先天因素较弱时	社会因素将影响此人的性行为
      1 同性恋也有	性
      1 同性婚姻是根本就不可能产生	后代的
      1 同性婚姻合法化究竟荒唐在哪里	解滨
      1 同性婚姻合法化究竟荒唐在哪里	作者
      1 同性婚姻与天赋人权	西岸的天空
      1 同性婚姻	的叫法
      1 同居	拿福利
      1 同城美国同城网	发布日志
      1 同	2
      1 吃大米白面	但万变不离其宗
      1 可是动物有婚姻吗	尽管很多男女结婚若干年后互相不碰对方的身体
      1 可以说是婚姻的雏形吧	氏族社会过度到下一个阶段
      1 只要他们做的不要太过分	我都会睁一只眼闭一只眼的
      1 只要不在婚姻的名义下就行	60_avatar_small
      1 只有婚姻	这包括了同性的结合
      1 变成一个不能有后	代的工蜂
      1 发送消息	60_avatar_small
      1 发起投票	发布分享
      1 发表评论	评论
      1 发表于	最热闹的华人社交网络
      1 发布日志	发布微博
      1 发布微博	论坛发贴
      1 发布广告	常用工具
      1 发布分享	上传图片
      1 反而没有人再拿这个问题说事儿	大家各过各的
      1 去年9月有一则报道	说一个印度女人跟一条狗结婚了
