      3 同性婚姻合法化之後	社會會變成甚麼樣子	來看國外的統計分析結果
      1 那麼同性婚姻合法化將有助於提	升人們的性別意識	減少權力分布的性別差異
      1 違反自然律的災難懲罰	以及愛滋病蔓延的疑慮	並透過實證資料檢驗其觀點的合理性
      1 達成去精神病化	Cheng	Wu
      1 達志影像	唸給你聽	powered
      1 運動	社會	政治
      1 運動	Sports	健康
      1 進而造成愛滋病的擴散	然而	同性婚姻合法化與愛滋病感染率之間
      1 進而推論少子女化	的台灣社會	在通過同性婚姻合法化之後
      1 進而導致人類滅絕	2014年馬政府執政時期	法務部報告內容指出
      1 造成人們不均等的受災風險及差異性的	災後復原能力	因此
      1 通過同性婚姻法案與國家發展程度並無對應關係	這些國家共同的特性皆為	民主
      1 通過同性婚姻法案者	並非都是反對方口中的	高度開發
      1 通過同性伴侶擁有婚姻權或伴侶權之國家及其通過時間	註三	表2
      1 通過同性伴侶擁有婚姻權或伴侶權之國家及其通過時間	從跨國數據了解同婚之後會怎樣	用跨國資料庫的實證資料
      1 這些國家共同的特性皆為	民主	國家
      1 追蹤我們	Facebook	Youtube
      1 跨國數據分析結果顯示	給予同性擁有共組家庭的權利	不僅不會影響社會的性別教育
      1 走到哪一步2年前	資訊圖表	台灣修
      1 走到哪一步2年前	Tags	同性婚姻
      1 贊成方從基本人權	法治觀點等角度回應	始終無法有效說服反對方
      1 資訊圖表	台灣修	民法
      1 資訊圖表	一張圖看懂全球195國	同性婚姻
      1 責任編輯	翁世航	核稿編輯
      1 財產產生威脅	但這是透過社會中既有的不平等分布	政治經濟等因素
      1 讓同性有機會進入婚姻來維繫穩定的	關係	說不定反而有助於降低不安全性行為發生的可能性
      1 讓同性伴侶也適用1年前	反同婚團體發起	拔昌
      1 謝誌	本文感謝中研院社會所林宗弘老師	鄭雁馨老師
      1 誰支持同性婚姻	從出生世代與教育程度觀察9月前	行政院將檢討長照法等498個法令
      1 說明了台灣社會對於同志的接納度自1995年到2012年大幅增加	主要效果來自於世代替代效果	教育程度
      1 說不定反而有助於降低不安全性行為發生的可能性	打造更友善的性別空間	最後
      1 誤	實際上	跨國數據分析結果顯示
      1 認為同性婚姻無助於公共利益	誇大同性與異性伴侶的差異	否認性與性別是一種主觀經驗
      1 認為同性婚姻法制化會帶來社會動盪	提出採用專法取代修改	民法
      1 認為同性婚姻將造成社會問題	與道	德淪喪
      1 認為一旦同性婚姻通過	會影響社會倫理	性別教育
      1 認本國的同性婚姻	承認民事締結或伴侶法的國家	約有16個國家
      1 認同性婚姻權才能解決問題	從世界各國的經驗來看	僅有南非
      1 誇大缺乏社會共識	認為同性婚姻無助於公共利益	誇大同性與異性伴侶的差異
      1 誇大同性與異性伴侶的差異	否認性與性別是一種主觀經驗	常態化與合理化異性戀偏見等
      1 該年度的人均GDP甚至都遠低於台灣目前的人均	GDP	因此
      1 該國的生育率及國民的生命表徵是否受到衝擊	從	與生命延續相關的三個變數切入
      1 評論當前的社會現象	看更多此作者文章	Loader
      1 評論	文章	更多
      1 評論	影音	網摘
      1 評論	影音	插畫
      1 註四	探討各國在通過同性共組家庭	包括民事締結或婚
      1 註六	守護家庭聯盟	註七
      1 註八	都宣稱	同性婚姻不具自然生育的可能性
      1 註五	對其國家發展的影響	包括通過後隔一年的自然災害發生率及後果
      1 註二	的研究	說明了台灣社會對於同志的接納度自1995年到2012年大幅增加
      1 註九	美國的某位基督教領袖也公開宣稱	上帝會降下天災以懲罰同性婚姻及墮胎合法化
      1 註三	表2	通過同性伴侶擁有婚姻權或伴侶權之國家及其通過時間
      1 註七	及婦女同心會	註八
      1 註一	等人	2016
      1 訂閱電子信	____________________	Submit
      1 訂閱作者	Loader	收藏本文
      1 訂閱	The	News
      1 訂閱	p	c1
      1 見表一	表一	南非
      1 要求的婚姻制度中	讓同性有機會進入婚姻來維繫穩定的	關係
      1 表示顯著的負向影響	謝誌	本文感謝中研院社會所林宗弘老師
      1 表示顯著的正向影響	表示顯著的負向影響	謝誌
      1 表二第一欄的分析結果顯示	反同團體憂慮的生育率下降之衝擊	實際上並不存在
      1 表二	通過同性伴侶擁有婚姻權或伴侶權之國家及其通過時間	註三
      1 表三第二欄的分析結果顯示	自然災害的發生	以及自然災害帶來的死亡
      1 表三	同性共組家庭對社會的衝擊	表3
      1 表一僅列部分國家	主要原因在於這些國家有明確地通過民事締結的相關法令時程	四
      1 表一	南非	阿根廷及美國同婚通過後國家總生育率
      1 表3	同性共組家庭對社會的衝擊	n
      1 表2	通過同性伴侶擁有婚姻權或伴侶權之國家及其通過時間	從跨國數據了解同婚之後會怎樣
      1 表1	南非	阿根廷及美國同婚通過後國家總生育率
      1 衝擊我國人口存續	註六	守護家庭聯盟
      1 行政院將檢討長照法等498個法令	讓同性伴侶也適用1年前	反同婚團體發起
      1 藝文	Arts	culture
      1 藝文	__________________________________________________________________	關於我們
      1 若讓同性婚姻合法	將導致天譴	甚至將某些天然災害歸因於同性婚姻合法化
      1 若社會的資源分布不因性別	性傾向而異	在此脈絡下
      1 與道	德淪喪	誇大缺乏社會共識
      1 與該國是否通過同性婚姻合法與否無關	雖然我們知道天災常以人禍的形式對人們的生命	財產產生威脅
      1 與生命延續相關的三個變數切入	生育率	死亡率及平均餘命來看
      1 與其擔憂同性婚姻合法化對生育率造成的威脅	我們更應該關注不友善的職場	環境
      1 臺灣	臺灣	香港
      1 自由時報	2016	反同婚合法
      1 自由時報	2014	同性婚姻恐造成少子化
      1 自然災害的發生	以及自然災害帶來的死亡	與該國是否通過同性婚姻合法與否無關
      1 自然	生育能力	進而推論少子女化
      1 自然	生育的同志伴侶擁有相同的婚姻權	並不會降低生育率
      1 自此之後	台灣各地	加上今年的兩場公聽會
      1 職場	教育	商業
      1 職場	Career	藝文
      1 聯絡我們	編輯獨立聲明	隱私條款
      1 聯絡我們	徵人	訂閱電子信
      1 而非	不同性別組成的性行為	因此
      1 而未承	認本國的同性婚姻	承認民事締結或伴侶法的國家
      1 而同性婚姻不具有公共利益	可能造成性別教育的敗壞	雖然這種說法是一種滑坡謬
      1 而受到不平等的對待或不同的生命機會	那麼同性婚姻合法化將有助於提	升人們的性別意識
      1 而反對方的論述	則基於宗教或傳統文化的家	庭倫理
      1 翁世航	核稿編輯	闕士淵
      1 義大利於2016年通過同性民事締結合法化法案	本文經巷仔口社會學授權刊登	原文發表於此
      1 美國的某位基督教領袖也公開宣稱	上帝會降下天災以懲罰同性婚姻及墮胎合法化	但實際上
      1 美國三國直接通過同性婚姻合法化	但同婚合法化並沒有因而造成該國社會動盪	以及
      1 缺乏社會共識	社會	的偏態與不正常
      1 總計開了至少十場同性婚姻公聽	會	但正
      1 網摘	插畫	圖輯
      1 維護家庭價值	反對同性婚姻入法	八
      1 給予同性擁有共組家庭的權利	不僅不會影響社會的性別教育	反而可能有機會提升兩性
      1 絕非反對者口中的	缺乏社會共識	社會
      1 約有16個國家	表一僅列部分國家	主要原因在於這些國家有明確地通過民事締結的相關法令時程
      1 等人	2016	整理
      1 第二	有些極端的宗教人士宣稱同性戀是罪	若讓同性婚姻合法
      1 第三	反同者最常用以反對同志	特別是男同志
      1 穿越性別疆界的扮裝者們	2020大選前的台灣	大人投資學
      1 科學	職場	教育
      1 科學	Science	商業
      1 社會會變成甚麼樣子	的圖像	來化解雙方的歧見
      1 社會會變成甚麼樣子	來看國外的統計分析結果	同性婚姻合法化之後
      1 社會會變成甚麼樣子	來看國外的統計分析結果	今日熱門
      1 社會會變成甚麼樣子	來看國外的統計分析結果	Photo
      1 社會對於同性婚姻合法化及對同志的認同	絕非反對者口中的	缺乏社會共識
      1 社會	的偏態與不正常	同婚合法化並非先進國家的專利
      1 社會	文章	更多
      1 社會	政治	藝文
      1 社會	同性婚姻合法化之後	社會會變成甚麼樣子
      1 社會	Society	名人
      1 眾	同性婚姻合法化之後	社會會變成甚麼樣子
      1 看法	且同意人數在兩次之間的調查是遞增的	具體的研究與數據顯示
      1 看更多此作者文章	Loader	訂閱作者
      1 看	通過同性婚姻法案者	並非都是反對方口中的
      1 相較於異性戀婚姻具有生育下一代的社會功能	而同性婚姻不具有公共利益	可能造成性別教育的敗壞
      1 目前已	有許多證據反對部分上述反同論述	包括
      1 皆未達顯著效果	六	自由時報
      1 的阿根廷	2013年通過法案的巴西和巴拉圭	2016年通過的哥倫比亞等
      1 的觀點	就是同性戀帶來愛滋病的傳播	守護家庭聯盟就直指
      1 的研究	說明了台灣社會對於同志的接納度自1995年到2012年大幅增加	主要效果來自於世代替代效果
      1 的圖像	來化解雙方的歧見	同婚合法化的社會共識
      1 的台灣社會	在通過同性婚姻合法化之後	會降低該國生育率
      1 的制度目的談起2月前	誰支持同性婚姻	從出生世代與教育程度觀察9月前
      1 的兩性權力分布平等化指標	生育率不會下降	人類不會滅絕
      1 的偏態與不正常	同婚合法化並非先進國家的專利	本次公聽會有反同婚學者指出
      1 疾病不會因此大爆發	反而透過	法令的執行
      1 當國家發展至一定程度之後	人民才能夠	接受
      1 當同性擁有共組家庭的權利後	該國的生育率及國民的生命表徵是否受到衝擊	從
      1 略了從同性伴侶擁有伴侶權或民事締結權利	到同性婚姻合法化	代表開放同性伴侶擁有民事締結的權利
      1 男嬌娥	穿越性別疆界的扮裝者們	2020大選前的台灣
      1 男之間的性行為是感染愛滋病的大宗	因此	同性婚姻合法化將鼓勵同性之間的性行為
      1 男	男之間的性行為是感染愛滋病的大宗	因此
      1 由國內外社會學者貢獻所寫	作為一個社會學科普的公共部落格網站	希望以社會學的角度來觀察
      1 用跨國資料庫的實證資料	可以檢視同志合法共組家庭權利之國家的發展	以回應對於同性婚姻合法將造成社會問題
      1 產業快訊	類別	教育
      1 生育能力	進而推論少子女化	的台灣社會
      1 生育的同志伴侶擁有相同的婚姻權	並不會降低生育率	危及人類的存續
      1 生育率降低等危機	見表一	表一
      1 生育率不會下降	人類不會滅絕	首先
      1 生育率	死亡率及平均餘命來看	表二第一欄的分析結果顯示
      1 生活	健康	科學
      1 生活	Living	國際
      1 甚至是疾病傳播等疑慮	本	文分析的跨國長期資料庫橫跨五大洲
      1 甚至是不同個體的尊重	減少了因為性別而異的差別待遇	所以
      1 甚至是	不同個體的尊重	減少了因為性別而異的差別待遇
      1 甚至將某些天然災害歸因於同性婚姻合法化	2016年	一位義大利神父指稱義
      1 環境	以及不平等的家庭性別分工等更可能是降低異性戀家庭生育率的主因	上帝並不會懲罰同婚的國度
      1 現正閱讀	同性婚姻合法化之後	社會會變成甚麼樣子
      1 王大維	註一	等人
      1 特別是男同志	的觀點	就是同性戀帶來愛滋病的傳播
      1 特別報導	品牌聯名頻道	產業快訊
      1 特別報導	品牌聯名頻道	國際
      1 版本	台灣	TW
      1 熱門議題	男嬌娥	穿越性別疆界的扮裝者們
      1 然而	同性婚姻合法化與愛滋病感染率之間	並不存在顯著關係
      1 無論是男性或女性的愛滋病感染率	都不因同性婚姻合法化與否而改變	因為
      1 為回應此疑慮	我們從全世界那些給予同性共組家庭合法地位的國家經驗來看	當同性擁有共組家庭的權利後
      1 為什麼不應該立同性婚姻專法	從	專法
      1 災後復原能力	因此	若社會的資源分布不因性別
      1 減少權力分布的性別差異	因此	從各國的經驗來看
      1 減少了因為性別而異的差別待遇	所以	同性婚姻合法化
      1 減少了因為性別而異的差別待遇	唸給你聽	powered
      1 法治觀點等角度回應	始終無法有效說服反對方	而反對方的論述
      1 法案之後	註五	對其國家發展的影響
      1 法務部報告內容指出	同性婚姻恐衝擊現有婚姻制度	並擔心同性婚姻會造成少子化
      1 法令的執行	提倡尊重不同的性少數	性傾向的價值
      1 民法	實際上	反對者忽
      1 民法	初審通過	一張圖看懂全球195國
      1 民主	國家	尊重
      1 段宜康打臉法務部	七	維護家庭價值
      1 死亡率及平均餘命來看	表二第一欄的分析結果顯示	反同團體憂慮的生育率下降之衝擊
      1 死亡率	人民的平均餘命	HIV盛行率
      1 此部分將同性婚姻合法化及伴侶權合併分析	是受限於資料庫僅到2013年	且若要分析通過同性婚姻隔一年的國家發展狀態
      1 此篩選過程將會有10個國家無法納入分析	但若僅分析同性婚姻合法化之影響	分析結果大致上同樣顯示
      1 楊芷蘭小姐提供相關資料及文章書寫的建議	__________________________________________________________________	附註
      1 核稿編輯	闕士淵	Tags
      1 果我們認為	性別教育的目的在於追求性別平等與相互尊重	也就是人們不會因為性別
      1 東南亞	NEWS	WORTH
      1 東南亞	ASEAN	追蹤我們
      1 東南亞	____________________	現正閱讀
      1 本次公聽會有反同婚學者指出	世界領頭羊國家通過同性婚姻合法化	認為同性婚姻法制化會帶來社會動盪
      1 本文試著檢視反同性婚姻陣營的論述觀點	包含生育率下降	違反自然律的災難懲罰
      1 本文經巷仔口社會學授權刊登	原文發表於此	原標題
      1 本文感謝中研院社會所林宗弘老師	鄭雁馨老師	周亞萱小姐
      1 本	文分析的跨國長期資料庫橫跨五大洲	137國
      1 有超過五成的台灣民眾	對同性戀者應擁有合法婚姻關係持正向	看法
      1 有許多證據反對部分上述反同論述	包括	同性戀
      1 有些極端的宗教人士宣稱同性戀是罪	若讓同性婚姻合法	將導致天譴
      1 會降低該國生育率	為回應此疑慮	我們從全世界那些給予同性共組家庭合法地位的國家經驗來看
      1 會影響社會倫理	性別教育	愛滋病傳播等社會問題
      1 會員註冊	新聞	評論
      1 會員註冊	The	News
      1 會員註冊	NEWS	WORTH
      1 會員登入	會員註冊	新聞
      1 會員登入	會員註冊	The
      1 會員登入	會員註冊	NEWS
      1 會	但正	反方的意見仍舊分歧
      1 最終仍需要承	認同性婚姻權才能解決問題	從世界各國的經驗來看
      1 最新發展	為什麼不應該立同性婚姻專法	從
      1 最後	反對同婚合法者認為	相較於異性戀婚姻具有生育下一代的社會功能
      1 更有可能成為帶動性別平等的新契機	政府應該領頭	帶著人民走向性別更平等的台灣社會
      1 更多	評論	文章
      1 更多	社會	文章
      1 更多	巷仔口社會學	文章
      1 時期則從1980至2013年	以隨機效果模型	註四
      1 是受限於資料庫僅到2013年	且若要分析通過同性婚姻隔一年的國家發展狀態	就僅能採計2012年通過
      1 是上帝對同性婚姻合法化的懲罰	註九	美國的某位基督教領袖也公開宣稱
      1 是一個民主政體的共	同目標	表二
      1 文章	更多	社會
      1 文章	更多	巷仔口社會學
      1 文章	Loader	臺灣
      1 文分析的跨國長期資料庫橫跨五大洲	137國	時期則從1980至2013年
      1 文	張宜君	國立台灣師範大學教育學系
      1 整理	分析了2014年尤美女委員所主持的公聽會反方立場之論述	包括病理化同性戀
      1 教育程度	提升	宗教影響力下降等
      1 教育	商業	運動
      1 教育	Education	運動
      1 政治經濟等因素	造成人們不均等的受災風險及差異性的	災後復原能力
      1 政治	藝文	__________________________________________________________________
      1 政治	Politics	生活
      1 政府應該領頭	帶著人民走向性別更平等的台灣社會	表三
      1 收藏本文	來試試我們的新功能	我們想讓你知道的是
      1 支持同婚絕不動搖1年前	資訊圖表	一張圖看懂全球195國
      1 提升人民對於不同性別	甚至是不同個體的尊重	減少了因為性別而異的差別待遇
      1 提升人民對於不同性別	甚至是	不同個體的尊重
      1 提升	宗教影響力下降等	再者
      1 提出採用專法取代修改	民法	實際上
      1 提供社會大	眾	同性婚姻合法化之後
      1 控制變數包括國家政體	GDP及GINI係數	五
      1 接受	同性婚姻合法化	但從表一來
      1 探討各國在通過同性共組家庭	包括民事締結或婚	姻合法化
      1 掃黃	黃國昌	支持同婚絕不動搖1年前
      1 指出通過同性婚姻的都是高度發展的國家	當國家發展至一定程度之後	人民才能夠
      1 拔昌	掃黃	黃國昌
      1 承認民事締結或伴侶法的國家	約有16個國家	表一僅列部分國家
      1 打造更友善的性別空間	最後	反對同婚合法者認為
      1 所以	同性婚姻合法化	更有可能成為帶動性別平等的新契機
      1 或需透過法院訴訟	以色列則僅承認其他國家締結的婚姻	而未承
      1 或許你會想看	更多	評論
      1 我們更應該關注不友善的職場	環境	以及不平等的家庭性別分工等更可能是降低異性戀家庭生育率的主因
      1 我們想讓你知道的是	從各國的經驗來看	同性婚姻合法化不會為社會帶來不良的影響
      1 我們從全世界那些給予同性共組家庭合法地位的國家經驗來看	當同性擁有共組家庭的權利後	該國的生育率及國民的生命表徵是否受到衝擊
      1 愛滋病傳播等社會問題	本文試著檢視反同性婚姻陣營的論述觀點	包含生育率下降
      1 愛滋不會因此蔓延	第三	反同者最常用以反對同志
      1 性行為與愛滋病	之間的連結	在於
      1 性忠貞	要求的婚姻制度中	讓同性有機會進入婚姻來維繫穩定的
      1 性別教育的目的在於追求性別平等與相互尊重	也就是人們不會因為性別	而受到不平等的對待或不同的生命機會
      1 性別教育	愛滋病傳播等社會問題	本文試著檢視反同性婚姻陣營的論述觀點
      1 性別之間權力分布更平等	如	果我們認為
      1 性傾向而異	在此脈絡下	反而有機會減少災難的不平等分布
      1 性傾向的價值	提升人民對於不同性別	甚至是不同個體的尊重
      1 性傾向的價值	提升人民對於不同性別	甚至是
      1 德淪喪	誇大缺乏社會共識	認為同性婚姻無助於公共利益
      1 徵人	訂閱電子信	____________________
      1 徵人	聯絡我們	編輯獨立聲明
      1 從跨國數據了解同婚之後會怎樣	用跨國資料庫的實證資料	可以檢視同志合法共組家庭權利之國家的發展
      1 從同性之間缺乏	自然	生育能力
      1 從各國的經驗來看	同性婚姻合法化不會為社會帶來不良的影響	反而透過法令的執行
      1 從各國的經驗來看	同性婚姻合法化不會為社會帶來不良的影響	不會減少生育率
      1 從出生世代與教育程度觀察9月前	行政院將檢討長照法等498個法令	讓同性伴侶也適用1年前
      1 從世界各國的經驗來看	僅有南非	阿根廷
      1 從	與生命延續相關的三個變數切入	生育率
      1 從	專法	的制度目的談起2月前
      1 影響性別態度	甚至是疾病傳播等疑慮	本
      1 影音	網摘	插畫
      1 影音	插畫	圖輯
      1 張宜君	國立台灣師範大學教育學系	2012年12月
      1 廣告內容政策	聯絡我們	徵人
      1 廣告內容政策	專欄作者	Blog
      1 庭倫理	堅守反對立場	認為一旦同性婚姻通過
      1 常態化與合理化異性戀偏見等	目前已	有許多證據反對部分上述反同論述
      1 帶著人民走向性別更平等的台灣社會	表三	同性共組家庭對社會的衝擊
      1 希望以社會學的角度來觀察	評論當前的社會現象	看更多此作者文章
      1 巷仔口社會學的文章	由國內外社會學者貢獻所寫	作為一個社會學科普的公共部落格網站
      1 巷仔口社會學	文章	Loader
      1 巷仔口社會學	巷仔口社會學的文章	由國內外社會學者貢獻所寫
      1 巷仔口社會學	巷仔口社會學	巷仔口社會學的文章
      1 已在1987年出版的精神醫學臨床診斷手冊中	達成去精神病化	Cheng
      1 就是同性戀帶來愛滋病的傳播	守護家庭聯盟就直指	男
      1 就僅能採計2012年通過	同性婚姻法案的國家	此篩選過程將會有10個國家無法納入分析
      1 尤美女委員在司法法制委員會召開了第一場同性婚姻公聽會	自此之後	台灣各地
      1 對同性戀者應擁有合法婚姻關係持正向	看法	且同意人數在兩次之間的調查是遞增的
      1 對其國家發展的影響	包括通過後隔一年的自然災害發生率及後果	死亡率
      1 尊重	並保障人民有不同婚姻選擇的機會	是一個民主政體的共
      1 專法	的制度目的談起2月前	誰支持同性婚姻
      1 專欄作者	官方部落格	品牌聯名頻道
      1 專欄作者	Blog	RSS
      1 將導致天譴	甚至將某些天然災害歸因於同性婚姻合法化	2016年
      1 實際上並不存在	即讓不能	自然
      1 實際上	跨國數據分析結果顯示	給予同性擁有共組家庭的權利
      1 實際上	反對者忽	略了從同性伴侶擁有伴侶權或民事締結權利
      1 官方部落格	品牌聯名頻道	RSS
      1 宗教影響力下降等	再者	台灣社會變遷基本調查2012
      1 守護家庭聯盟就直指	男	男之間的性行為是感染愛滋病的大宗
      1 守護家庭聯盟	註七	及婦女同心會
      1 婦團	台灣少子化嚴重沒條件	九
      1 姻合法化	法案之後	註五
      1 始終無法有效說服反對方	而反對方的論述	則基於宗教或傳統文化的家
      1 如	果我們認為	性別教育的目的在於追求性別平等與相互尊重
      1 大利北方發生的地震	是上帝對同性婚姻合法化的懲罰	註九
      1 大人投資學	馬力歐陪你喝一杯	2016
      1 堅守反對立場	認為一旦同性婚姻通過	會影響社會倫理
      1 在通過同性婚姻合法化之後	會降低該國生育率	為回應此疑慮
      1 在目前具有	性忠貞	要求的婚姻制度中
      1 在此脈絡下	反而有機會減少災難的不平等分布	愛滋不會因此蔓延
      1 在於	不安全的性行為	而非
      1 國際統計分析	責任編輯	翁世航
      1 國際	生活	健康
      1 國際	World	科學
      1 國際	INTL	東南亞
      1 國立台灣師範大學教育學系	2012年12月	尤美女委員在司法法制委員會召開了第一場同性婚姻公聽會
      1 國家	尊重	並保障人民有不同婚姻選擇的機會
      1 國家	包括2006年接連通過同性伴侶擁有伴侶權及婚姻權的南非	2010年通過同性婚姻權
      1 因為墨西哥僅限特定州	或需透過法院訴訟	以色列則僅承認其他國家締結的婚姻
      1 因為	性行為與愛滋病	之間的連結
      1 因此	通過同性婚姻法案與國家發展程度並無對應關係	這些國家共同的特性皆為
      1 因此	若社會的資源分布不因性別	性傾向而異
      1 因此	從各國的經驗來看	同性婚姻合法化不會為社會帶來不良的影響
      1 因此	在目前具有	性忠貞
      1 因此	同性婚姻合法化將鼓勵同性之間的性行為	進而造成愛滋病的擴散
      1 四	控制變數包括國家政體	GDP及GINI係數
      1 商業	運動	社會
      1 商業	Business	職場
      1 品牌聯名頻道	產業快訊	類別
      1 品牌聯名頻道	國際	生活
      1 品牌聯名頻道	RSS	編輯獨立聲明
      1 周亞萱小姐	楊芷蘭小姐提供相關資料及文章書寫的建議	__________________________________________________________________
      1 否認性與性別是一種主觀經驗	常態化與合理化異性戀偏見等	目前已
      1 名人	Celebrity	政治
      1 同目標	表二	通過同性伴侶擁有婚姻權或伴侶權之國家及其通過時間
      1 同性戀	已在1987年出版的精神醫學臨床診斷手冊中	達成去精神病化
      1 同性婚姻法案的國家	此篩選過程將會有10個國家無法納入分析	但若僅分析同性婚姻合法化之影響
      1 同性婚姻恐造成少子化	段宜康打臉法務部	七
      1 同性婚姻恐衝擊現有婚姻制度	並擔心同性婚姻會造成少子化	衝擊我國人口存續
      1 同性婚姻合法化與愛滋病感染率之間	並不存在顯著關係	無論是男性或女性的愛滋病感染率
      1 同性婚姻合法化將鼓勵同性之間的性行為	進而造成愛滋病的擴散	然而
      1 同性婚姻合法化國家在此僅顯示21國	不包括墨西哥及以色列	因為墨西哥僅限特定州
      1 同性婚姻合法化之後	社會會變成甚麼樣子	的圖像
      1 同性婚姻合法化不會為社會帶來不良的影響	反而透過法令的執行	提倡尊重不同的性少數
      1 同性婚姻合法化不會為社會帶來不良的影響	不會減少生育率	不會造成人類滅絕
      1 同性婚姻合法化	更有可能成為帶動性別平等的新契機	政府應該領頭
      1 同性婚姻合法化	但從表一來	看
      1 同性婚姻不具自然生育的可能性	不利於台灣的家庭延續與人口發展	以上反同立場
      1 同性婚姻	走到哪一步2年前	資訊圖表
      1 同性婚姻	走到哪一步2年前	Tags
      1 同性共組家庭對社會的衝擊	表3	同性共組家庭對社會的衝擊
      1 同性共組家庭對社會的衝擊	n	s表示無顯著影響
      1 同婚合法化的社會共識	王大維	註一
      1 同婚合法化並非先進國家的專利	本次公聽會有反同婚學者指出	世界領頭羊國家通過同性婚姻合法化
      1 同婚之後會怎樣	國際統計分析	責任編輯
      1 台灣社會變遷基本調查2012	2015年的調查結果顯示	有超過五成的台灣民眾
      1 台灣少子化嚴重沒條件	九	義大利於2016年通過同性民事締結合法化法案
      1 台灣各地	加上今年的兩場公聽會	總計開了至少十場同性婚姻公聽
      1 台灣修	民法	初審通過
      1 台灣	TW	香港
      1 可能造成性別教育的敗壞	雖然這種說法是一種滑坡謬	誤
      1 可以檢視同志合法共組家庭權利之國家的發展	以回應對於同性婚姻合法將造成社會問題	影響性別態度
      1 反而透過法令的執行	提倡尊重不同的性少數	性傾向的價值
      1 反而透過	法令的執行	提倡尊重不同的性少數
      1 反而有機會減少災難的不平等分布	愛滋不會因此蔓延	第三
      1 反而可能有機會提升兩性	性別之間權力分布更平等	如
      1 反方的意見仍舊分歧	難有交集	贊成方從基本人權
      1 反對者忽	略了從同性伴侶擁有伴侶權或民事締結權利	到同性婚姻合法化
      1 反對同性婚姻入法	八	自由時報
      1 反對同婚者循著全球發展程度的角度	指出通過同性婚姻的都是高度發展的國家	當國家發展至一定程度之後
      1 反對同婚合法者認為	相較於異性戀婚姻具有生育下一代的社會功能	而同性婚姻不具有公共利益
      1 反同陣線對於同性婚姻合法化的第一個疑慮	便是同性之間可以結婚將會降低生育率	使少子化現象惡化
      1 反同者最常用以反對同志	特別是男同志	的觀點
      1 反同婚立場所擔憂的社會衝擊	皆未達顯著效果	六
      1 反同婚團體發起	拔昌	掃黃
      1 反同婚合法	婦團	台灣少子化嚴重沒條件
      1 反同團體憂慮的生育率下降之衝擊	實際上並不存在	即讓不能
      1 及婦女同心會	註八	都宣稱
      1 原標題	同婚之後會怎樣	國際統計分析
      1 原文發表於此	原標題	同婚之後會怎樣
      1 即讓不能	自然	生育的同志伴侶擁有相同的婚姻權
      1 危及人類的存續	與其擔憂同性婚姻合法化對生育率造成的威脅	我們更應該關注不友善的職場
      1 南非	阿根廷及美國同婚通過後國家總生育率	表1
