      4 Same	Sex	Marriage
      1 to	legally	recognized
      1 to	know	someone
      1 to	grow	as
      1 to	greater	numbers
      1 to	gay	marriage
      1 to	ensure	long
      1 to	Business	Customer
      1 to	A8	Accountability
      1 to	a	same
      1 time	zone	within
      1 ti	5986988	Ver
      1 through	a	dynamic
      1 three	years	and
      1 three	percentage	point
      1 three	articles	providing
      1 three	annual	polls
      1 three	americans	support
      1 those	who	are
      1 those	of	Democrats
      1 This	Path	Gallup
      1 This	means	that
      1 this	group	s
      1 this	group	Democrats
      1 this	Gallup	poll
      1 This	came	more
      1 third	anniversary	of
      1 they	seek	more
      1 These	materials	are
      1 these	marriages	may
      1 These	data	are
      1 there	is	still
      1 Themes	Builder	Initiative
      1 their	respective	owners
      1 their	previous	opposition
      1 their	newfound	rights
      1 their	minds	on
      1 their	legal	status
      1 the	years	leading
      1 the	years	but
      1 the	world	s
      1 the	working	class
      1 the	visibility	of
      1 The	trend	toward
      1 the	total	sample
      1 the	third	anniversary
      1 the	socioeconomic	hierarchy
      1 the	same	sex
      1 the	question	in
      1 the	property	of
      1 The	Presidency	Presidential
      1 The	percentage	of
      1 the	past	three
      1 the	next	week
      1 the	most	likely
      1 the	margin	of
      1 the	Manager	Learn
      1 the	legality	of
      1 the	law	as
      1 The	latest	figure
      1 the	latest	data
      1 the	issue	would
      1 the	issue	are
      1 the	increases	in
      1 The	GOP	has
      1 the	GOP	favors
      1 the	general	trend
      1 The	Gallup	School
      1 The	Gallup	Poll
      1 the	Gallup	Poll
      1 The	Gallup	Path
      1 the	first	state
      1 the	express	permission
      1 the	District	of
      1 the	decision	a
      1 The	current	figure
      1 the	country	may
      1 the	City	Strengths
      1 The	Chairman	s
      1 the	biggest	factor
      1 the	attitudes	and
      1 the	acceptance	of
      1 the	95	confidence
      1 The	83	of
      1 the	47	recorded
      1 the	27	who
      1 the	2010s	Survey
      1 the	2000s	before
      1 that	there	is
      1 that	the	percentage
      1 that	more	than
      1 that	it	s
      1 that	include	but
      1 that	Americans	are
      1 than	Republicans	WASHINGTON
      1 than	half	of
      1 than	as	a
      1 than	a	decade
      1 than	10	4
      1 Terrorism	Women	Gallup
      1 term	success	World
      1 telephone	numbers	are
      1 telephone	interviews	conducted
      1 teams	excel	Employee
      1 TeacherInsight	The	Gallup
      1 Taxes	Terrorism	Women
      1 Talent	Based	Hiring
      1 taking	place	across
      1 System	Performance	Optimization
      1 Survey	Methods	Results
      1 survey	methodology	complete
      1 Survey	CliftonStrengths	for
      1 SupportInsight	TX	R
      1 supported	gay	marriage
      1 support	sex	mar
      1 support	same	sex
      1 support	recorded	for
      1 support	Meanwhile	independents
      1 support	may	be
      1 support	legal	recognition
      1 support	gay	marriage
      1 support	gained	steadily
      1 Support	for	Same
      1 support	for	same
      1 support	for	legalization
      1 support	for	gay
      1 support	among	Democrats
      1 success	World	Poll
      1 success	More	from
      1 Subscribe	to	receive
      1 Subscribe	About	Gallup
      1 Submit	Close	menu
      1 Sub	Saharan	Africa
      1 Students	Talent	Based
      1 Student	Poll	Featured
      1 StrengthsQuest	SupportInsight	TX
      1 StrengthsInsight	StrengthsQuest	SupportInsight
      1 StrengthsFinder	StrengthsInsight	StrengthsQuest
      1 StrengthsFinder	Customer	Engagement
      1 StrengthsExplorer	StrengthsFinder	StrengthsInsight
      1 StrengthsExplorer	Clifton	StrengthsFinder
      1 StrengthsCoach	StrengthsExplorer	StrengthsFinder
      1 Strengths	Spotlight	Strengths
      1 Strengths	Development	Wellbeing
      1 Strengths	Based	Selling
      1 Street	Washington	D
      1 Strategic	and	Woo
      1 straight	to	your
      1 Strada	Gallup	Alumni
      1 Story	Highlights	67
      1 Store	Search	News
      1 still	room	for
      1 steadily	in	the
      1 status	Gay	marriage
      1 StatShot	StrengthsCoach	StrengthsExplorer
      1 states	some	opponents
      1 states	and	the
      1 Statement	Legal	
      1 state	Massachusetts	had
      1 state	laws	were
      1 SRI	Soul	of
      1 spouse	This	means
      1 Spotlight	Strengths	Based
      1 SPEEDBUMP	Democrats	Reach
      1 Speakers	Get	In
      1 Soul	of	the
      1 someone	who	has
      1 some	opponents	to
      1 Some	of	the
      1 some	folks	previously
      1 some	Americans	who
      1 Some	Americans	may
      1 Solutions	Who	We
      1 Solution	Gallup	Access
      1 softening	opposition	among
      1 socioeconomic	hierarchy	May
      1 Social	Series	works
      1 Social	and	Policy
      1 Small	Business	Blogs
      1 skip	to	main
      1 Sixty	seven	percent
      1 similar	to	the
      1 Significance	Strategic	and
      1 Sign	Up	Related
      1 Sign	Up	Recommended
      1 Sign	In	Subscribe
      1 should	be	recognized
      1 Shop	Contact	Us
      1 SF34	SRI	Soul
      1 sex	weddings	taking
      1 sex	spouse	This
      1 sex	partner	and
      1 sex	marriages	should
      1 sex	marriages	is
      1 sex	marriages	In
      1 sex	marriage	the
      1 Sex	Marriage	Story
      1 sex	marriage	SPEEDBUMP
      1 Sex	Marriage	Share
      1 Sex	Marriage	Democrats
      1 sex	marriage	could
      1 Sex	Marriage	by
      1 sex	mar	riage
      1 sex	couples	enjoy
      1 several	registered	and
      1 seven	percent	of
      1 Services	Solutions	Who
      1 Services	Exceptional	Workplaces
      1 Services	Access	Log
      1 Series	works	Gallup
      1 series	of	three
      1 Senior	Scientists	Advisers
      1 Selling	StatShot	StrengthsCoach
      1 Self	Assurance	Significance
      1 Selection	Research	Inc
      1 selected	using	random
      1 seen	growth	in
      1 seek	more	acceptance
      1 Search	News	Submit
      1 Search	examine	compare
      1 SE25	SF34	SRI
      1 Scientists	Advisers	Topics
      1 School	VantagePoint	Varsity
      1 say	same	sex
      1 satisfied	with	the
      1 Satisfied	With	Acceptance
      1 sampling	error	is
      1 sampling	error	include
      1 sample	of	1
      1 same	sex	weddings
      1 same	sex	spouse
      1 same	sex	partner
      1 same	sex	couples
      1 Saharan	Africa	Education
      1 Safely	skip	to
      1 S	will	continue
      1 S	Using	data
      1 s	trend	on
      1 s	trend	In
      1 s	trend	Democrats
      1 s	the	Manager
      1 s	success	More
      1 S	states	and
      1 s	previous	high
      1 s	Obergefell	decision
      1 s	likely	that
      1 s	legality	it
      1 S	Estimate	of
      1 s	decision	nearing
      1 S	Daily	Tracking
      1 S	but	23
      1 s	Blog	Politics
      1 s	Blog	Gallup
      1 s	been	legal
      1 s	annual	Values
      1 S	adults	say
      1 S	A	majority
      1 S	A	1
      1 s	7	billion
      1 ROR	IFRAME	https
      1 room	for	increased
      1 role	in	overturning
      1 Rises	to	4
      1 rights	The	trend
      1 rights	reserved	Gallup
      1 rights	reserved	Copyright
      1 riage	aspx	Gallup
      1 Retirement	Small	Business
      1 rethinking	their	previous
      1 Results	for	this
      1 results	based	on
      1 Restorative	Self	Assurance
      1 Responsibility	Restorative	Self
      1 responses	and	trends
      1 respondents	with	additional
      1 respondents	and	30
      1 respective	owners	These
      1 reserved	Gallup	Inc
      1 reserved	Copyright	2016
      1 Research	Subscribe	to
      1 Research	Search	examine
      1 Research	Partners	Strada
      1 Research	Inc	SE25
      1 Republicans	who	remain
      1 Republicans	who	favor
      1 Republicans	WASHINGTON	D
      1 Republicans	views	on
      1 Republicans	to	support
      1 Reproduction	prohibited	without
      1 reported	margins	of
      1 Remains	Satisfied	With
      1 remain	the	most
      1 remain	satisfied	with
      1 remain	mostly	opposed
      1 remain	more	in
      1 release	a	series
      1 Relator	Responsibility	Restorative
      1 Relations	Taxes	Terrorism
      1 Related	Topics	Include
      1 registered	and	unregistered
      1 region	Landline	and
      1 recorded	three	percentage
      1 recorded	in	2017
      1 recorded	for	this
      1 Recommended	Gallup	Blog
      1 recognized	gay	marriage
      1 recognized	by	the
      1 recognition	of	gay
      1 receive	weekly	Gallup
      1 Read	about	the
      1 reaching	majority	level
      1 Reaching	a	national
      1 Reach	New	High
      1 reach	majority	support
      1 rather	than	as
      1 random	sample	of
      1 random	digit	dial
      1 Race	Relations	Taxes
      1 R	P3	TeacherInsight
      1 R	E	R
      1 quotas	by	time
      1 quota	of	70
      1 question	responses	and
      1 question	in	1996
      1 Quality	System	Performance
      1 Q12	Q12	Accelerator
      1 Q12	Advantage	Selection
      1 Q12	Accelerator	Q12
      1 public	support	for
      1 providing	insight	into
      1 provided	for	noncommercial
      1 property	of	their
      1 prohibited	without	the
      1 Privacy	Statement	Legal
      1 Print	Share	on
      1 Print	Politics	May
      1 PrincipalInsight	Q12	Q12
      1 primary	data	Learn
      1 previously	held	opposition
      1 previous	opposition	Americans
      1 previous	high	from
      1 Press	Gallup	Tuesday
      1 Presidential	Job	Approval
      1 Presidency	Presidential	Job
      1 Power	of	2
      1 Positivity	Relator	Responsibility
      1 position	in	the
      1 Portrait	Employee	Engagement
      1 Population	Rises	to
      1 polls	Gallup	has
      1 Polling	Matters	Well
      1 Polling	Matters	Gallup
      1 Polling	Matters	Aug
      1 polled	on	the
      1 Poll	The	Gallup
      1 Poll	Social	Series
      1 Poll	Gallup	Panel
      1 Poll	Featured	Solution
      1 poll	conducted	May
      1 poll	are	based
      1 poll	234866	two
      1 Politics	World	Education
      1 Politics	Two	in
      1 Politics	Social	and
      1 Politics	Politics	Foreign
      1 Politics	May	23
      1 Politics	May	22
      1 Politics	Foreign	Affairs
      1 Politics	Feb	7
      1 Policy	Issues	Well
      1 Policy	Issues	Social
      1 Policy	Issues	Advanced
      1 Policy	Issues	Abortion
      1 points	from	the
      1 points	at	the
      1 point	increases	among
      1 Podcast	The	Chairman
      1 Podcast	Sign	In
      1 Please	Enable	JavaScript
      1 playing	a	role
      1 platform	Featured	Book
      1 place	across	the
      1 personal	use	only
      1 Personal	Finance	Retirement
      1 permission	of	Gallup
      1 Performance	Optimization	Power
      1 Performance	Management	Hiring
      1 performance	by	maximizing
      1 performance	at	your
      1 percentage	points	from
      1 percentage	points	at
      1 percentage	point	increases
      1 percentage	of	Republicans
      1 percentage	of	married
      1 percentage	of	American
      1 percent	of	Americans
      1 Patient	Quality	System
      1 Path	The	Gallup
      1 Path	Gallup	Gallup
      1 patchwork	of	state
      1 past	three	annual
      1 party	groups	The
      1 Partners	Strada	Gallup
      1 partner	and	the
      1 Panel	U	S
      1 Panel	Gallup	Press
      1 Pacific	Europe	Middle
      1 P3	TeacherInsight	The
      1 owners	These	materials
      1 Overview	Business	Business
      1 overturning	some	folks
      1 over	the	years
      1 Over	the	next
      1 Our	Services	Exceptional
      1 Our	Services	Access
      1 our	latest	insights
      1 Our	Company	About
      1 other	trademarks	are
      1 other	issues	as
      1 Organizations	For	Education
      1 organization	s	success
      1 or	transgender	increased
      1 Optimization	Power	of
      1 opposition	trying	to
      1 opposition	to	their
      1 opposition	among	some
      1 opposition	Americans	have
      1 opposed	to	legally
      1 opponents	to	gay
      1 opinions	on	the
      1 only	Reproduction	prohibited
      1 online	platform	Featured
      1 once	feared	for
      1 on	the	total
      1 on	the	question
      1 on	the	legality
      1 on	telephone	interviews
      1 on	support	for
      1 on	LGBT	Issues
      1 on	legalization	of
      1 on	greater	acceptance
      1 on	gay	marriage
      1 On	both	issues
      1 older	living	in
      1 of	U	S
      1 of	three	articles
      1 of	these	marriages
      1 of	their	respective
      1 of	the	world
      1 of	the	Supreme
      1 of	the	past
      1 of	the	increases
      1 of	the	GOP
      1 of	the	City
      1 of	support	recorded
      1 of	state	laws
      1 of	same	sex
      1 of	Republicans	who
      1 of	primary	data
      1 of	other	issues
      1 of	married	LGBT
      1 of	marijuana	has
      1 of	LGBT	Population
      1 of	LGBT	adults
      1 of	lesbian	gay
      1 of	legally	recognized
      1 of	independents	say
      1 of	Gays	in
      1 of	gays	and
      1 of	gay	marriages
      1 of	Gallup	Inc
      1 of	Democrats	in
      1 of	Democrats	Currently
      1 of	Columbia	For
      1 of	Americans	support
      1 of	Americans	remain
      1 of	American	adults
      1 of	70	cellphone
      1 of	2017	Gallup
      1 of	2	PrincipalInsight
      1 of	1	024
      1 Obergefell	decision	This
      1 NurseStrengths	Patient	Quality
      1 NurseInsight	NurseStrengths	Patient
      1 numbers	of	lesbian
      1 numbers	are	selected
      1 ns	html	id
      1 now	that	it
      1 Notice	JavaScript	is
      1 not	enabled	Please
      1 not	be	limited
      1 North	Africa	Sub
      1 noncommercial	personal	use
      1 no	formidable	opposition
      1 next	week	Gallup
      1 News	Submit	Toggle
      1 News	Reports	Books
      1 News	Read	about
      1 News	Our	Company
      1 News	HumanSigma	HumanSigma
      1 news	gallup	com
      1 news	delivered	straight
      1 News	alerts	Never
      1 News	Alerts	Get
      1 News	Alerts	Gallup
      1 Newport	Some	Americans
      1 newfound	rights	The
      1 New	High	in
      1 New	high	in
      1 new	generations	of
      1 Never	miss	our
      1 nearly	twice	as
      1 nearly	three	years
      1 nearly	a	century
      1 nearing	and	no
      1 navigation	Overview	Business
      1 navigation	Gallup	What
      1 nationwide	in	2015
      1 national	consensus	on
      1 national	adults	the
      1 national	adults	includes
      1 mostly	opposed	to
      1 most	likely	to
      1 more	than	a
      1 more	than	10
      1 more	on	greater
      1 more	likely	to
      1 more	in	favor
      1 More	From	Gallup
      1 More	from	Gallup
      1 more	acceptance	Polling
      1 more	about	how
      1 More	about	Access
      1 Moral	Issues	Politics
      1 miss	our	latest
      1 mirrored	its	trend
      1 minimum	quotas	by
      1 minimum	quota	of
      1 minds	on	the
      1 Millennials	Race	Relations
      1 Middle	East	North
      1 methods	View	survey
      1 Methods	Results	for
      1 methodology	complete	question
      1 Methodology	Center	Senior
      1 Methodology	Blog	Polling
      1 menu	Our	Services
      1 Media	Inquiries	Gallup
      1 Meanwhile	independents	opinions
      1 means	that	Americans
      1 Mean	by	Working
      1 ME25	NurseInsight	NurseStrengths
      1 McCarthy	Two	in
      1 may	not	be
      1 may	literally	define
      1 may	be	softening
      1 may	be	rethinking
      1 may	be	playing
      1 may	be	due
      1 May	22	2018
      1 May	21	2018
      1 maximizing	what	your
      1 Maximizer	Positivity	Relator
      1 Matters	Well	Being
      1 Matters	Gallup	Podcast
      1 Matters	Aug	3
      1 materials	are	provided
      1 matching	this	group
      1 Massachusetts	had	legalized
      1 married	to	a
      1 married	LGBT	adults
      1 married	in	the
      1 married	a	same
      1 marriages	may	be
      1 marriages	less	than
      1 marriages	is	the
      1 marriages	In	addition
      1 marriage	when	Gallup
      1 marriage	the	same
      1 marriage	the	highest
      1 Marriage	Story	Highlights
      1 marriage	SPEEDBUMP	Democrats
      1 Marriage	Share	on
      1 marriage	s	legality
      1 marriage	over	the
      1 marriage	On	both
      1 Marriage	Moral	Issues
      1 marriage	may	be
      1 marriage	is	similar
      1 marriage	In	the
      1 marriage	in	Gallup
      1 Marriage	Democrats	remain
      1 marriage	could	very
      1 Marriage	by	Justin
      1 marriage	became	legal
      1 marriage	among	party
      1 marriage	44	The
      1 Marketplace	Workplace	Gallup
      1 Marijuana	Millennials	Race
      1 marijuana	has	largely
      1 margins	of	sampling
      1 margin	of	sampling
      1 mar	riage	aspx
      1 Managers	For	Organizations
      1 Manager	Learn	about
      1 Manager	Development	Workforce
      1 Management	Wellbeing	Finder
      1 Management	Journal	GMJ
      1 Management	Hiring	Analytics
      1 Management	Dr	Gallup
      1 Manage	your	workforce
      1 Make	accurate	decisions
      1 majority	support	Meanwhile
      1 Majority	Remains	Satisfied
      1 majority	of	Americans
      1 majority	level	in
      1 maintains	several	registered
      1 main	content	Submit
      1 Looking	Into	What
      1 longer	in	certain
      1 long	term	success
      1 Log	In	Politics
      1 Locations	George	Gallup
      1 Locations	Careers	Store
      1 living	in	all
      1 literally	define	the
      1 LinkedIn	YouTube	Copyright
      1 Line	With	the
      1 limited	to	A8
      1 likely	to	support
      1 likely	to	know
      1 likely	that	the
      1 likely	as	Republicans
      1 LGBT	Population	Rises
      1 LGBT	Marriage	Moral
      1 LGBT	Marijuana	Millennials
      1 LGBT	issues	Politics
      1 LGBT	Issues	Over
      1 LGBT	adults	in
      1 LGBT	adults	getting
      1 LGBT	adults	are
      1 level	of	support
      1 level	in	the
      1 level	in	Gallup
      1 level	All	reported
      1 less	than	half
      1 lesbians	in	the
      1 legally	valid	The
      1 legally	valid	New
      1 legally	recognized	gay
      1 legalized	gay	marriage
      1 legalization	would	bring
      1 legalization	of	marijuana
      1 legalization	of	gay
      1 legality	of	other
      1 legality	it	s
      1 legal	status	Gay
      1 legal	recognition	of
      1 legal	nationwide	in
      1 legal	gay	marriage
      1 legal	for	nearly
      1 Legal		
      1 Learner	Maximizer	Positivity
      1 Learn	More	about
      1 Learn	more	about
      1 Learn	about	the
      1 leading	up	to
      1 Leadership	Marketplace	Workplace
      1 laws	were	created
      1 law	as	valid
      1 latest	insights	Sign
      1 latest	figure	for
      1 latest	data	driven
      1 last	year	GayMarriageSupport_political
      1 largely	mirrored	its
      1 landline	respondents	with
      1 Landline	and	cellular
      1 L3	ME25	NurseInsight
      1 know	someone	who
      1 K	12	Social
      1 K	12	Education
      1 Justin	McCarthy	Two
      1 Journal	GMJ	Gallup
      1 Journal	GBJ	Gallup
      1 Journal	Chairman	s
      1 Job	Approval	Center
      1 JavaScript	Safely	skip
      1 JavaScript	is	not
      1 its	trend	on
      1 It	Works	CliftonStrengths
      1 It	s	the
      1 it	s	likely
      1 it	s	been
      1 Issues	Well	Being
      1 issues	support	gained
      1 Issues	Social	Policy
      1 Issues	Politics	Social
      1 issues	Politics	May
      1 Issues	Over	the
      1 issues	as	well
      1 Issues	Advanced	Analytics
      1 Issues	Abortion	Crime
      1 issue	would	depend
      1 issue	are	closer
      1 is	up	40
      1 is	the	highest
      1 is	still	room
      1 is	similar	to
      1 is	not	enabled
      1 is	4	percentage
      1 Into	What	Americans
      1 into	LGBT	issues
      1 interviews	conducted	May
      1 Intellection	Learner	Maximizer
      1 Insurance	Economy	Economy
      1 institution	K	12
      1 insights	Sign	Up
      1 insight	into	LGBT
      1 Inquiries	Gallup	Speakers
      1 Input	Intellection	Learner
      1 Initiative	Education	Drive
      1 Individuals	For	Managers
      1 Individualization	Input	Intellection
      1 Index	Gallup	Management
      1 Index	Follow	This
      1 Index	Enetrix	Engagement
      1 Index	Customer	Engagement
      1 Index	Business	Impact
      1 independents	say	gay
      1 independents	Reaching	a
      1 independents	opinions	on
      1 increases	in	support
      1 increases	among	Americans
      1 increased	to	4
      1 increased	support	among
      1 increased	public	support
      1 Inclusion	Advanced	Analytics
      1 includes	a	minimum
      1 Includer	Individualization	Input
      1 Include	USA	All
      1 include	computed	design
      1 include	but	may
      1 Inc	SE25	SF34
      1 Inc	Privacy	Statement
      1 Inc	maintains	several
      1 inbox	Sign	Up
      1 in	your	organization
      1 In	U	S
      1 in	U	S
      1 In	Touch	Facebook
      1 In	the	years
      1 in	the	socioeconomic
      1 in	the	percentage
      1 in	the	2010s
      1 in	the	2000s
      1 in	support	may
      1 in	Support	for
      1 in	support	for
      1 In	Subscribe	About
      1 In	Politics	Two
      1 in	overturning	some
      1 in	favor	than
      1 in	favor	of
      1 In	each	of
      1 in	certain	states
      1 in	all	50
      1 In	addition	to
      1 in	2017	The
      1 in	2017	from
      1 in	2016	and
      1 in	2015	upon
      1 in	2012	Politics
      1 in	1996	GayMarriageSupport
      1 Impact	Analysis	BE10
      1 Immigration	LGBT	Marijuana
      1 IFRAME	https	www
      1 identifying	as	lesbian
      1 Ideation	Includer	Individualization
      1 id	GTM	WSF7BSB
      1 ICE11	I10	L3
      1 I10	L3	ME25
      1 HumanSigma	HumanSigma	Accelerator
      1 HumanSigma	Accelerator	ICE11
      1 https	www	googletagmanager
      1 https	news	gallup
      1 html	id	GTM
      1 how	the	Gallup
      1 How	It	Works
      1 Hiring	Gallup	Student
      1 Hiring	Analytics	Strengths
      1 Highlights	67	of
      1 highest	level	of
      1 highest	level	in
      1 Higher	Education	Research
      1 Higher	Education	K
      1 High	in	Support
      1 high	in	support
      1 high	from	last
      1 high	engagement	and
      1 hierarchy	May	23
      1 held	opposition	to
      1 Healthways	Well	Being
      1 Healthcare	Immigration	LGBT
      1 Health	Insurance	Economy
      1 Health	Habits	Health
      1 Headquarters	901	F
      1 Headlines	LGBT	Marriage
      1 have	changed	their
      1 has	yet	to
      1 has	seen	growth
      1 has	recorded	three
      1 has	married	a
      1 has	largely	mirrored
      1 has	found	that
      1 Harmony	Ideation	Includer
      1 half	of	the
      1 had	legalized	gay
      1 Habits	Health	Insurance
      1 Guns	Healthcare	Immigration
      1 GTM	WSF7BSB	0
      1 growth	in	the
      1 grow	as	new
      1 groups	The	83
      1 group	s	previous
      1 group	Democrats	are
      1 greater	numbers	of
      1 greater	acceptance	of
      1 greater	acceptance	among
      1 Government	The	Presidency
      1 GOP	has	seen
      1 GOP	favors	legal
      1 googletagmanager	com	ns
      1 GMJ	Gallup	Panel
      1 given	that	there
      1 getting	married	in
      1 Get	the	latest
      1 Get	In	Touch
      1 George	Gallup	Methodology
      1 generations	of	same
      1 general	trend	toward
      1 GBJ	Gallup	Consulting
      1 Gays	in	U
      1 gays	and	lesbians
      1 GayMarriageSupport_political	Bottom	Line
      1 GayMarriageSupport	These	data
      1 gay	marriages	less
      1 gay	marriage	when
      1 gay	marriage	the
      1 gay	marriage	s
      1 gay	marriage	over
      1 gay	marriage	On
      1 gay	marriage	may
      1 gay	marriage	is
      1 gay	marriage	In
      1 gay	marriage	in
      1 Gay	marriage	became
      1 gay	marriage	among
      1 gay	marriage	44
      1 gay	bisexual	or
      1 gay	bisexual	and
      1 Gallup	World	News
      1 Gallup	World	Headquarters
      1 Gallup	will	release
      1 Gallup	What	We
      1 Gallup	Vault	Polling
      1 Gallup	Vault	Methodology
      1 Gallup	University	Gallup
      1 Gallup	Tuesday	Briefing
      1 Gallup	Student	Poll
      1 Gallup	Speakers	Get
      1 Gallup	School	VantagePoint
      1 Gallup	s	annual
      1 Gallup	Press	Gallup
      1 Gallup	Portrait	Employee
      1 Gallup	Poll	The
      1 Gallup	Poll	Social
      1 Gallup	poll	are
      1 Gallup	Podcast	Sign
      1 Gallup	Path	The
      1 Gallup	Panel	U
      1 Gallup	Panel	Gallup
      1 Gallup	News	Read
      1 Gallup	News	alerts
      1 Gallup	Methodology	Center
      1 Gallup	Management	Journal
      1 Gallup	Locations	George
      1 Gallup	Inc	Privacy
      1 Gallup	Inc	maintains
      1 Gallup	https	news
      1 Gallup	Healthways	Well
      1 Gallup	Headlines	LGBT
      1 Gallup	has	recorded
      1 Gallup	has	found
      1 Gallup	Gallup	News
      1 Gallup	Gallup	com
      1 Gallup	Gallup	Brain
      1 Gallup	first	polled
      1 Gallup	Consulting	Gallup
      1 gallup	com	poll
      1 Gallup	com	Exceptional
      1 Gallup	Brain	Gallup
