      7 Kay	S	Hymowitz
      1 though	divorce	was
      1 though	admittedly	there
      1 those	with	eight
      1 those	who	had
      1 those	who	grew
      1 those	rights	as
      1 those	responsibilities	and
      1 those	relationships	But
      1 those	of	their
      1 Thomas	Paine	whose
      1 this	time	procreation
      1 This	shift	was
      1 This	protean	diversity
      1 this	point	After
      1 This	message	may
      1 This	kinder	gentler
      1 This	is	the
      1 this	history	better
      1 this	historical	background
      1 this	generation	was
      1 this	generation	questions
      1 this	fundamental	core
      1 this	dual	state
      1 this	denying	homosexuals
      1 This	demand	for
      1 this	cultural	revolution
      1 this	court	s
      1 this	country	than
      1 this	article	on
      1 thirties	the	sundering
      1 thirties	said	they
      1 thirties	are	nostalgic
      1 third	of	children
      1 thinking	about	marriage
      1 thinkers	were	as
      1 thinkers	like	James
      1 thinkers	imagined	the
      1 thinkers	All	the
      1 Think	of	the
      1 think	of	marriage
      1 thing	Unlike	the
      1 thing	human	beings
      1 thing	as	the
      1 they	zeroed	in
      1 they	would	bring
      1 they	would	also
      1 they	wish	is
      1 they	were	responsible
      1 They	were	no
      1 they	were	designing
      1 they	were	casting
      1 they	wanted	to
      1 they	want	too
      1 they	want	for
      1 they	understood	the
      1 they	understood	that
      1 they	needed	to
      1 they	most	prized
      1 they	know	enough
      1 They	impatiently	insist
      1 they	have	studied
      1 they	have	languages
      1 they	had	internalized
      1 they	had	good
      1 they	had	full
      1 they	had	come
      1 they	grew	up
      1 they	get	a
      1 They	frequently	compare
      1 they	feared	either
      1 they	endured	Yankelovich
      1 they	don	t
      1 they	d	favor
      1 they	contrasted	with
      1 they	choose	It
      1 They	brought	to
      1 They	believed	that
      1 they	believed	above
      1 they	argue	shows
      1 these	time	honored
      1 these	qualities	were
      1 these	mom	and
      1 these	modern	ideas
      1 these	legal	innovations
      1 these	larger	responsibilities
      1 these	goals	involve
      1 these	families	are
      1 these	examples	suggest
      1 these	democratic	notions
      1 These	days	everyone
      1 these	assumptions	remained
      1 These	abolitionists	created
      1 Therefore	marriage	is
      1 there	was	none
      1 there	was	a
      1 There	is	another
      1 theory	than	practice
      1 theory	of	the
      1 theory	nurturing	sturdy
      1 theorists	understood	that
      1 theorists	also	encouraged
      1 Theodore	Dalrymple	Stephen
      1 then	what	was
      1 then	be	projected
      1 ThemToo	Kay	S
      1 themselves	with	whom
      1 them	make	up
      1 them	During	the
      1 them	As	historian
      1 them	are	inclined
      1 them	are	familiar
      1 them	are	dependent
      1 their	young	not
      1 their	wisdom	decided
      1 their	wedding	rings
      1 their	two	earner
      1 their	twenties	and
      1 their	traditionalism	enlarges
      1 their	task	a
      1 their	sympathy	for
      1 their	suitors	worth
      1 their	spouses	freely
      1 their	secular	republic
      1 their	right	to
      1 their	rent	or
      1 their	parents	and
      1 their	own	two
      1 their	own	stuffy
      1 their	own	spouses
      1 their	own	property
      1 their	own	children
      1 their	own	capacity
      1 their	offspring	together
      1 their	new	ideal
      1 their	most	treasured
      1 Their	most	commonly
      1 their	model	of
      1 their	longing	for
      1 their	lives	and
      1 their	life	savings
      1 their	late	twenties
      1 their	job	any
      1 their	interest	in
      1 their	inheritance	rights
      1 their	ideas	about
      1 their	high	rates
      1 their	families	To
      1 their	embrace	of
      1 their	educated	contemporaries
      1 their	country	s
      1 their	children	trekked
      1 their	children	to
      1 their	children	Therefore
      1 their	child	s
      1 their	case	arguing
      1 their	boomer	parents
      1 their	babysitters	while
      1 their	argument	They
      1 Their	aim	wasn
      1 the	young	neo
      1 the	young	needed
      1 the	young	it
      1 the	young	had
      1 the	young	could
      1 the	world	were
      1 The	world	they
      1 the	world	they
      1 the	world	it
      1 the	world	American
      1 the	window	at
      1 the	wife	moves
      1 the	whole	building
      1 the	Washington	Post
      1 the	United	States
      1 The	Underestimated	Tevi
      1 the	twentieth	century
      1 the	truth	of
      1 the	true	origin
      1 the	treatment	of
      1 the	traditions	that
      1 the	traditional	assumption
      1 the	tradition	of
      1 the	toxin	that
      1 the	time	of
      1 the	sundering	of
      1 the	subject	of
      1 the	subject	evaporated
      1 the	struggle	against
      1 the	state	that
      1 the	state	has
      1 the	state	Gay
      1 the	state	concerns
      1 the	state	care
      1 The	state	also
      1 the	startling	diversity
      1 the	spouses	as
      1 the	source	for
      1 the	sophisticated	architecture
      1 the	society	reproduces
      1 The	soaring	rates
      1 The	small	size
      1 the	size	of
      1 the	shame	they
      1 the	service	of
      1 the	self	reliant
      1 the	same	You
      1 the	same	vein
      1 the	same	time
      1 the	same	thing
      1 the	same	rights
      1 the	same	goes
      1 the	rights	and
      1 the	right	of
      1 the	Revolutionary	War
      1 the	Revolutionary	era
      1 The	results	are
      1 the	result	of
      1 the	respectful	and
      1 the	republican	home
      1 the	republican	couple
      1 the	republic	the
      1 the	repeal	of
      1 the	relationship	between
      1 the	reigning	paradigm
      1 the	Reconstruction	architects
      1 the	recipe	for
      1 the	recent	Gay
      1 the	qualities	needed
      1 the	promotion	of
      1 the	promiscuity	and
      1 the	profoundly	democratic
      1 the	problem	with
      1 the	principles	of
      1 the	primary	responsibility
      1 the	prestigious	American
      1 the	practice	Still
      1 the	potential	to
      1 the	political	realm
      1 the	political	order
      1 the	political	experiment
      1 the	political	and
      1 the	personal	destruction
      1 the	permanent	underclass
      1 the	perfect	traditional
      1 the	peaceful	Norman
      1 the	past	several
      1 the	past	decades
      1 the	past	40
      1 the	passing	feelings
      1 the	original	republican
      1 the	only	interest
      1 the	one	they
      1 the	one	currently
      1 the	number	of
      1 the	novels	of
      1 the	norm	The
      1 the	nineteenth	century
      1 the	next	civil
      1 the	news	Tracks
      1 the	news	The
      1 the	news	Portfolio
      1 the	news	A
      1 the	new	world
      1 the	new	Western
      1 The	new	political
      1 the	new	political
      1 the	new	domestic
      1 the	national	project
      1 the	National	Opinion
      1 the	Nation	the
      1 the	nation	expanded
      1 the	nation	because
      1 the	musty	past
      1 the	multifaceted	tradition
      1 the	most	thoughtful
      1 the	more	to
      1 the	more	patriarchal
      1 the	moral	rather
      1 the	moon	landing
      1 the	miserable	but
      1 the	minute	theory
      1 the	merely	unfulfilled
      1 the	mechanism	by
      1 the	means	of
      1 the	matter	it
      1 the	matrimonial	drafting
      1 the	marriage	child
      1 the	marriage	business
      1 the	marital	meltdown
      1 the	marital	exit
      1 the	Manhattan	Institute
      1 The	Magazine	Topics
      1 the	magazine	ThemToo
      1 the	magazine	It
      1 the	magazine	Gay
      1 The	Magazine	Books
      1 the	loving	self
      1 the	loosening	relationship
      1 the	long	tradition
      1 the	logical	next
      1 the	likes	of
      1 the	lesson	of
      1 the	laws	and
      1 the	law	have
      1 the	law	asserted
      1 the	late	eighteenth
      1 the	kitchen	table
      1 the	Jacksonian	period
      1 the	issue	urged
      1 the	intrinsic	personal
      1 the	institution	too
      1 the	institution	The
      1 the	institution	that
      1 the	institution	s
      1 the	institution	retained
      1 the	institution	in
      1 the	institution	and
      1 the	individuals	in
      1 the	individual	rights
      1 the	ideal	of
      1 the	idea	that
      1 the	husband	moves
      1 the	hordes	of
      1 the	homestead	or
      1 the	historical	evolution
      1 the	historical	analogy
      1 the	habits	of
      1 the	Ground	Health
      1 the	greatest	amount
      1 The	great	irony
      1 The	gravity	of
      1 the	generation	now
      1 The	gay	advocates
      1 the	frontier	family
      1 the	fraying	of
      1 the	Founding	these
      1 The	Founders	wanted
      1 the	Founders	vision
      1 the	Founders	understood
      1 the	Founders	thought
      1 the	Founders	recognized
      1 The	Founders	probably
      1 the	Founders	Marriage
      1 the	Founders	had
      1 the	Founders	expected
      1 the	Founders	expect
      1 The	Founders	envisioned
      1 the	Founders	envisioned
      1 The	Founders	did
      1 the	Founders	brought
      1 The	Founders	believed
      1 The	foundations	of
      1 the	form	below
      1 The	Ford	Kavanaugh
      1 the	food	and
      1 the	first	place
      1 the	fireplace	Rauch
      1 the	fight	for
      1 the	father	exclaimed
      1 the	family	That
      1 the	family	life
      1 the	family	because
      1 the	familiar	anthropological
      1 the	faculties	of
      1 the	fact	that
      1 the	eye	says
      1 the	experience	of
      1 the	evolving	nature
      1 The	evolution	of
      1 the	event	of
      1 the	essence	of
      1 the	environment	in
      1 the	egalitarian	youthful
      1 the	edifice	in
      1 the	early	nineteenth
      1 the	drama	concerns
      1 the	door	This
      1 the	domestic	hearth
      1 the	divorce	revolution
      1 the	divorce	courts
      1 the	diversity	marriage
      1 the	demands	of
      1 the	demand	for
      1 the	definition	of
      1 the	decline	in
      1 the	debate	is
      1 the	debate	about
      1 the	days	before
      1 the	current	predicament
      1 The	courts	in
      1 The	court	rested
      1 the	couple	and
      1 the	country	to
      1 the	Continental	Congress
      1 the	consequent	change
      1 the	complex	and
      1 the	comparison	much
      1 the	Common	Man
      1 the	colonists	pioneer
      1 the	cold	I
      1 the	Civil	War
      1 the	civil	right
      1 the	children	some
      1 the	childhood	that
      1 the	child	insisted
      1 the	changes	in
      1 The	ceremony	confers
      1 the	case	that
      1 the	case	by
      1 the	captain	who
      1 the	boy	answered
      1 the	bow	and
      1 the	black	homosexual
      1 the	best	option
      1 the	beloved	This
      1 the	beasts	and
      1 the	battered	and
      1 the	basic	sociological
      1 the	basic	civil
      1 the	baby	s
      1 the	authoritarian	fathers
      1 the	author	of
      1 the	argument	that
      1 The	anthropologists	are
      1 The	answer	could
      1 the	American	Revolution
      1 the	American	past
      1 the	American	nation
      1 the	American	idea
      1 the	American	government
      1 the	American	form
      1 the	age	group
      1 the	affectionate	ties
      1 the	advocates	posit
      1 the	advocates	case
      1 the	1972	Stanley
      1 that	you	had
      1 that	you	chose
      1 that	would	nourish
      1 that	would	mirror
      1 that	worried	people
      1 that	went	beyond
      1 That	was	no
      1 That	was	history
      1 that	was	a
      1 that	vision	Gay
      1 that	tie	Little
      1 that	this	generation
      1 that	they	zeroed
      1 that	they	most
      1 that	these	mom
      1 that	there	was
      1 that	their	traditionalism
      1 that	their	own
      1 that	their	most
      1 that	their	embrace
      1 that	the	Supreme
      1 That	the	state
      1 that	the	same
      1 that	the	institution
      1 that	the	Founders
      1 that	the	family
      1 that	the	affectionate
      1 that	the	advocates
      1 that	that	s
      1 that	state	family
      1 that	state	concern
      1 that	state	bans
