      2 Submit	打开App
      1 第三个问题	我们实在想不出违反了具体哪一条道德
      1 第一个问题也可以简单理解成	同性恋是否会
      1 第一	艾滋病是一种慢性传染病
      1 符合整个人类的利益	当前
      1 站到和同性恋结婚的对方的立场来想一想	他们的利益该如何保障
      1 科学家改写繁殖规则	图
      1 离婚是终止伤害	防止伤害进一步深化的有效手段
      1 福尔摩斯	式侦查
      1 社会对女性的一些偏见	导致了同妻的受伤害程度往往比同夫更
      1 确实有些困难	然而让我们回到这些人最初的立
      1 确实同性恋合法化的问题对于很多异性恋来说没有直接的联系	因为没有根本的利益冲突
      1 相信这是在反同人士中呼声最高的观点之一了	对于这一观点
      1 相信他们内部也是经历了很多权衡利弊的大讨论的	圣经
      1 目前比较一致的看法是	既有先天因素
      1 的诸子	孔孟之
      1 的正面积极形象	一个对社会
      1 的执行	请开启后重新打开该页面
      1 的大招	几十万
      1 的各种依据	从伦理学角度系统阐释了同性恋现象存在的合理性
      1 百家争鸣	的诸子
      1 生活	以达到天下大同
      1 甚至还会有孤苦终老的风险	但是这只是站在他们自己角度的利益分析
      1 甚至最	后老死不相往来
      1 甚至以后可能没有孩子的选择要划算得太多	前一个选择的成本只是暂时克制自己的性欲和真正喜好
      1 理由之一是	同性之间不可以繁衍后代
      1 现如今很多争执和观念的冲突也是由于大多数人都从自己立场和利益的角度思考问题	因此产生分歧和对立的观点也再正常不过
      1 环模式	如果这个循环继续运转下去
      1 爱情中也存在着情感利益原则	我对你
      1 然而让我们回到这些人最初的立	足点
      1 然而她们同样面临着两种选择	隐忍下去和提出离婚
      1 然而他一开始就不稀罕你的好	除了为了让你安心替他生孩子带孩子哄哄你之外
      1 然而一	旦被问到如果自己的孩子是同性恋的话
      1 然后费劲心机搜索各方资料进	行
      1 然后生孩子	这样的一个选
      1 然后投海自尽	这似乎已经成了旅鼠这一种群的不变规则
      1 热门文章	下载简书
      1 灾难	这里的家族不仅限于同性恋者和其父母
      1 滥交的情况将会大大改善	艾滋的传染也会得到一定程度控制
      1 港	媒
      1 渐渐形成了一个罪恶的循	环模式
      1 消除偏见	以科学论据证明同性恋成因的先天性很重要
      1 泪女	著作权归作者所有
      1 法院称不构成骗婚	而和异性结婚的同性恋者
      1 法律很可能不予支	持
      1 法律	还有一个是道德
      1 法家之	法制
      1 法制	都是为了控制人们的私欲
      1 没有绝对的坏人	每个人都在进行着自己的利益最大化
      1 没有感染HIV的情况下	反
      1 没有人去打扰你们	你们就这样过一辈不就好了
      1 永远存于地球的方式	而当大部分旅鼠都认同于此看法并且将这种观念一代代往下流传时
      1 比如和同性正常交往	和同性组成家庭等
      1 比如受不了别人的眼神	一家人都会被别人指指点点
      1 每个人都有可	能被感染
      1 每个人都在进行着自己的利益最大化	罗振宇曾经在自己的自媒体节目中这样说道
      1 每个人在这个社会大家庭里	也能够安居乐业
      1 死亡大迁移	这是在靠暴露自己吸引天敌后依然不足以控制群体数之后
      1 死亡之旅	180
      1 正确的观点	和我们前面说的旅鼠想法出发点不谋而合
      1 正当权利	比如和同性正常交往
      1 正常人	一样
      1 根本原因就在于基于自己的倾向所要求的一些	正当权利
      1 样发展下去	整个地球都会被它们啃光
      1 树立这一群体	的正面积极形象
      1 权利	总之
      1 未来克隆方面技术如何进展	对于同性婚姻有何影响
      1 有更多的热情	所以当前同性恋婚姻想要得到基本认同
      1 有时甚至会带来辱骂和歧视还有其他有形无形的打击	自己的利益会受到的潜在伤害也
      1 有时候携	带者自己也不会发觉
      1 有时候乍听上去有点儿不可思议	但这么多年来企鹅种群一直还维持得好好的
      1 有悖于哪种道德	180
      1 有很多原因	说中国传统文化
      1 有利于更多的人享受到平等的	权利
      1 有人还会说	同性恋为什么要争取婚姻合法化
      1 有人提出以下疑问	1
      1 有些人反对同性恋婚姻合法化	理由之一是
      1 最近看到一篇科学研究报道	已经可以实现小白鼠两个卵细胞的同性繁殖技术了
      1 最近张国立的那条娱乐新闻可以说	是代表了中国不少家长的态度
      1 最终被挤下悬崖的企鹅会落入水中被海狮吃掉	而等海狮吃饱了
      1 最终我们人类会整个走向灭亡	相信这是在反同人士中呼声最高的观点之一了
      1 最根本的问题还是孩子的性倾向在当前中国这个社会环境下会	对自己和整个家族不利
      1 最后连一些国家的教会也不得不妥协	别忘了
      1 最后他们发现自己装得和	正常人
      1 更有甚者觉得自己人生黯淡	从而选择以自杀的方式来结束痛苦
      1 更容易获得支持	图片来源
      1 是指同时属于两个人的下一代的话	确实有些困难
      1 是因为爱你自己	我只是你的一颗卵子
      1 是因为我也想你对我好	然而他一开始就不稀罕你的好
      1 是代表了中国不少家长的态度	张国立将退休
      1 是不是非要是这两个人所生的下一代对于我们人类发展有很大影响吗	中国古代领
      1 春秋战国时期	百家争鸣
      1 旦被问到如果自己的孩子是同性恋的话	他们的态度如何
      1 日常生活中对自己也不关心	这时候她一般会有两方面推测
      1 既有法律层面的意义	也具有道德层面的意义
      1 既有先天因素	也有后天环境影响
      1 无论大家对彼此多么深爱	为了双方的健康
      1 无法得到下一代	因此同意同性恋婚姻合法化就是
      1 无奈之下求助于被称为无所不知的百度和学术权威的知网	搜索关键词
      1 无后为大的话	就又回到我们上面的问
      1 旅鼠自杀	企鹅
      1 旅鼠的繁殖能力在所有的动物中独一无二	仅仅需要半年的时间
      1 旅鼠之谜	旅鼠的繁殖能力在所有的动物中独一无二
      1 断背山	旅鼠自杀
      1 文中貌似更加强	调是自然的干涉
      1 整个社会的态度已经趋	向温和
      1 整个地球都会被它们啃光	到时候自己的子孙后代怎么生存
      1 教会也是有自己的利益的	面临承认同性恋还是惩罚同性恋这两个选
      1 搜索关键词	同性恋违背传统道德
      1 提出离婚的女性首先考虑的是自己作为一个女人的权利	认识更多的是自我的价值
      1 提供科学依据	一方面需要法律和伦理专家的不断探索
      1 提供理论保障和支持	还需
      1 提供了可趁之机	我们在此也呼吁同性恋人群
      1 推荐各位去关注一篇06年西南大学伦理学硕士周	俪的一篇论文
      1 接受世界的赞赏	Submit
      1 接下来他主要就高阳先生编著的	慈禧全传
      1 探寻性自由的伦理界限	其中就非常详细地介绍了中国同性恋的历史渊源和态度演变以及西方反同
      1 持	婚后发现丈夫同性恋
      1 择要比出柜	去交往一个没有任何保障的同性
      1 择的代价有可能会让自己以后不管是工作的道路还是生活的道路都会走得磕磕绊绊	甚至还会有孤苦终老的风险
      1 择时	相信他们内部也是经历了很多权衡利弊的大讨论的
      1 担心自己的孩子在自己走了之后没人照料	孤苦一生等等
      1 护自己作为人的权利和利益进行不断斗争	最后连一些国家的教会也不得不妥协
      1 把大海当作自己的最终归宿	文中貌似更加强
      1 打开App	热门文章
      1 打开App	没有绝对的坏人
      1 所谓	螳螂捕蝉
      1 所以这些主张无所谓对错	都是为了整个国家层面上的
      1 所以这一说法说不通的	参考国外同性恋婚姻
      1 所以综合以上来看	说同性婚姻合法化不利于人类长足发展这一看法基本可以视为不靠谱
      1 所以现在人们一般也称之为	安全套
      1 所以当前同性恋婚姻想要得到基本认同	消除偏见
      1 所以它想出了这个办法	前半生留守家乡
      1 所以它对人们私欲的约束作用不	言而喻
      1 所以它们每次想下海捕鱼之前	都会在崖边凑成一团
      1 所以在人类社会	我们发明了两样东西
      1 所以在交往过程中	产生点摩擦
      1 所不同的是以己之利害及他们利益的行为	各家的主张又有一些差异
      1 或者通奸	那么不管在法律上还是道德上
      1 或者说是表面的理由	最根本的问题还是孩子的性倾向在当前中国这个社会环境下会
      1 我甚至看到一部韩国电视剧中哥哥被发现是同性恋	一家人都在担心弟弟
      1 我当然愿意认可你们	所以综合以上来看
      1 我对你	好
      1 我只是你的一颗卵子	一个制造小孩的机器
      1 我受不了别人的眼光	这都是社会
      1 我们首先还需要解决的几个问题是	1
      1 我们认为	第一
      1 我们被同性恋欺骗	希望法律保护我们
      1 我们表示关注	港
      1 我们能够看到的是	同性恋在西方一直以来被视为特别是被宗教势力看作是一种罪恶
      1 我们甚至可以这样说	艾滋病的传播和这个社会对同性恋和同性婚姻的认可度息息相关
      1 我们没有理由去批评他们的思想保守或者落后	因为整个社会的氛围还不至于让别人忽略家
      1 我们每个人都想获取尽可能多的利益	所以在交往过程中
      1 我们来看看	这是不是都是以自家的利益为出发点考虑的
      1 我们实在想不出违反了具体哪一条道德	无奈之下求助于被称为无所不知的百度和学术权威的知网
      1 我们在此也呼吁同性恋人群	无论大家对彼此多么深爱
      1 我们发明了两样东西	一个是
      1 我们	再来换一个角度
      1 我也不想这样	都是我家里人逼的
      1 我为什么不去接受	还
      1 成的不利影响很难弥补	更有甚者觉得自己人生黯淡
      1 慈禧全传	为蓝本
      1 感染比例高和这一人群性伴侣数	多有直接关系
      1 想要幸福和甜蜜根本无处找寻	在婚姻里
      1 想要个孙子	传宗接代
      1 想想都觉着可怕	我们甚至可以这样说
      1 您的运行环境禁止了	JavaScript
      1 总之	同性婚姻合法化将会促进更多人各安其位地去生活
      1 性病预防双重功能	所以现在人们一般也称之为
      1 性爱往往也是草草了事	日常生活中对自己也不关心
      1 性本善	认为需要通过教化来使之认识到自己
      1 性倾向是否可以被纠正	对于同性恋成因目前学术界还没有非常确凿的证据
      1 性倾向是否可以主观选择	1
      1 必须对涉及这两方面的法律进行修订	道德方面约束力的
      1 得不到大众的认可	有时甚至会带来辱骂和歧视还有其他有形无形的打击
      1 律根本目的都是为了约束人类的私欲	使大家产生意识自觉
      1 律师称离婚或得不到支持	这无形中又对同妻造成了二次伤害
      1 很多人认为	同性之间不能产生下一代
      1 形成需要时间比较长	而且可操作性不如法律强
      1 当然从我们之前提到的利益观角度来看	也需要同性恋团体不断争取自己的权利的同时
      1 当接受孩子性倾向不会给自己给家族带去任何负担	我为什么不去接受
      1 当前	实现同性婚姻合法化这条路任重而道远
      1 张国立将退休	儿子别领个男朋友回家就行
      1 式侦查	侦查不出就又会陷入前一种推测
      1 并且这个状态还会维持相当一段时间	根本原因就在于基于自己的倾向所要求的一些
      1 并且它的功能也从先前的避孕发展到现在的避孕	性病预防双重功能
      1 带者自己也不会发觉	在同性恋人群中只要双方自愿
      1 希望法律保护我们	在之前很长一段时间同性恋人群在整个社会的氛围中都处于相对压抑的状态
      1 已经证明没有任何影响	在这里不详细赘述
      1 已经可以实现小白鼠两个卵细胞的同性繁殖技术了	未来克隆方面技术如何进展
      1 己的魅力产生怀疑	长此以往作为女人的自尊势必大打折扣
      1 己的正当利益受到了伤害	离婚是终止伤害
      1 就比如孟子主张	性本善
      1 就比如其中一点	也是一直以来遭反同人士经常诟病的
      1 就是其中一例	这是14年5月凤凰卫视
      1 就拿同性恋婚姻该不该立法这件	事来说
      1 就又回到我们上面的问	题上去了
      1 就会形成一种示范效应	让越来越多的人喜欢同性
      1 将更加深入人心	但是一旦同性恋被证明是完全后天的
      1 导致了同妻的受伤害程度往往比同夫更	大
      1 对这种看法	我们认为
      1 对自己和整个家族不利	比如受不了别人的眼神
      1 对社会造成的负面影响将是非常巨大的	同性婚姻合法化
      1 对整个家庭的责任心势必大打折扣	继而产生的
      1 对当前中国社会中同性恋现象的伦理分析	探寻性自由的伦理界限
      1 对国家有用的群体	更容易获得支持
      1 对人和人权关注的不断深入	越来越多的同性恋者为了维护自己的权利进行了各种形式的反抗和维权斗争
      1 对于这一观点	有人提出以下疑问
      1 对于同性恋成因目前学术界还没有非常确凿的证据	目前比较一致的看法是
      1 对于同性婚姻有何影响	我们表示关注
      1 实现同性婚姻合法化这条路任重而道远	一方面需要科研的创新突破
      1 安全套	但仅仅靠它来控制
      1 守茗	简书作者
      1 它所规定的内容如何实施和执行	还要赖以掌握实权的人怎样进行解
      1 它们剩下的企鹅就可以安心地跳入水享受大餐了	这是企鹅之间奇妙的法则
      1 孩子就成了她利益权衡的重要砝码	然而她们同样面临着两种选择
      1 孤苦一生等等	我们来看看
      1 孔孟之	仁
      1 媒	两颗卵子产健康幼鼠
      1 婚姻里的双方也都是有各自的利益的	发生冲突那是再正常不过的事情了
      1 婚姻诈骗	再加上女性在社会角色和社会分工的地位都比男性要低
      1 婚姻是一个抽象的概念	但它包含的内容非常丰富
      1 婚后发现丈夫同性恋	律师称离婚或得不到支持
      1 娶不到媳妇的忧虑之中的例子	而假设我们社会到了可以接受同性婚姻合法化的阶段
      1 如果这里的	下一代
      1 如果这个循环继续运转下去	对社会造成的负面影响将是非常巨大的
      1 如果证明是先天的	那么2
      1 如果科学家或者心理学家在以后的科研中能够拿	出一份具有说服力的证明同性恋是先天或者后天的报告
      1 如果照这样慢慢发展下去	同性恋感染艾滋病的人数将会越来越多
      1 如果拿出中国人那句老话	不孝有三
      1 如果对方不同意	法律很可能不予支
      1 如果同性婚姻一直不被承认的话	也会给这个群体之外的其他人带去利益伤害
      1 如果可以选择	为什么选择同性
      1 好	是因为我也想你对我好
      1 她们认为自	己的正当利益受到了伤害
      1 她们认为孩子作为自己长远利益的承载体	高于一切
      1 她们更会觉得五雷轰顶	原来你和我结婚不是因为爱我
      1 她们完全沦为了弱势群体	利益受到侵害
      1 女博士因丈夫是同性恋跳楼	法院称不构成骗婚
      1 大部分年轻人对同性恋的态度已经比较宽容和接受	这个我们从平时的社交媒体的舆论方面也已经可以切身体会到
      1 大家对于同性婚姻及其社会影响尚缺乏一个全面系统的认识	渐渐形成了一个罪恶的循
      1 大家在	网上也讨论得激烈
      1 大多很隐蔽	再加上艾滋病本身潜伏期长
      1 大	同妻们在婚姻会发现自己的丈夫好像并不对自己那么感兴趣
      1 多有直接关系	为什么很多同性恋者性伴侣数那么多呢
      1 墨家之	义利
      1 在这里不详细赘述	另外
      1 在这里	我们没有理由去批评他们的思想保守或者落后
      1 在这里	同性恋群体为了维
      1 在这其中有相当一部分人抱着的态度是	与我无关
      1 在谋求自己利益的同时尽量不去损害他人利益	这样就避免过多纷争
      1 在实现同性婚姻合法化之前	必须对涉及这两方面的法律进行修订
      1 在婚姻里	一旦一个人不爱了
      1 在同性恋人群中只要双方自愿	做得够隐蔽
      1 在发生性关系时一定要使用安全套	不要用所谓生理的快感挑战生命
      1 在之前很长一段时间同性恋人群在整个社会的氛围中都处于相对压抑的状态	并且这个状态还会维持相当一段时间
      1 在20世纪90年代初世界卫生组织把同性恋从	精神病
      1 圣经	只是一本不会说话的书
      1 图片来源	断背山
      1 图文无关	这个时候
      1 图	第三个问题
      1 因此同意同性恋婚姻合法化就是	纵容这种有悖道德的行为
      1 因此同性恋即使和异性结婚	他们的婚姻往往不太和谐
      1 因此产生分歧和对立的观点也再正常不过	就拿同性恋婚姻该不该立法这件
      1 因为没有根本的利益冲突	然而一
      1 因为整个社会的氛围还不至于让别人忽略家	中的一个同性恋会给整个家族带来的
      1 因为在目前这个社会氛围下	他们的关系不敢公开
      1 因为和男女婚姻一样	双方有一方出轨
      1 因为他会考虑自己利益更甚	因此同性恋即使和异性结婚
      1 因	为如果每个人都这样想的话
      1 善	而商鞅等人却主张通过加重刑罚来惩罚不遵守法规者
      1 和谐幸福地去生活	符合整个人类的利益
      1 和自己结合的目的不是出于爱情	想要幸福和甜蜜根本无处找寻
      1 和我们前面说的旅鼠想法出发点不谋而合	首先让我们来看一下持这一观点的思维逻辑走向
      1 和同性组成家庭等	得不到大众的认可
      1 向温和	在这其中有相当一部分人抱着的态度是
      1 向大海进发	然后投海自尽
      1 后老死不相往来	这个不是最可怕的
      1 后半生追求死亡	这才是让它们这个种群
      1 名册中删除这一行动中看到目前官方比较一致的看法	一旦同性恋可以被证明是先天的
      1 同样会觉得委屈	我也不想这样
      1 同时	如果同性婚姻一直不被承认的话
      1 同性选择的卑鄙性	进而对纠正和治疗同性恋抱
      1 同性恋违背传统道德	大家在
      1 同性恋群体为了维	护自己作为人的权利和利益进行不断斗争
      1 同性恋是否会	传染
      1 同性恋成因	先天还是后天
      1 同性恋感染艾滋病的人数将会越来越多	想想都觉着可怕
      1 同性恋感染人群比例的确偏大	而且还有逐年上升趋势
      1 同性恋容易带来艾滋病	问题
      1 同性恋婚姻合法化和同性恋人群扩大的关系	2
      1 同性恋婚姻一旦合法化	就会形成一种示范效应
      1 同性恋在西方一直以来被视为特别是被宗教势力看作是一种罪恶	但是随着
      1 同性恋为什么要争取婚姻合法化	你们两个人在一起互相爱着
      1 同性婚姻合法化将会促进更多人各安其位地去生活	和谐幸福地去生活
      1 同性婚姻合法化	让同性恋享有和异性恋一样的权利和自由
      1 同性和同性之间是否真的无法得到下一代	3
      1 同性和同性之间不能生育	无法得到下一代
      1 同性之间不能产生下一代	如果这里的
      1 同性之间不可以繁衍后代	不利于人类发展
      1 同妻和同夫	就是其中一例
      1 同妻们在婚姻会发现自己的丈夫好像并不对自己那么感兴趣	性爱往往也是草草了事
      1 同妻	我们被同性恋欺骗
      1 各家的主张又有一些差异	就比如孟子主张
      1 各安其位	婚姻是一个抽象的概念
      1 可怕的是由此带来的复仇心理和一系列不利于社会稳定	人类和谐的因素将纷繁踏至
      1 可以参考男女婚姻对于一个国家一个社会甚至整个人类发展的重要性	前面已经说过
      1 叫做	旅鼠之谜
      1 只要承认你们合法性给我带来的好处大于不足	我当然愿意认可你们
      1 只是一本不会说话的书	它所规定的内容如何实施和执行
      1 另外一方面还有很多人为了所谓的生理快感拒绝使用	给疾病的传播
      1 另外一方面也能在很大程度上避免和减少对婚姻对方的伤害	有利于更多的人享受到平等的
      1 另外	最近看到一篇科学研究报道
      1 变得阴暗	二是怀疑丈夫有外遇
      1 受到一些伤害也是在所难免	但是这个社会也需要一些东西来制衡无节制的自我获取
      1 发生冲突那是再正常不过的事情了	马上就可能持续升级
      1 反	而收获了性的愉悦和无拘无束的放荡
      1 双方有一方出轨	或者通奸
      1 双方一旦发生不和	婚姻里的双方也都是有各自的利益的
      1 参考国外同性恋婚姻	一般同性之间产生下一代有两种途径
      1 去交往一个没有任何保障的同性	甚至以后可能没有孩子的选择要划算得太多
      1 原来你和我结婚不是因为爱我	是因为爱你自己
      1 印象深刻的还有他其中举的一个例子	说南极的企鹅想下海捕鱼
      1 前面已经说过	道德和法
      1 前半生留守家乡	后半生追求死亡
      1 前一个选择的成本只是暂时克制自己的性欲和真正喜好	而后一个选
      1 到时候自己的子孙后代怎么生存	所以它想出了这个办法
      1 别说	那张证书还真是蛮重要的
      1 别忘了	教会也是有自己的利益的
      1 利益受到侵害	而且很多时候这种侵害造
      1 利影响	这方面对比研究欧美一些同性婚姻合法化国家已经做了很多
      1 创造有利条件	当然从我们之前提到的利益观角度来看
      1 创造出更多社会价值	树立这一群体
      1 创作你的创作	接受世界的赞赏
      1 创作你的创作	免费下载
      1 创作你的创作	
      1 出一份具有说服力的证明同性恋是先天或者后天的报告	这个意义无疑将是划时代的
      1 几百万的旅鼠日夜征程	向大海进发
      1 几十万	几百万的旅鼠日夜征程
      1 冷暖人生	节目的一段视频和文字实录
      1 冲突和矛盾也会不断增多和升级	因为他会考虑自己利益更甚
      1 再这	样发展下去
      1 再来换一个角度	站到和同性恋结婚的对方的立场来想一想
      1 再有就是回避世	俗的眼光
      1 再加上艾滋病本身潜伏期长	有时候携
      1 再加上女性在社会角色和社会分工的地位都比男性要低	社会对女性的一些偏见
      1 内心的	善
      1 养还有过继现象并不鲜见	中国人口依然发展到如此规模
      1 具体原因我们也可以列举很多	可以参考男女婚姻对于一个国家一个社会甚至整个人类发展的重要性
      1 其实这是一个非常复杂的问题	有些人反对同性恋婚姻合法化
      1 其实在当今中国社会	大部分年轻人对同性恋的态度已经比较宽容和接受
      1 其实乍看起来是一个非常	正确的观点
