      2 Submit	打开App
      1 性恋者颁发结婚证	这些现象不仅揭示了利用立法来提高社会接纳程度这一立法条件存在逻辑上的错误
      1 志或少数人的意志为依归	而在当今的中国
      1 很难真正保护同性恋者的合法权益	同性恋者的婚姻诉求实际上体现了他们对于得到彼此身份认可以及婚
      1 当今中国同性恋婚姻应不应该合法化	反方
      1 开宗明义	合法化即为合乎法律
      1 工作中的歧视	家人的不理解
      1 将有可能危及政府的司法威严	如果将同性婚姻合法化作为同性恋运动和司法推动的结果
      1 对方辩友	大家好
      1 家人的不理解	中国科
      1 姻权利的需求	但现实是
      1 如果越过观念普及的环节进行立法	将有可能危及政府的司法威严
      1 如果将同性婚姻合法化作为同性恋运动和司法推动的结果	而非建立在社会对同性婚姻
      1 大家好	开宗明义
      1 在社会大众理解度不高的情况下	他们很可能面临更大的压力
      1 在当今中国的社会背景下实现同性婚姻的合法化	很难真正保护同性恋者的合法权益
      1 在当	今中国尚且没有达到同性婚姻的立法要求的背景下
      1 因此	我方坚持
      1 同性爱的认识主要分为三个阶段	同
      1 同性爱无罪但反常	病态
      1 同性爱与异性爱一样	是一种正常的性取向
      1 同性恋者的婚姻诉求实际上体现了他们对于得到彼此身份认可以及婚	姻权利的需求
      1 同性恋与异性恋平等的观念尚未普及	社会接纳程度的低水平造成了不应该为同性婚姻立法的现实
      1 同性婚姻在当今中国不应该合法化	著作权归作者所有
      1 同	性爱有罪论
      1 合法化即为合乎法律	立法法
      1 只有通过宣传教育使公众理解同性恋与异性恋的平等关系才能推演至同性婚姻的合理	因此
      1 发呆的麻薯	简书作者
      1 反方	一辩
      1 原因如下	首先
      1 创作你的创作	接受世界的赞赏
      1 创作你的创作	免费下载
      1 创作你的创作	
      1 其中的民主原则明确说明立法应当体现广大人民的意志和要求	而不是以政府的意
      1 免费下载	当今中国同性恋婚姻应不应该合法化
      1 依照	立法法
      1 例如	荷兰通过了同性恋婚姻法导致加勒比岛岛民集体抗议
      1 但现实是	法律的承认即为事实上的公开
      1 他们很可能面临更大的压力	工作中的歧视
      1 今中国尚且没有达到同性婚姻的立法要求的背景下	中国同性恋爱自由而婚姻不应该合法化
      1 五千年的伦理纲常使人们视同性恋为洪水猛兽	不可否认在社会的进步中人们的观念有所改变
      1 中国科	技水平和社会福利决定了他们拥有后代的困难和晚年的缺少保障
      1 中国的传统伦理观导致人们对于同性恋的接纳程度较低	五千年的伦理纲常使人们视同性恋为洪水猛兽
      1 中国同性恋调查	显示40
      1 中国同性恋爱自由而婚姻不应该合法化	原因如下
      1 中国只有转型至第三阶段	才能达到同性恋婚姻法的立法要求
      1 不可否认在社会的进步中人们的观念有所改变	然
      1 下载简书	创作你的创作
      1 万人上街反对同性恋婚姻法案	更有甚者
      1 一辩	180
      1 png	创作你的创作
      1 misc	logo
      1 logo	创作你的创作
      1 logo	805143dd
      1 JavaScript	的执行
      1 805143dd	png
      1 5	的人认为同性恋是一种心理扭曲
      1 4的投票结果出台同性婚姻法后	美国德州最高检察官竟宣称其所属郡县的工作人员仍可拒绝给同
      1 2016	03
      1 180	发呆的麻薯
      1 17	09
      1 13	17
      1 09	Submit
      1 03	13
      1 __________________________________________________________________	misc
