      3 镜头	科技
      1 科技	科技公司
      1 祁家威赞成修改	民法
      1 祁家威在接受采访时表示	为同性结合制定一部单独的法律将是
      1 祁家威在公开宣布自己是同性恋后被捕	当时台湾仍处在
      1 社会	中外关系
      1 看到我回不去的婚姻	在谷歌地图上
      1 看到我回不去的婚姻	5
      1 相关议案去年表现出来的势头逐渐消失	实际上
      1 相关报道	台湾同志在北京看同性婚姻合法化
      1 电影与电视	体育
      1 生活方式	观点与评论
      1 王	Woody
      1 然而	自那以后
      1 点击查看本文英文版	相关报道
      1 点击下载iOS	App
      1 点击下载Android	App
      1 点击下载Android	APK
      1 漫画	更多
      1 港澳台	商业与经济
      1 测试台湾的成熟度	今年春天
      1 法庭在新闻稿中写道	如果立法机关未来两年的修订案或者立法没有通过
      1 民法	或是制定针对同性恋配偶的法律
      1 民法	将婚姻定义为两
      1 民法	将婚姻仅视为在男女之间有效的定义
      1 每个人都非常开心	台湾同性恋家庭权利倡导者伍迪
      1 正接受美国检方调查	华为被指窃取知识产权
      1 正接受美国检方调查	4
      1 正值多项意在让同性婚姻合法化的议案在通过去年年底的初读后陷入停滞	当前的立法会议周期将于5月31
      1 欧洲	中东
      1 有重要意义的裁决	发起过一项同性婚姻议案的在野党国民党立委许毓仁
      1 最受欢迎	1
      1 曾在竞选期间宣布自己支持同性婚姻	称
      1 更多	镜头
      1 时政	经济
      1 时尚	美食与美酒
      1 日结束	下一个周期将于9月开始
      1 文身禁令下的中国足球运动员	长袖上阵
      1 文身禁令下的中国足球运动员	8
      1 文化	阅读
      1 数以百计在立法机关外观看大屏幕电视直播的支持者爆发出欢呼声	每个人都非常开心
      1 教育	旅游
      1 推翻了	民法
      1 承认	本月
      1 执政的民进党可能不愿推动遭到了保守派团体	以及台湾中部和南部教会强烈反对的
      1 房地产	免费下载
      1 或是制定针对同性恋配偶的法律	法庭在新闻稿中写道
      1 戒严时期	在亚洲
      1 我认为这是一个重要的	有重要意义的裁决
      1 我想呼吁总统和立法院的同仁推进这个裁决	向世界展示台湾进步的价值观
      1 我们希望不用再等待两年才能结婚	她与加拿大伴侣的婚姻在台湾无法获得
      1 我们不想看立法机关动摇	同志人权法案游说联盟的辛迪
      1 德国还能坚持多久	在中美间
      1 德国还能坚持多久	3
      1 当时台湾仍处在	戒严时期
      1 当台北街头被支持和反对同性婚姻的集会占领时	她的沉默令一些视她为盟友的人大吃一惊
      1 当前的立法会议周期将于5月31	日结束
      1 庆祝的人群	周三
      1 庆祝的人群	Tyrone
      1 小	_
      1 将婚姻定义为两	个配偶的结合
      1 将婚姻仅视为在男女之间有效的定义	为台湾成为亚洲第一个承认同性婚姻的地方铺平了道路
      1 导弹工厂	报告称朝鲜官媒隐瞒金正恩访问
      1 导弹工厂	9
      1 对祁家威来说	周三的释宪是为争取更广泛权利而展开的数十年斗争中取得的又一个进步
      1 对我们来说	只有一个选择
      1 审理祁家威和台北政府所提申请的公告	让唯恐受影响的立委得以推迟处理这个问题
      1 实际上	2月发出的有关宪法法院会
      1 它在拒绝批准同性伴侣的婚姻申请后遭到了起诉	这个正式名字叫司法院大法官的机构作出释宪之际
      1 字体大小	_
      1 如果立法机关未来两年的修订案或者立法没有通过	那么同性恋伴侣
      1 她的沉默令一些视她为盟友的人大吃一惊	12月31日
      1 她对法院的裁决感到	兴奋和骄傲
      1 她与加拿大伴侣的婚姻在台湾无法获得	承认
      1 大家都是平等的	然而
      1 大	_
      1 在爱之前	大家都是平等的
      1 在多个反对同性婚姻议案的团体威胁要动员选民反对支持议案的立委后	相关议案去年表现出来的势头逐渐消失
      1 在回答有关她对同性婚姻合法化期望的问题时	蔡英文说她认为台湾对这个问题的处理会
      1 在亚洲	各国的情况都不一样
      1 在中国被判死刑的加拿大男子将上诉	在中国被判死刑的加拿大男子将上诉
      1 在中国被判死刑的加拿大男子将上诉	6
      1 国际	亚太
      1 商业与经济	全球经济
      1 和	Android
      1 周三的释宪是为争取更广泛权利而展开的数十年斗争中取得的又一个进步	1986年
      1 周三	台湾宪法法庭作出释宪
      1 向世界展示台湾进步的价值观	鉴于地方选举和总统大选将分别于2018年和2020年举行
      1 同性婚姻立法	去年上台的总统蔡英文
      1 同志人权法案游说联盟的辛迪	苏
      1 各国的情况都不一样	他说
      1 台湾有望实现同性婚姻合法化	Blued和它的同性恋社区梦想
      1 台湾有望实现同性婚姻合法化	2016年11月21日
      1 台湾抗议活动呼吁同性婚姻合法化	台北
      1 台湾抗议活动呼吁同性婚姻合法化	2014年5月23日
      1 台湾将成亚洲首个同性婚姻合法化地区	CHRIS
      1 台湾宪法法庭作出释宪	推翻了
      1 台湾同性恋家庭权利倡导者伍迪	王
      1 台湾同志在北京看同性婚姻合法化	台湾有望实现同性婚姻合法化
      1 台湾同志在北京看同性婚姻合法化	2016年12月29日
      1 台湾台北	周三
      1 可向户政机关办理结婚之登记	周三
      1 只有一个选择	祁家威在接受采访时表示
      1 发起过一项同性婚姻议案的在野党国民党立委许毓仁	Hsu
      1 双语	英文
      1 去年上台的总统蔡英文	Tsai
      1 去年	11月和12月
      1 南亚	美国
      1 出版语言	ENGLISH
      1 其中一个申请者是资深同性恋权利运动人士祁家威	祁家威赞成修改
      1 兴奋和骄傲	但也渴望尽快通过立法
      1 全球经济	中国经济
      1 免费下载	纽约时报中文网
      1 促使它们考虑跟随台湾的脚步	赋予男女同性恋结婚的权利
      1 体育	风尚
      1 但这肯定会给不同的社会一些鼓励	促使它们考虑跟随台湾的脚步
      1 但也渴望尽快通过立法	苏说
      1 以及台湾中部和南部教会强烈反对的	同性婚姻立法
      1 他说	但这肯定会给不同的社会一些鼓励
      1 他认为	针对男女同性恋分别制定婚姻法是不可接受的
      1 今年春天	在多个反对同性婚姻议案的团体威胁要动员选民反对支持议案的立委后
      1 交易录	文化
      1 亚太	南亚
      1 为同性结合制定一部单独的法律将是	一场灾难
      1 为台湾成为亚洲第一个承认同性婚姻的地方铺平了道路	立法机关现在有两年的时间修改
      1 中英双语	双语
      1 中文	中
      1 中外关系	港澳台
      1 中国经济	交易录
      1 中国人口危机迫在眉睫	负增长
      1 中国人口危机迫在眉睫	2
      1 中国	时政
      1 中国	中文
      1 中东	非洲
      1 中	中英双语
      1 中	_
      1 个配偶的结合	他认为
      1 专栏作者	观点
      1 下一个周期将于9月开始	我认为这是一个重要的
      1 一条反对台湾宪法法庭释宪的横幅	周三
      1 一条反对台湾宪法法庭释宪的横幅	Sam
      1 一场灾难	第二个申请者是台湾首府台北的市政府
      1 一名女同性恋在同性伴侣的陪同下在台北试穿婚纱	本月
      1 一名女同性恋在同性伴侣的陪同下在台北试穿婚纱	Tyrone
      1 Yu	jen
      1 York	Times
      1 Yeh	Agence
      1 Woody	Wang
      1 wen	曾在竞选期间宣布自己支持同性婚姻
      1 Wang	表示
      1 Tsai	Ing
      1 tr	id
      1 Times	Company
      1 The	New
      1 Su	说
      1 Sam	Yeh
      1 Reuters	该法庭是在收到要求重审现行法律的两个申请后作出这个释宪的
      1 Reuters	台湾台北
      1 Presse	Getty
      1 PageView	noscript
      1 noscript	1
      1 New	York
      1 jen	说
      1 iOS	和
      1 Ing	wen
      1 Images	该释宪宣布后
      1 id	592202027582499
      1 Hsu	Yu
      1 HORTON	2017年5月25日
      1 Getty	Images
      1 France	Presse
      1 ev	PageView
      1 ESPAÑOL	西班牙语
      1 ENGLISH	英语
      1 Company	
      1 Cindy	Su
      1 CHRIS	HORTON
      1 Blued和它的同性恋社区梦想	台湾抗议活动呼吁同性婚姻合法化
      1 Blued和它的同性恋社区梦想	2016年12月19日
      1 App	点击下载iOS
      1 APK	2019
      1 Android	App
      1 alternate	tr
      1 Agence	France
      1 9	面对中国这个危险的对手
      1 8	报告称朝鲜官媒隐瞒金正恩访问
      1 7	长袖上阵
      1 6	36小时玩转罗马
      1 592202027582499	ev
      1 5	在中国被判死刑的加拿大男子将上诉
      1 4	在谷歌地图上
      1 36小时玩转罗马	7
      1 36小时玩转罗马	36小时玩转罗马
      1 3	华为被指窃取知识产权
      1 2月发出的有关宪法法院会	审理祁家威和台北政府所提申请的公告
      1 2019	The
      1 2017年5月25日	周三
      1 2016年12月29日	台湾同志在北京看同性婚姻合法化
      1 2016年12月19日	Blued和它的同性恋社区梦想
      1 2016年11月21日	台湾有望实现同性婚姻合法化
      1 2014年5月23日	台湾抗议活动呼吁同性婚姻合法化
      1 2012年12月10日	台北
      1 2	在中美间
      1 1986年	祁家威在公开宣布自己是同性恋后被捕
      1 12月31日	蔡英文同台湾和外国的记者见面
      1 11月和12月	当台北街头被支持和反对同性婚姻的集会占领时
      1 10	中企欲获菲律宾造船厂控制权
      1 1	负增长
      1 1	国际
      1 _	超大
      1 _	小
      1 _	大
      1 _	中
