      7 Françoise	Dekeuwer	Défossez
      1 un	couple	hétérosexuel
      1 un	couple	et
      1 un	contrat	d
      1 un	contexte	qui
      1 un	conjoint	étranger
      1 un	certain	type
      1 un	célibataire	que
      1 un	cas	manifeste
      1 un	bouleversement	de
      1 UMP	a	contesté
      1 ultérieurement	illégales	et
      1 type	se	produiront
      1 type	pragmatique	On
      1 type	de	thèse
      1 type	d	union
      1 Twitter	Bouton	RSS
      1 twitter	Bouton	imprimer
      1 trouvent	pas	dans
      1 tromper	de	débat
      1 trois	après	la
      1 très	utile	de
      1 très	suggestives	de
      1 très	remarquable	arrêt
      1 très	problématique	du
      1 très	net	au
      1 très	incertaine	le
      1 très	différente	Les
      1 très	abondante	voir
      1 traumatisme	causé	par
      1 transgression	un	bouleversement
      1 trame	d	une
      1 traditionalisme	qui	aurait
      1 tradition	catholique	on
      1 toutes	les	techniques
      1 toutes	les	obligations
      1 toutes	les	formations
      1 toutes	les	autres
      1 toutes	façons	face
      1 toutefois	une	solution
      1 toute	une	série
      1 toute	la	cellule
      1 tout	un	ensemble
      1 tout	simplement	que
      1 tout	simplement	pas
      1 tout	risque	de
      1 tout	le	monde
      1 tout	du	moins
      1 tout	droit	aux
      1 tout	de	même
      1 tout	à	craindre
      1 tous	présenté	le
      1 tous	les	cas
      1 tous	la	Gestation
      1 tous	Ils	peuvent
      1 tous	et	aux
      1 Tous	droits	réservés
      1 Tours	France	contacts
      1 toujours	une	figure
      1 touche	à	des
      1 tort	lorsqu	il
      1 tort	car	l
      1 tort	7	Mais
      1 titre	ouvert	aux
      1 titre	de	séjour
      1 titre	comme	elle
      1 tient	au	droit
      1 tient	à	cette
      1 tienne	compte	Ce
      1 thèses	psychanalytiques	ou
      1 thèses	d	une
      1 thèse	ne	fait
      1 thèse	a	pour
      1 Théry	est	beaucoup
      1 Théry	auteur	en
      1 théorique	Le	Monde
      1 Thèmes	Revenus	patrimoine
      1 thème	Rechercher	Accueil
      1 Territoires	Europe	Monde
      1 termes	Il	faut
      1 termes	de	parentalité
      1 termes	d	homoparentalité
      1 terme	à	l
      1 tenu	bon	Et
      1 tentés	de	répondre
      1 tenter	de	dissuader
      1 tenir	prêt	à
      1 tenir	par	avance
      1 tenir	ou	de
      1 tenir	dans	une
      1 tendu	qui	devrait
      1 tend	aujourd	hui
      1 tend	à	se
      1 temps	autres	mœurs
      1 telle	solution	D
      1 telle	démarche	cette
      1 télé	que	la
      1 tel	critère	cela
      1 tel	Cette	thèse
      1 tel	cas	de
      1 Taubira	Le	Monde
      1 tant	que	tel
      1 tant	que	célibataire
      1 taisons	nous	Le
      1 t	on	alors
      1 t	il	une
      1 t	il	besoin
      1 t	elle	il
      1 t	elle	doctement
      1 système	de	droit
      1 symbolique	supposant	toujours
      1 symbolique	et	une
      1 Sylvie	Faure	Pragier
      1 susceptible	en	effet
      1 susceptible	de	permettre
      1 survivant	puisse	conserver
      1 survivant	8	Sur
      1 surtout	l	inconvénient
      1 Surtout	et	l
      1 sûres	et	significatives
      1 sur	une	union
      1 sur	une	série
      1 sur	un	point
      1 Sur	un	plan
      1 sur	le	plan
      1 sur	la	volonté
      1 sur	la	procréation
      1 sur	la	pauvreté
      1 sur	la	nature
      1 sur	la	différenciation
      1 sur	l	homoparentalité
      1 sur	l	évaluation
      1 sur	l	altérité
      1 sur	l	adoption
      1 sur	I	télé
      1 Sur	cette	question
      1 sur	cette	question
      1 sur	cette	évolution
      1 Sur	cette	association
      1 sur	ces	questions
      1 sur	ces	problèmes
      1 sur	bien	d
      1 Suprême	du	Massachusetts
      1 suppose	d	avoir
      1 suppose	aussi	qu
      1 supposant	toujours	une
      1 Suivez	nous	Bouton
      1 suite	ils	l
      1 suggestives	de	Geneviève
      1 suffit	pour	ce
      1 subir	outre	le
      1 structurante	pour	la
      1 strict	de	procréation
      1 stérilités	féminines	aujourd
      1 statuts	ne	constitue
      1 statuts	liée	à
      1 stade	dans	quelle
      1 spécialiste	du	droit
      1 souvent	mis	en
      1 souvent	assez	fortes
      1 soutien	très	net
      1 soutenir	Thèmes	Revenus
      1 Soutenez	l	Observatoire
      1 sous	l	angle
      1 sourds	Le	problème
      1 source	de	la
      1 soumettent	par	ailleurs
      1 souligner	que	l
      1 soulève	cette	importante
      1 souhaitait	l	introduction
      1 soucieuse	d	y
      1 soucieuse	d	affirmer
      1 sorte	de	clandestinité
      1 sorte	d	expectative
      1 sorte	d	échec
      1 sont	valides	9
      1 sont	précisément	ceux
      1 sont	pas	les
      1 Sont	ils	moins
      1 sont	fortes	et
      1 sont	bien	connus
      1 son	propos	cette
      1 son	principe	assez
      1 son	niveau	le
      1 son	humanité	A
      1 son	équilibre	La
      1 son	bonheur	son
      1 sommes	nous	Nos
      1 solution	est	cependant
      1 solution	de	clarification
      1 solution	D	abord
      1 Solidarité	PACS	créé
      1 solidarité	ne	peuvent
      1 Solidarité	et	au
      1 soit	une	institution
      1 soit	sa	seule
      1 soit	sa	fonction
      1 soit	permanent	On
      1 soit	en	quelque
      1 soit	Cette	position
      1 soient	prises	en
      1 sociologues	psychologues	pédopsychiatres
      1 sociologue	Irène	Théry
      1 société	souhaitait	l
      1 société	qui	fait
      1 société	peut	ou
      1 société	interdit	pour
      1 société	et	que
      1 société	démocratique	soucieuse
      1 société	Autres	temps
      1 socialiste	de	José
      1 sociales	Femmes	et
      1 sociales	et	membre
      1 sociale	Si	ce
      1 sociale	et	politique
      1 social	et	que
      1 social	et	politique
      1 social	et	culturel
      1 situations	identiques	Or
      1 situations	comparables	Et
      1 situation	très	incertaine
      1 situation	que	l
      1 situation	n	est
      1 situation	actuelle	soit
      1 situation	actuelle	F
      1 Singly	Le	lien
      1 sincèrement	attachés	et
      1 simplifient	et	se
      1 simplement	que	Les
      1 simplement	que	le
      1 simplement	pas	au
      1 simple	ventre	ou
      1 simple	pacte	civil
      1 simple	il	s
      1 signifie	pas	forcément
      1 significatives	Il	touche
      1 significatives	du	fait
      1 signature	du	PACS
      1 signaler	que	le
      1 si	un	enfant
      1 si	structurante	pour
      1 Si	selon	le
      1 si	on	autorise
      1 si	nous	le
      1 si	mal	si
      1 Si	les	discussions
      1 si	le	projet
      1 si	le	parent
      1 si	le	Pacte
      1 Si	le	droit
      1 Si	l	on
      1 si	l	on
      1 Si	Françoise	Dekeuwer
      1 Si	ce	qui
      1 sexuelle	était	un
      1 sexuelle	et	sur
      1 sexuelle	de	ces
      1 sexuelle	bouton	facebook
      1 sexes	et	qu
      1 sexes	différents	C
      1 sexe	que	dans
      1 sexe	Paris	Odile
      1 sexe	Comme	tout
      1 sexe	comme	simple
      1 sexe	Ce	projet
      1 seules	de	nature
      1 seule	fonction	ni
      1 seul	argument	qui
      1 ses	partisans	il
      1 ses	parents	plus
      1 ses	objectifs	aimer
      1 ses	adversaires	Ainsi
      1 série	d	exemples
      1 série	d	arguments
      1 serait	propre	et
      1 serait	pas	en
      1 serait	donc	pas
      1 serait	déjà	pas
      1 sera	sans	doute
      1 sera	pas	la
      1 sera	par	ailleurs
      1 sera	élevé	On
      1 séparés	du	parent
      1 sens	valoir	en
      1 sens	strict	de
      1 sens	il	semble
      1 sens	comme	dans
      1 semblent	pouvoir	être
      1 semblent	en	tous
      1 semblent	dignes	d
      1 semble	tout	à
      1 semble	dangereux	de
      1 Selon	quelle	logique
      1 selon	le	jugement
      1 selon	laquelle	ce
      1 selon	elle	s
      1 séjour	au	partenaire
      1 sécurité	qu	apportent
      1 se	trouvent	pas
      1 se	tromper	de
      1 se	tenir	prêt
      1 se	tenir	dans
      1 se	soumettent	par
      1 se	simplifient	et
      1 se	raréfient	On
      1 se	rappeler	que
      1 se	radicalisent	entraînant
      1 se	prononcer	sur
      1 se	produiront	et
      1 se	pose	Dans
      1 se	porter	plus
      1 se	portent	pas
      1 se	muer	à
      1 se	méfier	d
      1 se	marier	naturellement
      1 se	marier	mais
      1 se	marier	Le
      1 se	marier	et
      1 se	marier	alors
      1 se	fait	pas
      1 se	faire	sa
      1 se	demander	quel
      1 sciences	juridiques	politiques
      1 scène	primitive	si
      1 savoir	si	un
      1 savoir	si	le
      1 savoir	qui	veut
      1 savoir	qui	peut
      1 Savidan	professeur	de
      1 saurait	selon	elle
      1 satisfaisante	qui	est
      1 satisfaire	le	désir
      1 sans	tenir	par
      1 sans	même	aller
      1 sans	enfant	une
      1 sans	doute	pas
      1 Salaire	êtes	vous
      1 sait	que	cette
      1 sacrée	que	le
      1 sa	vive	opposition
      1 sa	seule	fonction
      1 sa	préface	à
      1 sa	position	ne
      1 sa	mise	en
      1 sa	fonction	essentielle
      1 sa	critique	juridique
      1 sa	conviction	sans
      1 s	y	tenir
      1 s	y	mouvoir
      1 s	y	intéresser
      1 s	unir	sans
      1 s	ouvrir	fin
      1 s	opposer	fortement
      1 S	Mesure	et
      1 s	intensifier	à
      1 s	inscrit	dans
      1 s	imposer	l
      1 s	épuise	de
      1 s	engager	dans
      1 s	en	tient
      1 s	en	occuper
      1 s	en	affranchir
      1 s	attendre	en
      1 s	attendre	à
      1 s	appuie	sur
      1 s	agit	de
      1 s	achever	en
      1 rue	pour	tenter
      1 rue	pour	exprimer
      1 RSS	Observatoire	des
      1 Rodriguez	Zapatero	d
      1 risque	de	rester
      1 risque	de	psychose
      1 risque	de	malentendu
      1 Rien	de	moins
      1 rien	de	décisif
      1 riche	ou	pauvre
      1 riche	dossier	de
      1 revue	Comprendre	dir
      1 réversion	ni	à
      1 Revenus	patrimoine	pauvreté
      1 revendications	exprimées	on
      1 rêve	d	autoreproduction
      1 revanche	à	un
      1 restreignait	5	En
      1 rester	théorique	Le
      1 reste	la	rue
      1 reste	encore	très
      1 reste	comparativement	plus
      1 ressources	et	partenaires
      1 réservés	Observatoire	des
      1 reproduit	ce	n
      1 reproduction	qui	est
      1 reproduction	Notre	actu
      1 reproduction	n	est
      1 reproduction	cela	exclut
      1 reproduction	au	sens
      1 répondre	se	raréfient
      1 répondre	que	de
      1 répondre	à	cette
      1 répondrait	pas	déjà
      1 répond	Françoise	Dekeuwer
      1 rendent	possible	C
      1 remis	au	ministre
      1 remarques	très	suggestives
      1 remarquable	Nous	verrons
      1 remarquable	arrêt	de
      1 relève	nullement	d
      1 relation	qu	il
      1 rejetait	ou	le
      1 regroupe	55	000
      1 regard	des	revendications
      1 refuse	à	d
      1 refus	de	reconnaître
      1 réforme	méritent	pourtant
      1 réforme	juridique	dont
      1 réforme	initiée	par
      1 réduire	l	un
      1 réductrice	et	agressive
      1 rédaction	le	22
      1 récuse	l	idée
      1 recul	il	faut
      1 recrute	un	e
      1 reconnus	De	fait
      1 reconnaître	que	l
      1 reconnaître	juridiquement	l
      1 reconnaissance	juridique	des
      1 reconnaissance	de	l
      1 reconnaissance	d	un
      1 Rechercher	Accueil	Articles
      1 recherche	____________________	Filtrer
      1 recevables	des	couples
      1 recevable	d	un
      1 réaliser	pleinement	son
      1 rattacher	tout	un
      1 raréfient	On	ne
      1 Rapport	sur	la
      1 rapport	Couple	filiation
      1 rappelle	t	elle
      1 rappeler	que	la
      1 rappeler	que	ce
      1 rappeler	à	l
      1 raisons	qui	leur
      1 raisons	que	les
      1 raisons	de	convenances
      1 raisons	d	ordre
      1 raisonnement	fondé	sur
      1 raison	mise	en
      1 raison	évidente	elle
      1 raison	des	personnes
      1 raison	de	l
      1 radicalisent	entraînant	de
      1 quinze	jours	pour
      1 quinzaine	d	évêques
      1 qui	veut	et
      1 qui	va	s
      1 qui	suppose	aussi
      1 Qui	sommes	nous
      1 qui	regroupe	55
      1 qui	peut	faire
      1 qui	paraisse	en
      1 qui	ont	en
      1 qui	ne	peut
      1 qui	ne	l
      1 qui	n	envisage
      1 qui	leur	serait
      1 qui	leur	semblent
      1 qui	les	professent
      1 qui	le	rejetait
      1 qui	la	rendent
      1 qui	importe	le
      1 qui	importe	alors
      1 qui	fait	le
      1 qui	est	susceptible
      1 qui	est	reproduit
      1 qui	est	ici
      1 qui	est	de
      1 qui	en	procède
      1 qui	devrait	s
      1 qui	confirme	combien
      1 qui	aurait	pour
      1 qui	accorde	une
      1 questions	sociologues	psychologues
      1 questions	que	soulève
      1 questions	là	uniquement
      1 Questions	clés	Image
      1 questionnant	la	légitimité
      1 question	le	non
      1 question	il	faudrait
      1 question	du	mariage
      1 question	de	droit
      1 question	d	abord
      1 question	comme	sur
      1 quelque	manière	discriminatoire
      1 quelque	assistance	à
      1 quelle	logique	une
      1 quelle	égalité	hommes
      1 quelle	direction	et
      1 quel	est	le
      1 que	trois	après
      1 que	toute	la
      1 que	tel	Cette
      1 que	sur	ces
      1 que	sous	l
      1 que	soulève	cette
      1 que	sa	position
      1 que	quinze	jours
      1 que	pour	mettre
      1 que	notre	système
      1 que	ne	serait
      1 que	Mariage	pour
      1 que	lorsqu	on
      1 que	les	individus
      1 que	Les	enfants
      1 que	les	couples
      1 que	les	codes
      1 que	les	autres
      1 que	le	riche
      1 que	le	partenaire
      1 Que	le	mariage
      1 que	le	maintien
      1 que	le	divorce
      1 que	le	contexte
      1 que	la	situation
      1 que	la	procédure
      1 que	là	n
      1 que	la	discussion
      1 que	l	utilisation
      1 que	l	union
      1 que	l	une
      1 que	l	orientation
      1 que	l	identité
      1 que	l	attribution
      1 que	donnera	le
      1 que	des	parents
      1 que	des	concubins
      1 que	des	avancées
      1 que	dans	les
      1 que	dans	le
      1 que	dans	la
      1 que	chacune	de
      1 que	ceux	élevés
      1 que	cette	convention
      1 que	cet	argument
      1 que	ces	fonctions
      1 que	certains	estiment
      1 que	certains	droits
      1 que	celui	ci
      1 que	célibataire	ou
      1 que	cela	soit
      1 que	ce	sont
      1 que	c	est
      1 que	biologique	Ne
      1 que	30	000
      1 Quant	à	l
      1 quant	à	elle
      1 qu	un	vaste
      1 qu	ils	puissent
      1 qu	ils	jugeaient
      1 qu	ils	entrent
      1 qu	il	me
      1 qu	il	faudrait
      1 qu	il	devient
      1 qu	il	aura
      1 qu	il	a
      1 qu	elle	refuse
      1 qu	elle	ait
      1 qu	aux	enfants
      1 qu	apportent	deux
      1 puissent	se	marier
      1 puissent	puisqu	ils
      1 puissent	ne	pas
      1 puissent	formaliser	leur
      1 puisse	débattre	de
      1 puisse	conserver	l
      1 puisqu	ils	se
      1 puiser	dans	l
      1 PUF	2003	dans
      1 PUF	2001	n
      1 publiques	Image	illustration
      1 publique	en	faisant
      1 Publications	Outils	Qui
      1 Publication	Image	illustration
      1 PUBLIC	HEALTH	another
      1 pu	longtemps	estimer
      1 pu	être	jugées
      1 pu	être	ensuite
      1 pu	depuis	fort
      1 pu	avoir	longtemps
      1 Psys	taisons	nous
      1 psychose	dont	on
      1 psychose	auquel	étaient
      1 psychologues	pédopsychiatres	ou
      1 psyché	en	raison
      1 psychanalytiques	ou	plus
      1 psychanalystes	peuvent	encore
      1 psychanalystes	La	suite
      1 psychanalyste	face	aux
      1 psychanalyse	L	homoparentalité
      1 prudence	notamment	parce
      1 protection	des	droits
      1 proprement	parler	l
      1 propre	et	ne
      1 propos	cette	éminente
      1 prononcer	sur	une
      1 promesse	de	campagne
      1 projet	s	inscrit
      1 projet	et	de
      1 projet	de	mariage
      1 projet	de	loi
      1 projet	a	ses
      1 progressistes	au	projet
      1 profondément	et	sincèrement
      1 professeur	émérite	à
      1 professeur	de	philosophie
      1 professent	peuvent	être
      1 produiront	et	ce
      1 procréer	Que	le
      1 procréer	ensemble	Mais
      1 procréer	3	Ce
      1 procréation	que	ce
      1 procréation	Or	un
      1 procréation	les	couples
      1 procréation	Françoise	Dekeuwer
      1 procréation	et	sa
      1 procréation	biologique	A
      1 procréation	assistée	arguant
      1 procréateur	affirmaient	alors
      1 procédure	de	délégation
      1 procède	Mais	si
      1 problèmes	nous	manquerions
      1 problème	Quant	à
      1 problème	Par	un
      1 problème	est	en
      1 problématique	en	un
      1 problématique	du	point
      1 Prix	Jeunesse	pour
      1 privée	remis	au
      1 prises	en	charge
      1 priorité	notons	le
      1 principe	assez	simple
      1 primitive	si	structurante
      1 prévoyant	que	des
      1 prête	à	admettre
      1 prêt	à	en
      1 prestations	compensatoires	ni
      1 présidente	du	Parti
      1 président	François	Hollande
      1 préserver	les	structures
      1 présenté	le	7
      1 première	rédaction	le
      1 première	fois	que
      1 premier	plan	la
      1 premier	lieu	le
      1 préjudiciable	au	bon
      1 préface	à	E
      1 précisément	et	immuablement
      1 précisément	ceux	que
      1 précédente	union	Pourquoi
      1 pratiques	légales	ont
      1 pragmatique	s	épuise
      1 pragmatique	On	pourrait
      1 Pragier	auteur	de
      1 pouvoir	être	contestés
      1 pouvait	considérer	que
      1 pourtant	se	méfier
      1 pourtant	mieux	qu
      1 pourtant	impérieuse	question
      1 pourrait	faire	valoir
      1 pourrait	être	tentés
      1 pourrait	elle	accorder
      1 Pourquoi	dira	t
      1 Pour	une	raison
      1 pour	un	conjoint
      1 pour	un	célibataire
      1 pour	tous	présenté
      1 pour	tous	la
      1 pour	tous	Ils
      1 pour	tous	et
      1 pour	tenter	de
      1 pour	satisfaire	le
      1 pour	s	opposer
      1 Pour	répondre	à
      1 pour	participer	à
      1 pour	objet	d
      1 pour	mettre	un
      1 pour	les	homosexuels
      1 pour	le	parent
      1 pour	le	moment
      1 pour	le	moins
      1 pour	la	sociologue
      1 pour	la	psyché
      1 Pour	la	juriste
      1 pour	intention	de
      1 pour	finalité	d
      1 pour	fâcheuse	conséquence
      1 pour	exprimer	sa
      1 Pour	étayer	son
      1 pour	écarter	tout
      1 pour	des	homosexuels
      1 pour	défendre	aujourd
      1 pour	contrecarrer	le
      1 Pour	ce	qui
      1 pour	ce	faire
      1 pour	autrui	qui
      1 pour	autrui	ne
      1 pour	autant	que
      1 pour	affirmer	cependant
      1 possibles	qui	accorde
      1 possible	pour	un
      1 possible	il	faudra
      1 possible	depuis	2002
      1 possible	de	contester
      1 possible	C	est
      1 possibilités	d	y
      1 possibilité	pour	des
      1 positions	se	simplifient
      1 positions	adverses	comme
      1 position	ne	relève
      1 position	est	commune
      1 position	diamétralement	inverse
      1 position	bien	déterminée
      1 positif	toute	une
      1 pose	Dans	le
      1 portera	la	réforme
      1 porter	plus	mal
      1 portent	pas	plus
      1 portée	limitée	sur
      1 porte	en	premier
      1 porte	au	fond
      1 portant	ainsi	l
      1 politiques	et	sociales
      1 politiques	Elle	laisse
      1 politique	Conditions	de
      1 politique	à	l
      1 Poitiers	Conditions	de
      1 points	de	vue
      1 point	que	la
      1 point	Filiation	l
      1 point	est	essentiel
      1 point	central	elle
      1 png	Votre	recherche
      1 png	Newsletter	IFRAME
      1 png	Formation	1er
      1 png		
      1 plusieurs	points	de
      1 plus	tout	à
      1 Plus	que	quinze
      1 plus	que	l
      1 plus	qu	aux
      1 plus	progressistes	au
      1 plus	problématique	en
      1 plus	mauvais	parents
      1 plus	loin	Même
      1 plus	la	dernière
      1 plus	l	égalité
      1 plus	général	cet
      1 plus	exactement	aux
      1 plus	du	point
      1 plus	difficile	pour
      1 plus	d	enfants
      1 plupart	des	pays
      1 plupart	des	adversaires
      1 Plessis	37000	Tours
      1 pleinement	son	humanité
      1 plan	plus	général
      1 plan	la	question
      1 plan	de	la
      1 Photo	Lisa	F
      1 philosophie	sociale	et
      1 peuvent	se	marier
      1 peuvent	procréer	ensemble
      1 peuvent	pas	hériter
      1 peuvent	ne	pas
      1 peuvent	être	profondément
      1 peuvent	être	favorables
      1 peuvent	encore	inciter
      1 peuvent	bénéficier	d
      1 peuvent	avoir	de
      1 peut	y	avoir
      1 peut	tout	d
      1 peut	se	tenir
      1 peut	s	en
      1 peut	rappeler	que
      1 peut	procréer	Que
      1 peut	procréer	3
      1 peut	pas	en
      1 peut	pas	dire
      1 peut	ou	ne
      1 peut	faire	des
      1 peut	être	un
      1 Peut	être	cet
      1 peut	ensuite	s
